cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1787623998652085	2026-08-25		pw_device_backups/20260825T042400Z-splash-solving-orb-v1	20	20	2.07	0-1	2.27	229	182	1.0060	1.0060	1.0077				5.6	0	0.49	/Users/kaidongwang/pw_device_backups/20260825T042400Z-splash-solving-orb-v1/pre/Documents/captures_official/cap_1787623998652085
cap_1787626889162559	2026-08-25	Aug 14 2026 00:30:23	pw_device_backups/20260825T042400Z-splash-solving-orb-v1	20	20	2.10	0-1	2.10	143	141	0.9979	0.9979	0.9985	1.0002	post_local_ba	0.9978	3.5	0	0.59	/Users/kaidongwang/pw_device_backups/20260825T042400Z-splash-solving-orb-v1/pre/Documents/captures_official/cap_1787626889162559
cap_1787645447576749	2026-08-25		pw_device_backups/20260825T162411Z-autocapture-motion-v1	24	24	0.50	0-1	0.50	62	59	0.9992	0.9992	0.9981				5.4	0	0.48	/Users/kaidongwang/pw_device_backups/20260825T162411Z-autocapture-motion-v1/post/Documents/captures_official/cap_1787645447576749
cap_1787647182478567	2026-08-25		pw_device_backups/20260825T162411Z-autocapture-motion-v1	22	22	0.40	0-1	0.47	60	53	0.9424	0.9424	0.9411				2.1	0	0.33	/Users/kaidongwang/pw_device_backups/20260825T162411Z-autocapture-motion-v1/post/Documents/captures_official/cap_1787647182478567
cap_1787675949080574	2026-08-25		pw_device_backups/20260826T010100Z-projection-fix-v1	26	26	0.33	0-1	0.27	24	23	0.7751	0.7734	0.7754				5.7	1	0.28	/Users/kaidongwang/pw_device_backups/20260826T010100Z-projection-fix-v1/post/Documents/captures_official/cap_1787675949080574
cap_1787678180621119	2026-08-25		pw_device_backups/20260826T014102Z-globalptol-vio-b37	22	22	2.27	0-1	2.53	228	202	0.9912	0.9912	0.9905				5.9	0	0.54	/Users/kaidongwang/pw_device_backups/20260826T014102Z-globalptol-vio-b37/pre/Documents/captures_official/cap_1787678180621119
cap_1787714819222195	2026-08-26		pw_device_backups/20260826T040258Z-xrslam-anchor-b38	22	22	2.20	0-1	2.73	251	149	0.9754	0.9754	0.9745				3.9	0	0.64	/Users/kaidongwang/pw_device_backups/20260826T040258Z-xrslam-anchor-b38/post/Documents/captures_official/cap_1787714819222195
cap_1787717631139124	2026-08-26		pw_device_backups/20260826-xrslam-generic-v1	23	23	0.77	0-1	2.27	136	134	0.9977	0.9977	0.9984				2.1	0	0.41	/Users/kaidongwang/pw_device_backups/20260826-xrslam-generic-v1/pre/Documents/captures_official/cap_1787717631139124
cap_1787719116209262	2026-08-26		pw_device_backups/20260826-xrslam-generic-v1	21	21	1.32	0-1	2.20	198	181	0.9121	0.9103	0.9117				5.7	1	0.65	/Users/kaidongwang/pw_device_backups/20260826-xrslam-generic-v1/pre/Documents/captures_official/cap_1787719116209262
cap_1787733401226757	2026-08-26	Aug 26 2026 03:49:26	pw_device_backups/20260826T100646Z-xrslam-off-b43	20	20	1.33	0-1	1.40	124	116	1.0626	0.9953	1.0651	1.0793	post_local_ba	0.9845	5.2	4	0.53	/Users/kaidongwang/pw_device_backups/20260826T100646Z-xrslam-off-b43/post/Documents/captures_official/cap_1787733401226757
