DRIVER feed=/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/2359d42b-b338-4098-99ad-6a4c217067ad/scratchpad/offline_sfm/feeds/13f5_q0_F.jsonl n=115 max_features=13312 k=12 ratio=0.800 gpu_match=1 gpu_extract=1 size=1920x1440
  fed 70/115 frame=559 fid=69 trusted=1 add_ms=172 extract_ms=43 cand=20
  fed 71/115 frame=565 fid=70 trusted=1 add_ms=142 extract_ms=36 cand=12
  fed 72/115 frame=574 fid=71 trusted=1 add_ms=162 extract_ms=44 cand=12
  fed 73/115 frame=580 fid=72 trusted=1 add_ms=193 extract_ms=39 cand=12
  fed 74/115 frame=589 fid=73 trusted=1 add_ms=165 extract_ms=34 cand=12
  fed 75/115 frame=595 fid=74 trusted=1 add_ms=210 extract_ms=37 cand=20
  fed 76/115 frame=604 fid=75 trusted=1 add_ms=218 extract_ms=46 cand=12
  fed 77/115 frame=610 fid=76 trusted=1 add_ms=207 extract_ms=40 cand=12
  fed 78/115 frame=619 fid=77 trusted=1 add_ms=214 extract_ms=47 cand=12
  fed 79/115 frame=625 fid=78 trusted=1 add_ms=182 extract_ms=35 cand=12
  fed 80/115 frame=634 fid=79 trusted=1 add_ms=272 extract_ms=46 cand=20
  fed 81/115 frame=640 fid=80 trusted=1 add_ms=249 extract_ms=36 cand=12
  fed 82/115 frame=649 fid=81 trusted=1 add_ms=208 extract_ms=34 cand=12
  fed 83/115 frame=655 fid=82 trusted=1 add_ms=216 extract_ms=45 cand=12
  fed 84/115 frame=664 fid=83 trusted=1 add_ms=184 extract_ms=37 cand=12
  fed 85/115 frame=670 fid=84 trusted=1 add_ms=166 extract_ms=31 cand=20
  fed 86/115 frame=679 fid=85 trusted=1 add_ms=143 extract_ms=32 cand=12
  fed 87/115 frame=685 fid=86 trusted=1 add_ms=89 extract_ms=19 cand=12
  fed 88/115 frame=694 fid=87 trusted=1 add_ms=90 extract_ms=23 cand=12
  fed 89/115 frame=700 fid=88 trusted=1 add_ms=102 extract_ms=24 cand=12
  fed 90/115 frame=709 fid=89 trusted=1 add_ms=108 extract_ms=33 cand=20
  fed 91/115 frame=715 fid=90 trusted=1 add_ms=91 extract_ms=32 cand=12
  fed 92/115 frame=724 fid=91 trusted=1 add_ms=69 extract_ms=18 cand=12
  fed 93/115 frame=730 fid=92 trusted=1 add_ms=65 extract_ms=19 cand=12
  fed 94/115 frame=739 fid=93 trusted=1 add_ms=50 extract_ms=18 cand=12
  fed 95/115 frame=745 fid=94 trusted=1 add_ms=90 extract_ms=24 cand=20
  fed 96/115 frame=754 fid=95 trusted=1 add_ms=135 extract_ms=28 cand=12
  fed 97/115 frame=760 fid=96 trusted=1 add_ms=139 extract_ms=21 cand=12
  fed 98/115 frame=769 fid=97 trusted=1 add_ms=157 extract_ms=31 cand=12
