photo_id	t_photo	source	trusted	reasons	state_at_photo	t_state	extrap_ms	wait_ms	submit_to_resolve_ms	prop_status	imu_samples	state_kind	frame_id	has_pose	cpx	cpy	cpz	cqx	cqy	cqz	cqw	bpx	bpy	bpz	bqx	bqy	bqz	bqw	propagated_t
900	268540.083325458	1	0	6	0	268539.954503005	128.822	1571.340	1566.816	0	15	2	1	1	0.0034021165719938197	-0.016283940822464212	-0.0059220407312663894	-0.035689201567080053	0.8984436496125312	0.0028574752766300504	0.43762681661710939	0.0032392415144646787	0.016860511117852542	0.00046386746012555546	0.31146942151718765	-0.3074283413343496	-0.61005950448040602	0.66053165602396358	268540.083325458
0	268542.915931458	1	1	0	1	268542.821442088	94.489	438.894	433.374	0	12	2	87	1	0.12306722332852538	0.38144915776588773	-0.31878191664677014	0.058293081855916751	0.85837373695453623	-0.024920674479959187	0.50909277888258098	0.12800923751723092	0.41386032470748735	-0.31075361014981873	0.34236136917550625	-0.37760452407086176	-0.64818130642390437	0.56574244166413012	268542.915931458
1	268544.417100458	1	1	0	1	268544.321582421	95.518	437.865	433.374	0	12	2	132	1	0.22522559712640933	0.4252634546920484	0.0066455855457695015	-0.070178754066676174	0.9084622207150681	0.067982056024963822	0.40638630548062815	0.22172208011609745	0.45752534402655071	0.015933040368991153	0.3354290762764493	-0.23928793320589217	-0.59275590805263922	0.69200365120356944	268544.417100458
2	268545.850249458	1	1	0	1	268545.821721963	28.527	504.855	500.046	0	5	2	177	1	0.323716438037843	-0.0032247950780908453	0.064430431490221124	-0.34077896041792688	0.85250352704064325	0.19597436110760469	0.3445308977736059	0.30255015001891222	0.02098727954394608	0.074683462552457405	0.38219492365312463	-0.10504533167125618	-0.36184390153136436	0.84377811630334343	268545.850249458
3	268547.316898458	1	1	0	1	268547.221851213	95.047	438.335	433.373	0	11	2	219	1	0.90243083612835273	-0.17122033912320964	0.064003721501260338	-0.67283308730923364	0.63662521664250793	0.27117786492702112	0.26166121023741251	0.869369271270099	-0.16996461085449549	0.070690800654764796	0.37677411330539717	0.006729290886191867	0.025602830199572168	0.92592682176988084	268547.316898458
4	268548.718503458	1	1	0	1	268548.625763012	92.740	440.638	433.370	0	11	2	261	1	1.1985357555155274	-0.27021839078025978	0.12142700734993463	-0.78421241680388654	0.58997158058741406	0.16600724393520511	0.096881719655014228	1.1657161550145121	-0.27437332056702735	0.12813307425889012	0.1858905639078986	0.048879125671108588	0.13734900881767262	0.97169479730028097	268548.718503458
5	268550.183784458	1	1	0	1	268550.122001713	61.783	471.599	466.709	0	8	2	306	1	1.0858679305412891	-0.47132910133549394	0.18040280936775496	-0.63580471451147569	0.61225150346566315	0.33640332469420747	0.32822753975890001	1.0528918500521345	-0.47096409429543218	0.18760043657400149	0.46996497873666854	0.005781152815464017	0.016654634806094731	0.88250899155342499	268550.183784458
6	268551.682517458	1	1	0	1	268551.622138296	60.379	473.003	466.709	0	8	2	351	1	0.79665582581310357	-0.53471011828601933	-0.2556533316615997	-0.4782996821994776	0.65826746410697989	0.34602646855867258	0.4670964525398783	0.76522650464765329	-0.52518899208013714	-0.24784904573544059	0.5749647161493503	-0.085609404393512903	-0.1272564355960813	0.80367431504438747	268551.682517458
7	268553.105118458	1	1	0	1	268553.022265088	82.853	454.311	437.155	0	10	2	393	1	0.80672440185060346	-0.37068642388500672	-0.91862260962227937	-0.42734519260139681	0.66652711029233414	0.36296577481586162	0.49129787006522535	0.77631715481998209	-0.35957349640241976	-0.90906943618346159	0.60405560014490522	-0.090744492380333289	-0.16912715143662693	0.77348450254878809	268553.105118458
8	268554.571635458	1	1	0	1	268554.526176054	45.459	487.918	466.705	0	7	2	438	1	0.76798773012628008	-0.30639825242836355	-1.2096687551469374	-0.44549073314075682	0.6658655801927077	0.35300987103221815	0.48326506181042794	0.73724567361701554	-0.29557769459352146	-1.2008822631455398	0.59133566021614137	-0.092104326233469785	-0.15582854460737108	0.78584756456412563	268554.571635458
9	268555.983492458	1	1	0	1	268555.926292346	57.200	476.177	466.705	0	8	2	480	1	0.5758776783796592	-0.31248802859095065	-1.0823004386469648	-0.50743960760464668	0.71439849775355369	0.32789688098626263	0.35302056553899103	0.54555512333179568	-0.30253364040305764	-1.0713089072186048	0.48148133105582752	-0.017765127242962742	-0.14634203075752272	0.86396998682391424	268555.983492458
10	268557.413569458	1	1	0	1	268557.326407804	87.162	446.216	433.369	0	11	2	522	1	0.35740161105995394	-0.036889714227947304	-0.98058882357200738	-0.35427916362263878	0.84890206004710245	0.1789114216171058	0.34905919712572342	0.33568662311274794	-0.012609873882109168	-0.97173955223477804	0.37333159484736195	-0.1203126426648829	-0.34975119488630552	0.85077757961721001	268557.413569458
11	268558.846522458	1	1	0	1	268558.826531262	19.991	513.386	500.041	0	4	2	567	1	0.089596381987192664	0.39544020261441548	-0.86731100473149247	0.084998374717586866	0.91210459255243348	-0.074121080978411247	0.39414033935541321	0.099299570853579128	0.42741260869816106	-0.86251785055017249	0.22628778168800098	-0.33111081687647781	-0.70505825093891072	0.58485239983185466	268558.846522458
12	268560.329407458	1	1	0	1	268560.322783046	6.624	526.756	500.044	0	2	2	612	1	0.20542034276077481	0.49643395921670541	-0.75201763759974183	0.14086653916822084	0.8918870389344058	-0.14595405212672061	0.40421726311954587	0.22003736912821611	0.52677269431962592	-0.74972315628690822	0.18261966296521634	-0.38902985747433516	-0.73026703894137823	0.53105167406549125	268560.329407458
13	268561.804896458	1	1	0	1	268561.722907005	81.989	451.391	433.372	0	10	2	654	1	0.46521632782754896	0.89628888809587681	-0.43439733299032524	0.35657429561313903	0.84330053584810627	-0.13820678344333853	0.3776213926262873	0.49010584218460068	0.91754447868612143	-0.42614670297216184	0.16929168916417486	-0.36474559152141217	-0.84843960732752477	0.34416741589457717	268561.804896458
