photo_id	t_photo	source	trusted	reasons	state_at_photo	t_state	extrap_ms	wait_ms	submit_to_resolve_ms	prop_status	imu_samples	state_kind	frame_id	has_pose	cpx	cpy	cpz	cqx	cqy	cqz	cqw	bpx	bpy	bpz	bqx	bqy	bqz	bqw	propagated_t
900	268462.263109791	1	0	6	0	268462.134056670	129.053	1254.416	1250.123	0	14	2	1	1	-0.0093685253721374692	-0.040037158209171975	0.010153496942356134	-0.041473335381359	0.83671239913729178	0.013274979253983188	0.545908604926715	-0.011950806253496194	-0.0070690312403032703	0.016920731776015538	0.39540249378219683	-0.37662883858048873	-0.56231891968506931	0.6209710714977219	268462.263109791
0	268465.095715791	1	1	0	1	268465.084343837	11.372	522.244	500.048	0	4	2	87	1	0.34570693803499963	-0.59850467586571532	0.081769705796519196	-0.3076181705486028	0.80704711934597673	0.16920511833047011	0.47477962197944368	0.32469427067511097	-0.57299081097568161	0.088615979291083571	0.45536596473822188	-0.21607379793899137	-0.35314958701950955	0.78818736426702407	268465.095715791
1	268466.596884791	1	1	0	1	268466.584718755	12.166	521.218	500.048	0	3	2	132	1	0.8142568180362334	-0.8761810887013608	0.077651296350766702	-0.45758585164418425	0.75211931337036808	0.23024482323972173	0.41463128368966795	0.78579769213003159	-0.85915803377794486	0.083948494592518019	0.45599625610260686	-0.1303809130741963	-0.20826660253174184	0.85539070265945139	268466.596884791
2	268468.030033791	1	1	0	1	268467.984851380	45.182	488.201	466.711	0	7	2	174	1	1.0139773246071755	-0.90051982664698416	0.3203740831873203	-0.44365602101797053	0.77966383743161849	0.21658576910444363	0.38520681905934839	0.98671120842609161	-0.88194455620021883	0.32750704808249231	0.42553160863662459	-0.11923308470156468	-0.23759339919630809	0.86501774445500246	268468.030033791
3	268469.496682791	1	1	0	1	268469.484992838	11.690	521.694	500.047	0	3	2	219	1	0.87511428418576898	-0.65540233971736062	0.42580727517395012	-0.33080600178590575	0.83610338058106382	0.13272857711590547	0.416991251937744	0.85454470612540911	-0.62920231486756295	0.43126732171728149	0.38871060853441763	-0.2010040596567863	-0.35729919355545592	0.82512951534829637	268469.496682791
4	268470.898287791	1	1	0	1	268470.885124421	13.163	520.220	500.047	0	4	2	261	1	0.44178726531205387	-0.25516561238728691	0.3413807354907975	-0.048331571422932096	0.89872738061286783	0.05634605147805033	0.43217858604497777	0.43944934514962214	-0.22276821355555179	0.35056243632551121	0.34543907477839847	-0.26575372671209457	-0.60132062737194414	0.66967178935049121	268470.898287791
5	268472.363568791	1	1	0	1	268472.285255796	78.313	455.070	433.374	0	10	2	303	1	-0.01672617971033263	0.075569451030159829	0.17617634503520041	-0.028288807292523976	0.88769208464173177	0.039409219070175888	0.4578749533564187	-0.017852833217798868	0.108142262985644	0.18495720633426346	0.35163300114395346	-0.29589995053522522	-0.60768986901922584	0.64769628289125192	268472.363568791
6	268473.862301791	1	1	0	1	268473.785396213	76.906	456.478	433.374	0	10	2	348	1	0.26063677030094656	0.33063975621719355	-0.09709269406465669	0.21209777021444881	0.82817494325431107	-0.099700104694431857	0.50911761074645323	0.27597163022726112	0.35927981116040997	-0.087930255750732947	0.28950188716331204	-0.43049912364078874	-0.73558387040596973	0.4356323352001864	268473.862301791
7	268475.284902791	1	1	0	1	268475.185527005	99.376	434.007	433.374	0	12	2	390	1	0.40731346164515253	0.79832532090530361	0.14844618265740697	0.13463795129236494	0.85401176935052692	-0.070055116938985224	0.49762320452901254	0.41805868362501586	0.82932294426401165	0.1563864913845123	0.30233628610984037	-0.40140917996262926	-0.69908090308486059	0.50867409142307918	268475.284902791
8	268476.751419791	1	1	0	1	268476.685666796	65.753	467.630	466.710	0	9	2	435	1	0.4235050987957758	0.57068292943074617	0.52373829706408437	0.060067890944532354	0.89328314590674729	-0.038716544361208388	0.44377714240553989	0.4300825053508831	0.6030929175022014	0.53049783463580946	0.28642108804803706	-0.34117454871509384	-0.67412096507294206	0.5891721412962051	268476.751419791
