cap_1784792081923324:0 rc=0 host_n=5088 phone_n=5094 match_p2h=1.0000 match_h2p=0.9998 host_smed=3.80 host_flt3=0.330 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:1 rc=0 host_n=5689 phone_n=5692 match_p2h=1.0000 match_h2p=1.0000 host_smed=4.02 host_flt3=0.338 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:2 rc=0 host_n=7179 phone_n=7180 match_p2h=1.0000 match_h2p=0.9997 host_smed=3.70 host_flt3=0.373 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:3 rc=0 host_n=7766 phone_n=7768 match_p2h=1.0000 match_h2p=0.9999 host_smed=3.78 host_flt3=0.337 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:4 rc=0 host_n=5940 phone_n=5925 match_p2h=1.0000 match_h2p=0.9985 host_smed=4.62 host_flt3=0.242 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:5 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9995 match_h2p=0.9985 host_smed=4.66 host_flt3=0.109 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:6 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9745 match_h2p=0.9750 host_smed=5.04 host_flt3=0.072 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:7 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9198 match_h2p=0.9199 host_smed=4.43 host_flt3=0.153 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:8 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9971 match_h2p=0.9973 host_smed=4.63 host_flt3=0.053 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:9 rc=0 host_n=5330 phone_n=5326 match_p2h=1.0000 match_h2p=0.9992 host_smed=4.39 host_flt3=0.263 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:10 rc=0 host_n=5891 phone_n=5890 match_p2h=1.0000 match_h2p=0.9997 host_smed=4.15 host_flt3=0.274 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:11 rc=0 host_n=7384 phone_n=7382 match_p2h=1.0000 match_h2p=0.9997 host_smed=4.11 host_flt3=0.217 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:12 rc=0 host_n=5227 phone_n=5215 match_p2h=1.0000 match_h2p=0.9981 host_smed=5.08 host_flt3=0.171 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:13 rc=0 host_n=4291 phone_n=4284 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.82 host_flt3=0.341 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:14 rc=0 host_n=2783 phone_n=2780 match_p2h=1.0000 match_h2p=0.9989 host_smed=5.08 host_flt3=0.233 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:15 rc=0 host_n=2642 phone_n=2643 match_p2h=1.0000 match_h2p=1.0000 host_smed=4.30 host_flt3=0.296 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:16 rc=0 host_n=3752 phone_n=3745 match_p2h=1.0000 match_h2p=0.9995 host_smed=4.61 host_flt3=0.230 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:17 rc=0 host_n=4823 phone_n=4819 match_p2h=1.0000 match_h2p=1.0000 host_smed=4.25 host_flt3=0.274 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:18 rc=0 host_n=7189 phone_n=7190 match_p2h=1.0000 match_h2p=0.9999 host_smed=3.99 host_flt3=0.312 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:19 rc=0 host_n=6259 phone_n=6246 match_p2h=1.0000 match_h2p=0.9995 host_smed=4.09 host_flt3=0.286 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:20 rc=0 host_n=4131 phone_n=4117 match_p2h=1.0000 match_h2p=0.9964 host_smed=4.29 host_flt3=0.264 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:21 rc=0 host_n=6189 phone_n=6181 match_p2h=1.0000 match_h2p=0.9998 host_smed=4.36 host_flt3=0.272 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:22 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9919 match_h2p=0.9923 host_smed=4.03 host_flt3=0.270 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:23 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9923 match_h2p=0.9937 host_smed=4.14 host_flt3=0.197 phone_smed=1.00 phone_flt3=1.000
cap_1784792081923324:24 rc=0 host_n=8192 phone_n=8192 match_p2h=0.9835 match_h2p=0.9838 host_smed=4.05 host_flt3=0.282 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:0 rc=0 host_n=7953 phone_n=7944 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.98 host_flt3=0.313 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:1 rc=0 host_n=6537 phone_n=6534 match_p2h=1.0000 match_h2p=1.0000 host_smed=4.19 host_flt3=0.272 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:2 rc=0 host_n=7718 phone_n=7710 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.91 host_flt3=0.324 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:3 rc=0 host_n=7667 phone_n=7660 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.86 host_flt3=0.317 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:4 rc=0 host_n=5163 phone_n=5158 match_p2h=1.0000 match_h2p=1.0000 host_smed=4.37 host_flt3=0.248 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:5 rc=0 host_n=6011 phone_n=6009 match_p2h=1.0000 match_h2p=0.9993 host_smed=4.22 host_flt3=0.249 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:6 rc=0 host_n=7176 phone_n=7175 match_p2h=1.0000 match_h2p=0.9999 host_smed=3.91 host_flt3=0.315 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:7 rc=0 host_n=7762 phone_n=7755 match_p2h=1.0000 match_h2p=0.9997 host_smed=3.90 host_flt3=0.325 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:8 rc=0 host_n=7858 phone_n=7861 match_p2h=1.0000 match_h2p=0.9999 host_smed=3.93 host_flt3=0.321 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:9 rc=0 host_n=6978 phone_n=6980 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.93 host_flt3=0.318 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:10 rc=0 host_n=6538 phone_n=6540 match_p2h=1.0000 match_h2p=1.0000 host_smed=3.72 host_flt3=0.331 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:11 rc=0 host_n=7124 phone_n=7121 match_p2h=1.0000 match_h2p=0.9999 host_smed=3.58 host_flt3=0.345 phone_smed=1.00 phone_flt3=1.000
cap_1784802118882656:12 rc=0 host_n=6022 phone_n=6024 match_p2h=1.0000 match_h2p=0.9992 host_smed=4.07 host_flt3=0.280 phone_smed=1.00 phone_flt3=1.000
