engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
okvis	-6	13f5	front	0.2395	-1.9858	2.1066	-4.5768	4.1296	2.8876	4.7411	10.3901	0.1398			0.0222		-5.5000	-3.5000	0.9990	858
okvis	-6	6d18	backend_final	1.6991	-2.3078	3.4077	-0.8466	1.6284	0.8649	2.4141	6.9773	0.0603	0.0603	0.0425	0.0616	0.0266	0.0000	1.5000	0.9989	288
okvis	-6	6d18	front	1.9566	-2.0604	3.4820	-1.2645	2.2312	1.1954	2.9504	6.8066	0.1665			0.0350		-5.0000	-3.5000	0.9972	859
okvis	-6	7353	backend_final	2.8081	2.1707	3.2841	-6.3149	1.1304	2.6472	3.1575	7.2313	0.0680	0.0680	0.0401	0.0798	0.0306	0.0000	3.0000	1.0003	290
okvis	-6	7353	front	3.0606	2.4216	3.5082	-6.2435	1.2076	2.5441	4.9781	12.4390	0.1933			0.0408		-5.0000	-2.0000	0.9950	862
okvis	-5	13f5	backend_final	0.2850	-1.9414	1.9322	-4.2183	2.8502	2.5358	4.5484	8.8417	0.0571	0.0571	0.0351	0.0372	0.0222	0.0000	3.0000	0.9983	288
okvis	-5	13f5	front	0.6610	-1.5736	2.1383	-4.2431	5.2624	3.2054	4.9572	12.3277	0.1421			0.0222		-5.0000	-2.0000	1.0003	858
okvis	-5	6d18	backend_final	1.6202	-2.3837	3.1604	-0.8315	1.7190	0.8827	2.5240	6.9807	0.0588	0.0588	0.0432	0.0616	0.0266	0.0000	2.5000	0.9991	288
okvis	-5	6d18	front	1.8618	-2.1515	3.2652	-1.2855	2.3357	1.2448	3.1085	6.6148	0.1676			0.0350		-5.0000	-2.5000	0.9968	859
okvis	-5	7353	backend_final	2.8885	2.2506	3.5116	-6.4956	1.3177	2.7672	3.3113	7.6063	0.0680	0.0680	0.0430	0.0798	0.0306	0.0000	4.0000	1.0004	290
okvis	-5	7353	front	3.2169	2.5769	3.7727	-6.6188	1.2057	2.7401	5.0270	12.2890	0.1937			0.0408		-5.0000	-1.0000	0.9948	862
okvis	-4	13f5	backend_final	0.6807	-1.5544	1.9674	-4.4377	2.0192	2.4581	4.4419	8.6233	0.0577	0.0577	0.0350	0.0372	0.0222	0.0000	4.0000	0.9988	288
okvis	-4	13f5	front	1.0531	-1.1902	2.1131	-4.7069	4.1904	3.0157	4.7644	10.4970	0.1408			0.0222		-5.0000	-1.0000	0.9994	858
okvis	-4	6d18	backend_final	1.4619	-2.5357	3.0682	-0.7778	1.5561	0.8405	2.5257	6.5219	0.0592	0.0592	0.0441	0.0616	0.0266	-0.5000	3.0000	0.9992	288
okvis	-4	6d18	front	1.6776	-2.3285	3.1845	-1.2584	2.1680	1.2378	3.2521	6.9825	0.1671			0.0350		-5.0000	-1.5000	0.9984	859
okvis	-4	7353	backend_final	3.3797	2.7388	4.0808	-8.2811	1.3573	3.3456	3.7522	9.3420	0.0713	0.0713	0.0445	0.0798	0.0306	0.0000	4.5000	1.0007	290
okvis	-4	7353	front	3.7648	3.1214	4.3774	-8.5320	1.2567	3.3528	5.0251	9.6522	0.1951			0.0408		-5.5000	-0.5000	0.9946	862
okvis	-3	13f5	backend_final	0.9590	-1.2823	1.8606	-5.3706	1.4559	2.4728	4.0254	8.8148	0.0585	0.0585	0.0350	0.0372	0.0222	0.0000	5.0000	0.9988	288
okvis	-3	13f5	front	1.3196	-0.9297	1.9379	-5.7694	1.5232	2.6092	4.4103	9.9255	0.1411			0.0222		-5.0000	0.0000	1.0014	858
okvis	-3	6d18	backend_final	1.2547	-2.7347	2.9737	-0.8219	1.7704	0.9223	2.7094	6.3390	0.0604	0.0604	0.0453	0.0616	0.0266	-0.5000	4.0000	0.9994	288
okvis	-3	6d18	front	1.4476	-2.5494	3.1070	-1.2606	2.1762	1.3120	3.3639	6.3054	0.1662			0.0350		-5.0000	-0.5000	0.9991	859
okvis	-3	7353	backend_final	3.5569	2.9149	4.5465	-8.2712	1.6330	3.4361	3.8804	9.6363	0.0735	0.0735	0.0440	0.0798	0.0306	-0.5000	5.5000	1.0008	290
okvis	-3	7353	front	3.9091	3.2649	4.8140	-8.7868	1.7356	3.4733	4.7285	9.2704	0.1988			0.0408		-5.0000	1.0000	1.0011	862
okvis	-2	13f5	backend_final	1.2215	-1.0256	1.9740	-6.2461	1.5084	2.6494	4.0758	9.9234	0.0603	0.0603	0.0366	0.0372	0.0222	-0.5000	5.5000	0.9995	288
okvis	-2	13f5	front	1.5886	-0.6667	2.0419	-6.9345	1.3735	2.8278	4.3601	9.9038	0.1402			0.0222		-5.0000	1.0000	0.9996	858
okvis	-2	6d18	backend_final	1.0512	-2.9302	2.8407	-0.9128	1.7833	0.9470	2.8380	5.9518	0.0630	0.0630	0.0492	0.0616	0.0266	-0.5000	5.0000	0.9995	288
okvis	-2	6d18	front	1.2129	-2.7749	2.9934	-1.2890	2.0525	1.3226	3.5418	7.0962	0.1666			0.0350		-5.0000	0.5000	0.9986	859
okvis	-2	7353	backend_final	3.9767	3.3320	4.5669	-8.7092	1.9833	3.5862	4.1138	10.2100	0.0759	0.0759	0.0477	0.0798	0.0306	-0.5000	6.5000	1.0011	290
okvis	-2	7353	front	4.3550	3.7080	4.8504	-9.7282	2.2626	3.9453	5.0837	10.9424	0.2004			0.0408		-5.0000	1.5000	1.0011	862
okvis	-1	13f5	backend_final	1.2334	-1.0140	2.1027	-6.8683	1.4967	2.7215	4.0123	10.6666	0.0614	0.0614	0.0377	0.0372	0.0222	-0.5000	6.5000	0.9998	288
okvis	-1	13f5	front	1.5968	-0.6586	2.1627	-7.4158	1.3223	2.7739	4.3923	9.6806	0.1394			0.0222		-4.5000	2.5000	0.9985	858
okvis	-1	6d18	backend_final	0.9260	-3.0504	2.6432	-1.0416	1.4733	0.9697	3.0471	5.5041	0.0663	0.0663	0.0529	0.0616	0.0266	-0.5000	6.0000	0.9995	288
okvis	-1	6d18	front	1.0739	-2.9084	2.8488	-1.4624	2.3368	1.4237	3.8488	7.2236	0.1656			0.0350		-5.0000	1.5000	0.9970	859
okvis	-1	7353	backend_final	4.7538	4.1043	5.1334	-7.9663	1.8652	3.4665	4.1824	9.7332	0.0791	0.0791	0.0543	0.0798	0.0306	-0.5000	7.5000	1.0008	290
okvis	-1	7353	front	5.1600	4.5080	5.4519	-9.6560	2.3467	3.9599	5.4540	12.8966	0.2042			0.0408		-5.5000	2.5000	1.0022	862
okvis	0	13f5	backend_final	1.2374	-1.0101	2.1872	-7.7588	1.9585	3.0528	4.1697	11.6829	0.0637	0.0637	0.0398	0.0372	0.0222	-0.5000	7.5000	0.9995	288
okvis	0	13f5	front	1.6156	-0.6403	2.2686	-8.3869	1.8272	3.1301	4.6407	10.0716	0.1374			0.0222		-4.5000	3.5000	0.9944	858
okvis	0	6d18	backend_final	0.7130	-3.2551	2.5965	-1.0937	1.6892	1.0601	3.2265	6.2548	0.0716	0.0716	0.0559	0.0616	0.0266	-1.0000	6.5000	0.9995	288
okvis	0	6d18	front	0.8280	-3.1446	2.8690	-1.5600	2.6839	1.4645	3.9321	7.0371	0.1649			0.0350		-5.0000	2.5000	0.9937	859
okvis	0	7353	backend_final	5.4048	4.7513	5.7442	-7.6578	1.9587	3.5330	4.3029	8.7978	0.0848	0.0848	0.0532	0.0798	0.0306	-0.5000	8.5000	1.0012	290
okvis	0	7353	front	5.8733	5.2169	6.1065	-9.7816	2.7692	4.0456	6.2308	13.1085	0.2059			0.0408		-5.0000	4.0000	0.9972	862
okvis	1	13f5	backend_final	1.2539	-0.9939	2.4162	-8.8100	3.1080	3.6303	4.5343	12.6641	0.0680	0.0680	0.0416	0.0372	0.0222	-0.5000	8.5000	0.9999	288
okvis	1	13f5	front	1.7069	-0.5510	2.5249	-9.4613	3.0005	3.7681	5.2403	11.4042	0.1379			0.0222		-4.5000	4.5000	0.9931	858
okvis	1	6d18	backend_final	0.6280	-3.3367	2.5976	-1.1509	1.6943	1.0551	3.5166	6.6214	0.0749	0.0749	0.0586	0.0616	0.0266	-1.0000	7.5000	0.9993	288
okvis	1	6d18	front	0.7119	-3.2562	2.9291	-1.5342	2.8788	1.4896	4.1793	7.3784	0.1642			0.0350		-5.0000	3.5000	0.9927	859
okvis	1	7353	backend_final	5.7803	5.1245	6.6181	-8.5761	2.2392	3.9534	4.5693	10.4909	0.0885	0.0885	0.0587	0.0798	0.0306	-0.5000	9.5000	1.0010	290
okvis	1	7353	front	6.3054	5.6463	6.9620	-9.7612	3.2754	4.2636	6.6242	13.1692	0.2049			0.0408		-4.5000	5.5000	0.9966	862
okvis	2	13f5	backend_final	1.5167	-0.7370	2.7487	-9.8366	2.5491	3.7936	4.6645	13.6691	0.0725	0.0725	0.0445	0.0372	0.0222	-0.5000	9.5000	0.9998	288
okvis	2	13f5	front	1.9564	-0.3071	2.8467	-10.4490	2.1720	3.9291	5.4313	12.5585	0.1380			0.0222		-5.0000	5.0000	0.9926	858
okvis	2	6d18	backend_final	0.5876	-3.3756	2.7643	-1.3177	1.8270	1.1900	3.7239	7.4537	0.0787	0.0787	0.0652	0.0616	0.0266	-1.0000	8.5000	0.9992	288
okvis	2	6d18	front	0.6371	-3.3280	3.1198	-1.7039	3.0671	1.5921	4.5718	9.0161	0.1670			0.0350		-5.0000	4.5000	0.9970	859
okvis	2	7353	backend_final	5.9529	5.2960	7.1560	-9.8822	2.9049	4.3899	4.9577	11.9623	0.0921	0.0921	0.0593	0.0798	0.0306	-0.5000	10.5000	1.0008	290
okvis	2	7353	front	6.4643	5.8042	7.5063	-10.1962	4.2785	4.6688	7.1687	14.2965	0.2048			0.0408		-5.0000	6.0000	0.9948	862
okvis	3	13f5	backend_final	1.8457	-0.4153	3.1689	-10.9176	2.6368	4.1378	5.0865	14.9230	0.0773	0.0773	0.0479	0.0372	0.0222	-0.5000	10.5000	1.0000	288
okvis	3	13f5	front	2.2849	0.0142	3.2715	-11.9099	2.2212	4.4040	5.9582	14.3355	0.1399			0.0222		-5.0000	6.0000	0.9942	858
okvis	3	6d18	backend_final	0.2812	-3.6699	2.9738	-1.2477	2.1192	1.4542	4.1930	8.0466	0.0835	0.0835	0.0698	0.0616	0.0266	-1.0000	9.5000	0.9991	288
okvis	3	6d18	front	0.3501	-3.6037	3.4349	-1.7088	3.5319	1.8083	4.9263	8.7948	0.1686			0.0350		-5.0000	5.5000	0.9974	859
okvis	3	7353	backend_final	6.4685	5.8084	8.6611	-11.4596	2.3404	4.3043	4.9000	13.2796	0.0920	0.0920	0.0580	0.0798	0.0306	-0.5000	11.5000	1.0007	290
okvis	3	7353	front	7.0621	6.3983	9.0209	-7.4170	3.8204	4.2074	7.0483	15.0687	0.1978			0.0408		-4.5000	7.5000	0.9961	862
okvis	4	13f5	backend_final	3.2390	0.9471	4.1658	-13.0342	2.2659	4.6882	6.3515	17.1383	0.0826	0.0826	0.0488	0.0372	0.0222	-0.5000	11.5000	0.9995	288
okvis	4	13f5	front	3.7895	1.4854	4.2588	-13.6915	0.7588	4.7033	7.9222	17.5631	0.1402			0.0222		-5.5000	6.5000	0.9954	858
okvis	4	6d18	backend_final	-0.1734	-4.1066	3.1754	-2.8058	2.5189	1.8357	4.5448	8.8975	0.0907	0.0907	0.0713	0.0616	0.0266	-1.0000	10.5000	0.9988	288
okvis	4	6d18	front	-0.0738	-4.0109	3.7654	-2.0714	4.0475	2.1973	5.8036	11.7394	0.1705			0.0350		-5.0000	6.5000	0.9975	859
okvis	4	7353	backend_final	6.0422	5.3847	9.0256	-10.9999	0.2591	3.7317	4.7889	13.4741	0.0943	0.0943	0.0578	0.0798	0.0306	-0.5000	12.5000	1.0007	290
okvis	4	7353	front	6.8127	6.1505	9.4908	-7.3244	1.1144	3.3444	6.7491	11.2905	0.1962			0.0408		-4.5000	8.0000	0.9944	862
okvis	5	13f5	backend_final	3.4864	1.1890	4.6248	-13.8506	2.9962	5.0917	6.9450	18.4425	0.0880	0.0880	0.0495	0.0372	0.0222	-0.5000	12.5000	0.9992	288
okvis	5	13f5	front	4.1897	1.8767	4.7913	-15.0355	1.6976	5.3433	9.4507	23.2803	0.1432			0.0222		-5.5000	7.5000	1.0001	858
okvis	5	6d18	backend_final	0.2625	-3.6878	3.8077	-3.5865	3.9284	2.4553	5.1527	10.2067	0.0941	0.0941	0.0738	0.0616	0.0266	-1.0000	11.5000	0.9987	288
okvis	5	6d18	front	0.5564	-3.4056	4.5381	-3.3395	5.1580	3.0241	6.7136	15.7130	0.1718			0.0350		-5.0000	7.5000	0.9975	859
okvis	5	7353	backend_final	11.0444	10.3559	17.1439	-17.9020	20.0544	11.5727	10.2209	22.6609	0.0975	0.0975	0.0614	0.0798	0.0306	-0.5000	13.5000	1.0010	290
okvis	5	7353	front	12.5138	11.8162	18.0161	-14.7574	19.7694	11.1577	9.2606	19.9403	0.1959			0.0408		-5.0000	9.0000	0.9956	862
okvis	6	13f5	backend_final	1.8598	-0.4015	4.4901	-13.6681	4.6540	5.4763	7.0979	18.4873	0.0931	0.0931	0.0517	0.0372	0.0222	-0.5000	13.5000	0.9993	288
okvis	6	13f5	front	2.6752	0.3958	4.7579	-14.9721	3.2927	5.8070	9.6394	22.9449	0.1435			0.0222		-5.5000	8.5000	0.9981	858
okvis	6	6d18	backend_final	0.9157	-3.0603	7.1781	-2.3717	7.2985	3.2257	5.1224	13.0256	0.0963	0.0963	0.0769	0.0616	0.0266	-1.0000	12.5000	0.9991	288
okvis	6	6d18	front	1.2334	-2.7552	7.4256	-2.3808	8.6446	3.9409	6.3726	15.5559	0.1739			0.0350		-5.0000	8.5000	0.9997	859
okvis	6	7353	backend_final	16.1845	15.4642	22.2360	-22.6036	31.4456	17.0937	15.0270	34.1107	0.0979	0.0979	0.0593	0.0798	0.0306	-0.5000	14.5000	1.0005	290
okvis	6	7353	front	18.4250	17.6907	23.3090	-19.1720	31.5624	16.8302	13.1429	27.1224	0.1987			0.0408		-5.0000	9.5000	0.9921	862
okvis	7	13f5	backend_final	0.2435	-1.9819	4.8306	-12.9380	6.6224	5.8088	7.4497	18.0473	0.0975	0.0975	0.0532	0.0372	0.0222	-0.5000	14.5000	0.9999	288
okvis	7	13f5	front	1.1323	-1.1128	5.1821	-14.2958	5.3968	6.1237	10.2407	25.2275	0.1470			0.0222		-5.5000	9.5000	1.0018	858
okvis	7	6d18	backend_final	3.1557	-0.9087	6.2047	-5.3741	0.2216	1.8815	6.3951	16.5314	0.1003	0.1003	0.0788	0.0616	0.0266	-1.0000	13.5000	0.9982	288
okvis	7	6d18	front	3.5884	-0.4930	7.1888	-5.6182	1.4981	2.4863	8.1090	23.7628	0.1741			0.0350		-5.0000	9.5000	0.9995	859
okvis	7	7353	backend_final	17.6878	16.9582	23.6110	-24.3361	24.6435	15.1914	13.6874	27.6870	0.1044	0.1044	0.0628	0.0798	0.0306	-0.5000	15.5000	1.0000	290
okvis	7	7353	front	19.5968	18.8553	24.4553	-20.0111	21.8139	13.6930	13.5906	29.5102	0.2027			0.0408		-5.5000	10.5000	0.9978	862
okvis	8	13f5	backend_final	0.1132	-2.1093	5.1877	-13.2856	6.6853	5.9205	7.7121	18.3852	0.1023	0.1023	0.0549	0.0372	0.0222	-0.5000	15.5000	1.0000	288
okvis	8	13f5	front	1.1501	-1.0955	5.5530	-14.2055	5.2792	6.0731	10.7334	25.6900	0.1496			0.0222		-5.0000	11.0000	1.0015	858
okvis	8	6d18	backend_final	3.6308	-0.4522	5.8412	-5.5314	0.7172	2.3511	4.8631	10.1623	0.1063	0.1063	0.0832	0.0616	0.0266	-1.0000	14.5000	0.9987	288
okvis	8	6d18	front	3.8668	-0.2256	6.1500	-5.4509	2.1555	3.0343	5.9127	9.7381	0.1741			0.0350		-5.0000	10.5000	0.9993	859
okvis	8	7353	backend_final	17.4279	16.6999	20.3570	-22.9613	41.2178	20.9894	19.4856	45.2438	0.1032	0.1032	0.0603	0.0798	0.0306	-0.5000	16.5000	0.9997	290
okvis	8	7353	front	19.1996	18.4606	20.9460	-16.7879	41.7904	20.6305	21.9884	44.3319	0.2043			0.0408		-5.5000	11.5000	0.9978	862
