engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	-5	6d18	front	2.1163	-1.9071	4.4330	-0.9077	2.0092	1.1347	2.7679	7.5709	0.2807			0.0350		0.0000	2.5000	0.9026	859
base	-5	7353	backend_final	2.2856	1.6515	3.5132	-4.4706	0.9494	2.0727	3.2449	10.6928	0.0752	0.0752	0.0531	0.0798	0.0306	-5.0000	-1.0000	1.0001	290
base	-5	7353	front	2.6752	2.0386	3.8368	-4.0848	1.4073	1.6400	6.6730	19.0373	0.3294			0.0408		-0.5000	3.5000	0.9053	862
base	-4	13f5	backend_final	-1.5616	-3.7469	2.1724	-5.3937	4.7304	3.2651	5.1756	11.2594	0.0634	0.0634	0.0398	0.0372	0.0222	-4.5000	-0.5000	0.9977	288
base	-4	13f5	front	-1.1850	-3.3787	2.5588	-5.5172	7.0233	3.9931	5.8053	15.1360	0.2218			0.0222		-1.0000	3.0000	0.9148	858
base	-4	6d18	backend_final	1.5912	-2.4115	4.1958	-0.3781	1.9198	0.8134	2.2905	7.1383	0.0694	0.0694	0.0487	0.0616	0.0266	-4.5000	-1.0000	0.9996	288
base	-4	6d18	front	1.9274	-2.0885	4.2212	-0.6670	2.0753	1.0003	2.6217	7.8103	0.2762			0.0350		0.0000	3.5000	0.9045	859
base	-4	7353	backend_final	2.3822	1.7474	3.3878	-5.1204	0.7754	2.2258	3.1341	9.7536	0.0703	0.0703	0.0498	0.0798	0.0306	-5.0000	0.0000	1.0003	290
base	-4	7353	front	2.7215	2.0847	3.6529	-4.8340	1.2847	1.8485	6.1622	17.3352	0.3254			0.0408		-1.0000	4.0000	0.9043	862
base	-3	13f5	backend_final	-1.1986	-3.3920	2.0019	-4.8594	4.9917	3.1299	4.9697	11.4584	0.0607	0.0607	0.0376	0.0372	0.0222	-4.5000	0.5000	0.9978	288
base	-3	13f5	front	-0.8392	-3.0405	2.3548	-4.9649	7.4572	3.9004	5.7123	15.5861	0.2172			0.0222		-1.0000	4.0000	0.9173	858
base	-3	6d18	backend_final	1.6084	-2.3949	4.0347	-0.4164	1.6697	0.8221	2.3024	7.1322	0.0647	0.0647	0.0453	0.0616	0.0266	-5.0000	-0.5000	0.9993	288
base	-3	6d18	front	1.9080	-2.1072	4.0622	-0.7183	2.2297	1.0261	2.4765	7.2874	0.2747			0.0350		0.0000	4.5000	0.9050	859
base	-3	7353	backend_final	2.3394	1.7049	3.2580	-5.6895	0.6689	2.3839	3.0774	8.6837	0.0665	0.0665	0.0456	0.0798	0.0306	-5.0000	1.0000	1.0007	290
base	-3	7353	front	2.6339	1.9976	3.5144	-5.7119	1.4093	2.2267	5.5772	15.6841	0.3155			0.0408		-1.0000	5.0000	0.9102	862
base	-2	13f5	backend_final	-0.7497	-2.9531	1.8280	-4.5068	3.8001	2.7042	4.4411	9.7249	0.0579	0.0579	0.0359	0.0372	0.0222	-5.0000	1.0000	0.9984	288
base	-2	13f5	front	-0.4213	-2.6320	2.0982	-4.5937	5.6577	3.2887	5.1569	13.6823	0.2180			0.0222		-0.5000	5.5000	0.9156	858
base	-2	6d18	backend_final	1.5581	-2.4433	3.5580	-0.4956	1.7418	0.8598	2.2127	6.8110	0.0569	0.0569	0.0428	0.0616	0.0266	-5.0000	0.5000	0.9993	288
base	-2	6d18	front	1.8342	-2.1780	3.6156	-0.8034	1.9103	0.9833	2.3337	6.5334	0.2769			0.0350		0.0000	5.5000	0.9042	859
base	-2	7353	backend_final	2.2713	1.6372	3.0980	-5.9352	0.6301	2.5359	3.0201	8.1528	0.0689	0.0689	0.0434	0.0798	0.0306	-5.0000	2.0000	1.0010	290
