frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n,rc,state,queue_wait_ms,recording_frame
65,245420.429564583,0.0397,0.0395,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0088,133
66,245420.462900791,0.0573,0.0571,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0070,135
67,245420.496237250,0.0220,0.0220,nan,-1,-1,-1,-1,-1,-1,nan,22.1534,21.8580,1,0,1,0.0063,137
68,245420.529573583,0.0312,0.0311,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0079,139
69,245420.562909875,0.0264,0.0263,nan,-1,-1,-1,-1,-1,-1,nan,18.5374,18.2699,1,0,1,0.0056,141
70,245420.596246291,0.0282,0.0282,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0083,143
71,245420.629582625,0.0240,0.0241,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0057,145
72,245420.662918875,0.0317,0.0315,nan,-1,-1,-1,-1,-1,-1,nan,6.8982,6.6568,1,0,1,0.0070,147
73,245420.696255208,0.0314,0.0314,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0091,149
74,245420.729591625,0.0421,0.0421,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0075,151
75,245420.762927833,0.0278,0.0277,nan,-1,-1,-1,-1,-1,-1,nan,19.7770,19.5255,1,0,1,0.0056,153
76,245420.796264125,0.0273,0.0272,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0088,155
77,245420.829600541,0.0231,0.0231,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0062,157
78,245420.862936875,0.0299,0.0299,nan,-1,-1,-1,-1,-1,-1,nan,7.3780,7.1203,1,0,1,0.0065,159
79,245420.896273166,0.0289,0.0288,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0092,161
80,245420.929609458,0.0310,0.0308,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0076,163
81,245420.962945750,0.0490,0.0488,nan,-1,-1,-1,-1,-1,-1,nan,7.9682,7.6953,1,0,1,0.0094,165
82,245420.996282125,0.0434,0.0433,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0092,167
83,245421.029618458,0.0423,0.0423,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,169
84,245421.062954708,0.0300,0.0299,nan,-1,-1,-1,-1,-1,-1,nan,8.5715,8.2677,1,0,1,0.0064,171
85,245421.096291083,0.0480,0.0479,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0158,173
86,245421.129627416,0.1001,0.1000,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0080,175
87,245421.162963666,0.0284,0.0283,nan,-1,-1,-1,-1,-1,-1,nan,8.0217,7.7242,1,0,1,0.0071,177
88,245421.196300041,0.0360,0.0358,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0087,179
89,245421.229636416,0.0314,0.0312,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0141,181
90,245421.262972666,0.0537,0.0536,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0070,183
91,245421.296308958,0.0278,0.0277,nan,-1,-1,-1,-1,-1,-1,nan,22.0574,21.7582,1,0,1,0.0072,185
92,245421.329645333,0.0305,0.0304,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0058,187
93,245421.362981583,0.0254,0.0253,nan,-1,-1,-1,-1,-1,-1,nan,0.8348,0.5547,1,0,1,0.0064,189
94,245421.396317958,0.0352,0.0352,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0070,191
95,245421.429654166,0.0344,0.0343,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0104,193
96,245421.462990500,0.0413,0.0412,nan,-1,-1,-1,-1,-1,-1,nan,14.4584,14.1195,1,0,1,0.0059,195
