frame,recording_frame,t_ns,t_canonical,t_effective,exposure_used_s,exposure_recorded_s,host_reason,host_reason_label,k_source,recorded_fx,recorded_fy,recorded_cx,recorded_cy,attached,attached_fx,attached_fy,attached_cx,attached_cy,engine_report_read,engine_fx,engine_fy,engine_cx,engine_cy,engine_report_differs,pushed_w,pushed_h,channel,stride
0,4,245418112684666,245418.112684666,245418.112684666,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1417.003662109375,1417.003662109375,957.90960693359375,719.07354736328125,1,472.33455403645831,472.33455403645831,318.96986897786456,239.35784912109375,1,472.33455403645831,472.33455403645831,318.96986897786456,239.35784912109375,0,640,480,1,640
1,6,245418146021166,245418.146021166,245418.146021166,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1427.60498046875,1427.60498046875,958.09588623046875,719.16387939453125,1,475.86832682291669,475.86832682291669,319.03196207682294,239.38795979817709,1,475.86832682291669,475.86832682291669,319.03196207682294,239.38795979817709,0,640,480,1,640
2,8,245418179357666,245418.17935766603,245418.17935766603,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1427.3817138671875,1427.3817138671875,958.3726806640625,719.16021728515625,1,475.79390462239581,475.79390462239581,319.12422688802081,239.38673909505209,1,475.79390462239581,475.79390462239581,319.12422688802081,239.38673909505209,0,640,480,1,640
3,10,245418212694000,245418.21269400002,245418.21269400002,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1427.5185546875,1427.5185546875,958.6607666015625,719.191650390625,1,475.83951822916669,475.83951822916669,319.22025553385419,239.397216796875,1,475.83951822916669,475.83951822916669,319.22025553385419,239.397216796875,0,640,480,1,640
4,12,245418246030500,245418.24603050001,245418.24603050001,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1427.8790283203125,1427.8790283203125,959.0048828125,719.20697021484375,1,475.95967610677081,475.95967610677081,319.3349609375,239.40232340494791,1,475.95967610677081,475.95967610677081,319.3349609375,239.40232340494791,0,640,480,1,640
5,14,245418279366875,245418.27936687501,245418.27936687501,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1427.8729248046875,1427.8729248046875,959.35040283203125,719.199462890625,1,475.9576416015625,475.9576416015625,319.45013427734375,239.39982096354166,1,475.9576416015625,475.9576416015625,319.45013427734375,239.39982096354166,0,640,480,1,640
6,16,245418312703416,245418.31270341601,245418.31270341601,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1428.099365234375,1428.099365234375,959.81976318359375,719.18780517578125,1,476.03312174479169,476.03312174479169,319.60658772786456,239.39593505859375,1,476.03312174479169,476.03312174479169,319.60658772786456,239.39593505859375,0,640,480,1,640
7,18,245418346039875,245418.346039875,245418.346039875,0.0084745762711864406,0.0084745762711864406,0,attached,per_frame,1428.0546875,1428.0546875,960.33428955078125,719.172119140625,1,476.01822916666669,476.01822916666669,319.77809651692706,239.39070638020834,1,476.01822916666669,476.01822916666669,319.77809651692706,239.39070638020834,0,640,480,1,640
8,20,245418379376250,245418.37937625003,245418.37937625003,0.0086206896551724171,0.0086206896551724171,0,attached,per_frame,1428.2899169921875,1428.2899169921875,960.78759765625,719.2066650390625,1,476.09663899739581,476.09663899739581,319.92919921875,239.4022216796875,1,476.09663899739581,476.09663899739581,319.92919921875,239.4022216796875,0,640,480,1,640
9,22,245418412712791,245418.412712791,245418.412712791,0.0086206896551724171,0.0086206896551724171,0,attached,per_frame,1428.6800537109375,1428.6800537109375,961.26361083984375,719.2039794921875,1,476.2266845703125,476.2266845703125,320.08787027994794,239.40132649739584,1,476.2266845703125,476.2266845703125,320.08787027994794,239.40132649739584,0,640,480,1,640
