frame,recording_frame,t_ns,t_canonical,t_effective,exposure_used_s,exposure_recorded_s,host_reason,host_reason_label,k_source,recorded_fx,recorded_fy,recorded_cx,recorded_cy,attached,attached_fx,attached_fy,attached_cx,attached_cy,engine_report_read,engine_fx,engine_fy,engine_cx,engine_cy,engine_report_differs,pushed_w,pushed_h,channel,stride
10,24,245418446049250,245418.44604925002,245418.44604925002,0.0089285714285714281,0.0089285714285714281,0,attached,per_frame,1428.1082763671875,1428.1082763671875,961.71136474609375,719.1824951171875,1,476.03609212239581,476.03609212239581,320.23712158203125,239.3941650390625,1,476.03609212239581,476.03609212239581,320.23712158203125,239.3941650390625,0,640,480,1,640
11,26,245418479385625,245418.47938562502,245418.47938562502,0.0089285714285714281,0.0089285714285714281,0,attached,per_frame,1428.50439453125,1428.50439453125,962.18865966796875,719.1671142578125,1,476.16813151041669,476.16813151041669,320.39621988932294,239.3890380859375,1,476.16813151041669,476.16813151041669,320.39621988932294,239.3890380859375,0,640,480,1,640
12,28,245418512722083,245418.51272208302,245418.51272208302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.4359130859375,1428.4359130859375,962.59307861328125,719.18194580078125,1,476.14530436197919,476.14530436197919,320.53102620442706,239.39398193359375,1,476.14530436197919,476.14530436197919,320.53102620442706,239.39398193359375,0,640,480,1,640
13,30,245418546058625,245418.54605862501,245418.54605862501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.54296875,1428.54296875,962.9652099609375,719.16937255859375,1,476.18098958333331,476.18098958333331,320.65506998697919,239.38979085286459,1,476.18098958333331,476.18098958333331,320.65506998697919,239.38979085286459,0,640,480,1,640
14,32,245418579394958,245418.57939495801,245418.57939495801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.6651611328125,1428.6651611328125,963.30804443359375,719.18499755859375,1,476.22172037760419,476.22172037760419,320.76934814453125,239.39499918619791,1,476.22172037760419,476.22172037760419,320.76934814453125,239.39499918619791,0,640,480,1,640
15,34,245418612731500,245418.6127315,245418.6127315,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.6026611328125,1428.6026611328125,963.59014892578125,719.17840576171875,1,476.20088704427081,476.20088704427081,320.86338297526044,239.39280192057291,1,476.20088704427081,476.20088704427081,320.86338297526044,239.39280192057291,0,640,480,1,640
16,36,245418646067958,245418.64606795801,245418.64606795801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.08447265625,1428.08447265625,963.85919189453125,719.1934814453125,1,476.02815755208331,476.02815755208331,320.95306396484375,239.3978271484375,1,476.02815755208331,476.02815755208331,320.95306396484375,239.3978271484375,0,640,480,1,640
17,38,245418679404333,245418.679404333,245418.679404333,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.5728759765625,1428.5728759765625,964.07623291015625,719.24261474609375,1,476.19095865885419,476.19095865885419,321.02541097005206,239.41420491536459,1,476.19095865885419,476.19095865885419,321.02541097005206,239.41420491536459,0,640,480,1,640
18,40,245418712740791,245418.712740791,245418.712740791,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.674072265625,1428.674072265625,964.2489013671875,719.20733642578125,1,476.22469075520831,476.22469075520831,321.08296712239581,239.40244547526041,1,476.22469075520831,476.22469075520831,321.08296712239581,239.40244547526041,0,640,480,1,640
19,42,245418746077333,245418.74607733302,245418.74607733302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.4447021484375,1428.4447021484375,964.388916015625,719.2318115234375,1,476.14823404947919,476.14823404947919,321.129638671875,239.41060384114584,1,476.14823404947919,476.14823404947919,321.129638671875,239.41060384114584,0,640,480,1,640
20,44,245418779413666,245418.77941366602,245418.77941366602,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.33154296875,1428.33154296875,964.48822021484375,719.23809814453125,1,476.11051432291669,476.11051432291669,321.16274007161456,239.41269938151041,1,476.11051432291669,476.11051432291669,321.16274007161456,239.41269938151041,0,640,480,1,640
21,46,245418812750125,245418.81275012501,245418.81275012501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.54296875,1428.54296875,964.588623046875,719.29095458984375,1,476.18098958333331,476.18098958333331,321.19620768229169,239.43031819661459,1,476.18098958333331,476.18098958333331,321.19620768229169,239.43031819661459,0,640,480,1,640
22,48,245418846086625,245418.84608662501,245418.84608662501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1428.376220703125,1428.376220703125,964.62945556640625,719.29559326171875,1,476.12540690104169,476.12540690104169,321.20981852213544,239.43186442057291,1,476.12540690104169,476.12540690104169,321.20981852213544,239.43186442057291,0,640,480,1,640
23,50,245418879422958,245418.87942295801,245418.87942295801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1426.8455810546875,1426.8455810546875,964.68701171875,719.2657470703125,1,475.61519368489581,475.61519368489581,321.22900390625,239.42191569010416,1,475.61519368489581,475.61519368489581,321.22900390625,239.42191569010416,0,640,480,1,640
24,52,245418912759458,245418.91275945801,245418.91275945801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1426.8575439453125,1426.8575439453125,964.65380859375,719.27130126953125,1,475.61918131510419,475.61918131510419,321.21793619791669,239.42376708984375,1,475.61918131510419,475.61918131510419,321.21793619791669,239.42376708984375,0,640,480,1,640
25,54,245418946095791,245418.94609579101,245418.94609579101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1424.1922607421875,1424.1922607421875,964.71038818359375,719.28338623046875,1,474.73075358072919,474.73075358072919,321.23679606119794,239.42779541015625,1,474.73075358072919,474.73075358072919,321.23679606119794,239.42779541015625,0,640,480,1,640
26,56,245418979432250,245418.97943225002,245418.97943225002,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1424.2398681640625,1424.2398681640625,964.7408447265625,719.2706298828125,1,474.74662272135419,474.74662272135419,321.2469482421875,239.42354329427084,1,474.74662272135419,474.74662272135419,321.2469482421875,239.42354329427084,0,640,480,1,640
27,58,245419012768750,245419.01276875002,245419.01276875002,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1421.39013671875,1421.39013671875,964.67913818359375,719.287109375,1,473.79671223958331,473.79671223958331,321.22637939453125,239.42903645833334,1,473.79671223958331,473.79671223958331,321.22637939453125,239.42903645833334,0,640,480,1,640
28,60,245419046105083,245419.04610508302,245419.04610508302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1421.3216552734375,1421.3216552734375,964.6793212890625,719.2869873046875,1,473.77388509114581,473.77388509114581,321.2264404296875,239.42899576822916,1,473.77388509114581,473.77388509114581,321.2264404296875,239.42899576822916,0,640,480,1,640
29,61,245419229455291,245419.229455291,245419.229455291,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1413.111572265625,1413.111572265625,964.5218505859375,719.2750244140625,1,471.03719075520831,471.03719075520831,321.1739501953125,239.42500813802084,1,471.03719075520831,471.03719075520831,321.1739501953125,239.42500813802084,0,640,480,1,640
30,63,245419262791708,245419.26279170802,245419.26279170802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1411.1461181640625,1411.1461181640625,964.4833984375,719.23876953125,1,470.38203938802081,470.38203938802081,321.1611328125,239.41292317708334,1,470.38203938802081,470.38203938802081,321.1611328125,239.41292317708334,0,640,480,1,640
31,65,245419296128208,245419.29612820802,245419.29612820802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1410.1663818359375,1410.1663818359375,964.48638916015625,719.25531005859375,1,470.05546061197919,470.05546061197919,321.16212972005206,239.41843668619791,1,470.05546061197919,470.05546061197919,321.16212972005206,239.41843668619791,0,640,480,1,640
32,67,245419329464541,245419.32946454102,245419.32946454102,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1408.224853515625,1408.224853515625,964.46917724609375,719.2532958984375,1,469.40828450520831,469.40828450520831,321.15639241536456,239.41776529947916,1,469.40828450520831,469.40828450520831,321.15639241536456,239.41776529947916,0,640,480,1,640
33,69,245419362800958,245419.36280095801,245419.36280095801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1407.33740234375,1407.33740234375,964.40673828125,719.25494384765625,1,469.11246744791669,469.11246744791669,321.13557942708331,239.41831461588541,1,469.11246744791669,469.11246744791669,321.13557942708331,239.41831461588541,0,640,480,1,640
34,71,245419396137333,245419.39613733301,245419.39613733301,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1405.5626220703125,1405.5626220703125,964.4322509765625,719.2020263671875,1,468.5208740234375,468.5208740234375,321.14408365885419,239.40067545572916,1,468.5208740234375,468.5208740234375,321.14408365885419,239.40067545572916,0,640,480,1,640
35,73,245419429473791,245419.42947379101,245419.42947379101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1404.7138671875,1404.7138671875,964.43267822265625,719.22027587890625,1,468.23795572916669,468.23795572916669,321.14422607421875,239.40675862630209,1,468.23795572916669,468.23795572916669,321.14422607421875,239.40675862630209,0,640,480,1,640
36,75,245419462810041,245419.462810041,245419.462810041,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1403.856201171875,1403.856201171875,964.43133544921875,719.171875,1,467.95206705729169,467.95206705729169,321.14377848307294,239.390625,1,467.95206705729169,467.95206705729169,321.14377848307294,239.390625,0,640,480,1,640
37,77,245419496146458,245419.49614645803,245419.49614645803,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1403.5941162109375,1403.5941162109375,964.4373779296875,719.12109375,1,467.86470540364581,467.86470540364581,321.14579264322919,239.37369791666666,1,467.86470540364581,467.86470540364581,321.14579264322919,239.37369791666666,0,640,480,1,640
38,79,245419529482916,245419.52948291603,245419.52948291603,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1402.7841796875,1402.7841796875,964.388671875,719.11541748046875,1,467.5947265625,467.5947265625,321.12955729166669,239.37180582682291,1,467.5947265625,467.5947265625,321.12955729166669,239.37180582682291,0,640,480,1,640
39,81,245419562819333,245419.56281933302,245419.56281933302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1402.3226318359375,1402.3226318359375,964.4124755859375,719.07281494140625,1,467.44087727864581,467.44087727864581,321.13749186197919,239.35760498046875,1,467.44087727864581,467.44087727864581,321.13749186197919,239.35760498046875,0,640,480,1,640
40,83,245419596155666,245419.59615566602,245419.59615566602,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1401.67626953125,1401.67626953125,964.39495849609375,719.0733642578125,1,467.22542317708331,467.22542317708331,321.13165283203125,239.3577880859375,1,467.22542317708331,467.22542317708331,321.13165283203125,239.3577880859375,0,640,480,1,640
41,85,245419629492000,245419.62949200001,245419.62949200001,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1401.319091796875,1401.319091796875,964.39605712890625,718.9942626953125,1,467.10636393229169,467.10636393229169,321.13201904296875,239.3314208984375,1,467.10636393229169,467.10636393229169,321.13201904296875,239.3314208984375,0,640,480,1,640
42,87,245419662828458,245419.66282845801,245419.66282845801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1399.31787109375,1399.31787109375,964.3583984375,719.0135498046875,1,466.43929036458331,466.43929036458331,321.11946614583331,239.33784993489584,1,466.43929036458331,466.43929036458331,321.11946614583331,239.33784993489584,0,640,480,1,640
43,89,245419696164833,245419.696164833,245419.696164833,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1398.4185791015625,1398.4185791015625,964.3775634765625,718.969482421875,1,466.1395263671875,466.1395263671875,321.1258544921875,239.32316080729166,1,466.1395263671875,466.1395263671875,321.1258544921875,239.32316080729166,0,640,480,1,640
44,91,245419729501166,245419.729501166,245419.729501166,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1396.280517578125,1396.280517578125,964.32659912109375,718.9415283203125,1,465.42683919270831,465.42683919270831,321.10886637369794,239.3138427734375,1,465.42683919270831,465.42683919270831,321.10886637369794,239.3138427734375,0,640,480,1,640
45,93,245419762837500,245419.76283750002,245419.76283750002,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1395.6134033203125,1395.6134033203125,964.31890869140625,718.94366455078125,1,465.2044677734375,465.2044677734375,321.10630289713544,239.31455485026041,1,465.2044677734375,465.2044677734375,321.10630289713544,239.31455485026041,0,640,480,1,640
46,95,245419796173958,245419.79617395802,245419.79617395802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1393.662841796875,1393.662841796875,964.26611328125,718.94427490234375,1,464.55428059895831,464.55428059895831,321.08870442708331,239.31475830078125,1,464.55428059895831,464.55428059895831,321.08870442708331,239.31475830078125,0,640,480,1,640
47,97,245419829510208,245419.82951020802,245419.82951020802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1392.95703125,1392.95703125,964.27734375,718.9608154296875,1,464.31901041666669,464.31901041666669,321.09244791666669,239.32027180989584,1,464.31901041666669,464.31901041666669,321.09244791666669,239.32027180989584,0,640,480,1,640
48,99,245419862846541,245419.86284654101,245419.86284654101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1390.7713623046875,1390.7713623046875,964.204833984375,719.0157470703125,1,463.5904541015625,463.5904541015625,321.06827799479169,239.33858235677084,1,463.5904541015625,463.5904541015625,321.06827799479169,239.33858235677084,0,640,480,1,640
49,101,245419896182958,245419.89618295801,245419.89618295801,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1390.08642578125,1390.08642578125,964.16363525390625,719.030517578125,1,463.36214192708331,463.36214192708331,321.05454508463544,239.343505859375,1,463.36214192708331,463.36214192708331,321.05454508463544,239.343505859375,0,640,480,1,640
50,103,245419929519333,245419.929519333,245419.929519333,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1387.9691162109375,1387.9691162109375,964.1258544921875,719.02496337890625,1,462.6563720703125,462.6563720703125,321.04195149739581,239.34165445963541,1,462.6563720703125,462.6563720703125,321.04195149739581,239.34165445963541,0,640,480,1,640
51,105,245419962855625,245419.96285562502,245419.96285562502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1387.37353515625,1387.37353515625,964.163330078125,719.1080322265625,1,462.45784505208331,462.45784505208331,321.054443359375,239.36934407552084,1,462.45784505208331,462.45784505208331,321.054443359375,239.36934407552084,0,640,480,1,640
52,107,245419996192083,245419.99619208302,245419.99619208302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1385.99169921875,1385.99169921875,964.0618896484375,719.09912109375,1,461.99723307291669,461.99723307291669,321.0206298828125,239.36637369791666,1,461.99723307291669,461.99723307291669,321.0206298828125,239.36637369791666,0,640,480,1,640
53,109,245420029528375,245420.02952837502,245420.02952837502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1385.6224365234375,1385.6224365234375,964.04815673828125,719.15277099609375,1,461.8741455078125,461.8741455078125,321.01605224609375,239.38425699869791,1,461.8741455078125,461.8741455078125,321.01605224609375,239.38425699869791,0,640,480,1,640
54,111,245420062864708,245420.06286470802,245420.06286470802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1384.797607421875,1384.797607421875,964.02978515625,719.1480712890625,1,461.59920247395831,461.59920247395831,321.00992838541669,239.3826904296875,1,461.59920247395831,461.59920247395831,321.00992838541669,239.3826904296875,0,640,480,1,640
55,113,245420096201083,245420.09620108301,245420.09620108301,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1384.586181640625,1384.586181640625,963.99114990234375,719.15234375,1,461.52872721354169,461.52872721354169,320.99704996744794,239.38411458333334,1,461.52872721354169,461.52872721354169,320.99704996744794,239.38411458333334,0,640,480,1,640
56,115,245420129537500,245420.1295375,245420.1295375,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1383.78515625,1383.78515625,963.98858642578125,719.18084716796875,1,461.26171875,461.26171875,320.99619547526044,239.39361572265625,1,461.26171875,461.26171875,320.99619547526044,239.39361572265625,0,640,480,1,640
57,117,245420162873750,245420.16287375003,245420.16287375003,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1383.4456787109375,1383.4456787109375,963.91259765625,719.17242431640625,1,461.1485595703125,461.1485595703125,320.97086588541669,239.39080810546875,1,461.1485595703125,461.1485595703125,320.97086588541669,239.39080810546875,0,640,480,1,640
58,119,245420196210125,245420.19621012502,245420.19621012502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1382.18896484375,1382.18896484375,963.91900634765625,719.1641845703125,1,460.72965494791669,460.72965494791669,320.97300211588544,239.3880615234375,1,460.72965494791669,460.72965494791669,320.97300211588544,239.3880615234375,0,640,480,1,640
59,121,245420229546583,245420.22954658302,245420.22954658302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1381.7154541015625,1381.7154541015625,963.86541748046875,719.18524169921875,1,460.57181803385419,460.57181803385419,320.95513916015625,239.39508056640625,1,460.57181803385419,460.57181803385419,320.95513916015625,239.39508056640625,0,640,480,1,640
60,123,245420262882875,245420.26288287502,245420.26288287502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1380.935302734375,1380.935302734375,963.86810302734375,719.1610107421875,1,460.311767578125,460.311767578125,320.95603434244794,239.38700358072916,1,460.311767578125,460.311767578125,320.95603434244794,239.38700358072916,0,640,480,1,640
61,125,245420296219125,245420.29621912501,245420.29621912501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1380.5689697265625,1380.5689697265625,963.90277099609375,719.130615234375,1,460.18965657552081,460.18965657552081,320.96759033203125,239.37687174479166,1,460.18965657552081,460.18965657552081,320.96759033203125,239.37687174479166,0,640,480,1,640
62,127,245420329555500,245420.32955550001,245420.32955550001,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1379.3062744140625,1379.3062744140625,963.84246826171875,719.1513671875,1,459.76875813802081,459.76875813802081,320.94748942057294,239.3837890625,1,459.76875813802081,459.76875813802081,320.94748942057294,239.3837890625,0,640,480,1,640
63,129,245420362891791,245420.36289179101,245420.36289179101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1378.8714599609375,1378.8714599609375,963.84783935546875,719.0823974609375,1,459.62381998697919,459.62381998697919,320.94927978515625,239.36079915364584,1,459.62381998697919,459.62381998697919,320.94927978515625,239.36079915364584,0,640,480,1,640
64,131,245420396228125,245420.39622812503,245420.39622812503,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1378.1063232421875,1378.1063232421875,963.8448486328125,719.09051513671875,1,459.3687744140625,459.3687744140625,320.94828287760419,239.36350504557291,1,459.3687744140625,459.3687744140625,320.94828287760419,239.36350504557291,0,640,480,1,640
65,133,245420429564583,245420.42956458303,245420.42956458303,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1377.8262939453125,1377.8262939453125,963.77716064453125,719.02349853515625,1,459.27543131510419,459.27543131510419,320.92572021484375,239.34116617838541,1,459.27543131510419,459.27543131510419,320.92572021484375,239.34116617838541,0,640,480,1,640
66,135,245420462900791,245420.46290079103,245420.46290079103,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1376.6470947265625,1376.6470947265625,963.8001708984375,718.97503662109375,1,458.88236490885419,458.88236490885419,320.93339029947919,239.32501220703125,1,458.88236490885419,458.88236490885419,320.93339029947919,239.32501220703125,0,640,480,1,640
67,137,245420496237250,245420.49623725002,245420.49623725002,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1376.1229248046875,1376.1229248046875,963.78662109375,718.9671630859375,1,458.7076416015625,458.7076416015625,320.92887369791669,239.3223876953125,1,458.7076416015625,458.7076416015625,320.92887369791669,239.3223876953125,0,640,480,1,640
68,139,245420529573583,245420.52957358302,245420.52957358302,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1375.31298828125,1375.31298828125,963.78369140625,718.9346923828125,1,458.43766276041669,458.43766276041669,320.92789713541669,239.31156412760416,1,458.43766276041669,458.43766276041669,320.92789713541669,239.31156412760416,0,640,480,1,640
69,141,245420562909875,245420.56290987501,245420.56290987501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1375.1104736328125,1375.1104736328125,963.7567138671875,718.87457275390625,1,458.37015787760419,458.37015787760419,320.91890462239581,239.29152425130209,1,458.37015787760419,458.37015787760419,320.91890462239581,239.29152425130209,0,640,480,1,640
70,143,245420596246291,245420.59624629101,245420.59624629101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1373.4786376953125,1373.4786376953125,963.74822998046875,718.84002685546875,1,457.82621256510419,457.82621256510419,320.91607666015625,239.28000895182291,1,457.82621256510419,457.82621256510419,320.91607666015625,239.28000895182291,0,640,480,1,640
71,145,245420629582625,245420.62958262503,245420.62958262503,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1372.72509765625,1372.72509765625,963.7054443359375,718.815673828125,1,457.57503255208331,457.57503255208331,320.90181477864581,239.27189127604166,1,457.57503255208331,457.57503255208331,320.90181477864581,239.27189127604166,0,640,480,1,640
72,147,245420662918875,245420.66291887502,245420.66291887502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1370.593017578125,1370.593017578125,963.720458984375,718.8121337890625,1,456.86433919270831,456.86433919270831,320.90681966145831,239.27071126302084,1,456.86433919270831,456.86433919270831,320.90681966145831,239.27071126302084,0,640,480,1,640
73,149,245420696255208,245420.69625520802,245420.69625520802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1370.0421142578125,1370.0421142578125,963.70697021484375,718.77703857421875,1,456.68070475260419,456.68070475260419,320.90232340494794,239.25901285807291,1,456.68070475260419,456.68070475260419,320.90232340494794,239.25901285807291,0,640,480,1,640
74,151,245420729591625,245420.72959162502,245420.72959162502,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1368.3775634765625,1368.3775634765625,963.718994140625,718.7010498046875,1,456.1258544921875,456.1258544921875,320.90633138020831,239.23368326822916,1,456.1258544921875,456.1258544921875,320.90633138020831,239.23368326822916,0,640,480,1,640
75,153,245420762927833,245420.76292783301,245420.76292783301,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1367.7520751953125,1367.7520751953125,963.76220703125,718.71795654296875,1,455.9173583984375,455.9173583984375,320.92073567708331,239.23931884765625,1,455.9173583984375,455.9173583984375,320.92073567708331,239.23931884765625,0,640,480,1,640
76,155,245420796264125,245420.79626412501,245420.79626412501,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1366.9510498046875,1366.9510498046875,963.7685546875,718.74041748046875,1,455.65034993489581,455.65034993489581,320.9228515625,239.24680582682291,1,455.65034993489581,455.65034993489581,320.9228515625,239.24680582682291,0,640,480,1,640
77,157,245420829600541,245420.82960054101,245420.82960054101,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1366.6026611328125,1366.6026611328125,963.7708740234375,718.6641845703125,1,455.53422037760419,455.53422037760419,320.92362467447919,239.22139485677084,1,455.53422037760419,455.53422037760419,320.92362467447919,239.22139485677084,0,640,480,1,640
78,159,245420862936875,245420.86293687503,245420.86293687503,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1366.0040283203125,1366.0040283203125,963.766357421875,718.684326171875,1,455.33467610677081,455.33467610677081,320.922119140625,239.22810872395834,1,455.33467610677081,455.33467610677081,320.922119140625,239.22810872395834,0,640,480,1,640
79,161,245420896273166,245420.89627316603,245420.89627316603,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1365.4798583984375,1365.4798583984375,963.77197265625,718.708251953125,1,455.15995279947919,455.15995279947919,320.92399088541669,239.236083984375,1,455.15995279947919,455.15995279947919,320.92399088541669,239.236083984375,0,640,480,1,640
80,163,245420929609458,245420.92960945802,245420.92960945802,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1364.1309814453125,1364.1309814453125,963.757568359375,718.66131591796875,1,454.7103271484375,454.7103271484375,320.919189453125,239.22043863932291,1,454.7103271484375,454.7103271484375,320.919189453125,239.22043863932291,0,640,480,1,640
81,165,245420962945750,245420.96294575001,245420.96294575001,0.0090090090090090089,0.0090090090090090089,0,attached,per_frame,1363.97021484375,1363.97021484375,963.70233154296875,718.64630126953125,1,454.65673828125,454.65673828125,320.90077718098956,239.21543375651041,1,454.65673828125,454.65673828125,320.90077718098956,239.21543375651041,0,640,480,1,640
