point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
0,6,3.18661,3.18661,3.88282,19.1724,10
1,4,1.78873,1.78873,3.81416,10.0172,4
2,5,1.18202,1.18202,1.91645,23.5155,11
3,12,0.934864,0.934864,3.04658,32.3306,18
4,13,1.35627,1.35627,2.21487,33.2593,16
5,9,2.19884,2.19884,3.76057,23.3714,11
6,6,1.89005,1.89005,3.6239,11.6706,5
7,8,1.21492,1.21492,3.13781,32.4967,10
8,6,1.38625,1.38625,3.3829,16.6686,14
9,6,1.30263,1.30263,3.06225,30.8506,10
10,11,1.53853,1.53853,3.73261,32.1497,16
11,2,0.179831,0.179831,0.181504,4.3217,1
12,4,1.48675,1.48675,2.71949,16.7798,17
13,4,1.51425,1.51425,2.2804,13.3876,15
14,8,1.24299,1.24299,2.90611,17.6105,16
15,3,0.892073,0.892073,1.76833,10.147,12
16,4,1.3183,1.3183,2.96744,15.9307,4
17,5,1.56545,1.56545,3.38865,25.3065,11
18,3,0.490809,0.490809,0.942394,8.98184,3
19,3,1.484,1.484,3.45459,12.8813,2
20,8,1.98551,1.98551,3.45985,23.3534,9
21,11,2.35949,2.35949,3.77838,29.9155,17
22,11,2.35949,2.35949,3.77838,29.9155,17
23,16,1.3615,1.3615,3.48792,32.4941,19
24,6,1.20461,1.20461,2.25796,8.69387,7
25,4,1.19183,1.19183,2.9553,15.0275,18
26,15,1.41306,1.41306,3.35997,32.485,19
27,3,0.550906,0.550906,0.900937,7.67156,2
28,4,1.98915,1.98915,3.65921,9.19563,4
29,5,1.43563,1.43563,3.17027,20.8665,15
30,4,1.6025,1.6025,2.99886,8.4138,14
31,3,0.508722,0.508722,0.720694,14.9307,2
32,8,1.43191,1.43191,3.46741,40.1437,19
33,5,1.29873,1.29873,3.00353,22.6579,12
34,8,1.32813,1.32813,3.55689,33.1273,9
35,2,0.844423,0.844423,0.859227,5.02457,1
36,2,1.46221,1.46221,2.53149,5.19809,1
37,2,1.33285,1.33285,2.2183,5.02014,1
38,2,1.53673,1.53673,2.70528,3.66564,1
39,2,0.655876,0.655876,0.660228,5.01331,1
40,2,1.14204,1.14204,1.70446,4.96069,1
41,2,1.98628,1.98628,3.71412,5.03912,1
