local_index,depth_mean_absdiff,depth_max_absdiff,conf_mean_absdiff,conf_max_absdiff,intrinsics_max_absdiff,extrinsics_max_absdiff,cam_center_A_x,cam_center_A_y,cam_center_A_z,cam_center_B_x,cam_center_B_y,cam_center_B_z,cam_center_B_aligned_residual
0,0.0,0.0,0.0,0.0,62.129364013671875,0.043414175510406494,-0.11144423484802246,-0.30438217520713806,-0.07713134586811066,-0.11733385920524597,-0.3469025194644928,-0.08731920272111893,0.01716095973149656
1,0.0,0.0,0.0,0.0,61.94793701171875,0.04693475365638733,-0.10358250886201859,-0.3090253174304962,-0.07069837301969528,-0.10747268050909042,-0.3452300429344177,-0.094963937997818,0.02993321896372772
2,0.0,0.0,0.0,0.0,58.380615234375,0.0402507483959198,-0.112861767411232,-0.31849896907806396,-0.08463040739297867,-0.11596424877643585,-0.3421480059623718,-0.11734136939048767,0.04452979948892443
3,0.0,0.0,0.0,0.0,58.947509765625,0.045820772647857666,-0.10899391770362854,-0.29544174671173096,-0.1081530973315239,-0.11227966099977493,-0.3334329426288605,-0.13857099413871765,0.0303690251907115
4,0.0,0.0,0.0,0.0,54.79986572265625,0.042860209941864014,-0.22523972392082214,-0.29394423961639404,-0.08716637641191483,-0.24040186405181885,-0.3313540816307068,-0.10634049773216248,0.024167925692041996
5,0.0,0.0,0.0,0.0,52.549835205078125,0.05080258846282959,-0.25399717688560486,-0.311149924993515,-0.06104374676942825,-0.2798365354537964,-0.355394572019577,-0.0638616606593132,0.014397229102363358
6,0.0,0.0,0.0,0.0,48.995819091796875,0.050444960594177246,-0.257004052400589,-0.30375173687934875,-0.03690977022051811,-0.2732692062854767,-0.343838095664978,-0.01747864857316017,0.021832032683997974
7,0.0,0.0,0.0,0.0,51.27099609375,0.04913303256034851,-0.24958576261997223,-0.3343390226364136,-0.03194084390997887,-0.2629428803920746,-0.37670329213142395,-0.02112388238310814,0.017304039640193267
8,0.0,0.0,0.0,0.0,51.258941650390625,0.048810869455337524,-0.23191526532173157,-0.35760924220085144,-0.042433951050043106,-0.24617396295070648,-0.40338051319122314,-0.033992450684309006,0.01618509202295929
9,0.0,0.0,0.0,0.0,55.360687255859375,0.05338451266288757,-0.2141651213169098,-0.4099491536617279,-0.02807711437344551,-0.22276143729686737,-0.4618055522441864,-0.008950365707278252,0.016067669194782964
10,0.0,0.0,0.0,0.0,58.53204345703125,0.07962840795516968,-0.18767404556274414,-0.47080790996551514,-0.034888096153736115,-0.20580245554447174,-0.5593400001525879,-0.003837727243080735,0.01321532496991186
11,0.0,0.0,0.0,0.0,55.576080322265625,0.08026975393295288,-0.1878468543291092,-0.49625349044799805,-0.047190021723508835,-0.20001085102558136,-0.5874515175819397,-0.01035550981760025,0.012968538747530773
12,0.0,0.0,0.0,0.0,54.11102294921875,0.0852414071559906,-0.14115403592586517,-0.5049117207527161,-0.05103439465165138,-0.14442257583141327,-0.6000939607620239,-0.007778378203511238,0.01815990984722503
13,0.0,0.0,0.0,0.0,58.467376708984375,0.09186959266662598,-0.12085382640361786,-0.5140109062194824,-0.04034608602523804,-0.12561222910881042,-0.6171920895576477,0.001501421327702701,0.021570673018373548
14,0.0,0.0,0.0,0.0,52.1019287109375,0.09880504012107849,-0.1164451539516449,-0.5460661053657532,-0.04968513920903206,-0.11132970452308655,-0.6571494340896606,0.001057127141393721,0.026967758074406333
15,0.0,0.0,0.0,0.0,53.308746337890625,0.10154247283935547,-0.11272858828306198,-0.5358527302742004,-0.039053693413734436,-0.11341984570026398,-0.6449453234672546,0.017783520743250847,0.03014909445714722
16,0.0,0.0,0.0,0.0,47.25567626953125,0.09897959232330322,-0.11463991552591324,-0.5550447106361389,-0.009267563000321388,-0.10484413057565689,-0.6618255376815796,0.04415493458509445,0.026410605818782847
17,0.0,0.0,0.0,0.0,48.303619384765625,0.09168234467506409,-0.09914617240428925,-0.5399487018585205,0.0007475959719158709,-0.0913788452744484,-0.6294105648994446,0.06496801972389221,0.024744486904075574
18,0.0,0.0,0.0,0.0,37.0599365234375,0.09274739027023315,-0.09114176779985428,-0.5501095056533813,0.012577218934893608,-0.08454089611768723,-0.6346668004989624,0.08515919744968414,0.02772517150250195
19,0.0,0.0,0.0,0.0,4.457000732421875,0.003139605512842536,-0.00030496559338644147,-4.029087722301483e-05,-0.0001281052827835083,0.0010013418504968286,-0.002361910417675972,-0.0005711417179554701,0.02477128961589717
20,0.0,0.0,0.0,0.0,4.97918701171875,0.01343904435634613,0.0049820044077932835,0.0024817867670208216,0.01220840122550726,0.0051769050769507885,-0.005377734079957008,0.015333570539951324,0.026263552603616052
21,0.0,0.0,0.0,0.0,4.05889892578125,0.01558852568268776,0.0037546695675700903,0.0004841517948079854,0.015645654872059822,0.003632756881415844,-0.009077172726392746,0.019121378660202026,0.026104967333814955
22,0.0,0.0,0.0,0.0,12.743316650390625,0.030069507658481598,-0.03774282708764076,-0.06911798566579819,0.13012173771858215,-0.025560634210705757,-0.08275239914655685,0.1361839920282364,0.016403069482988895
23,0.0,0.0,0.0,0.0,21.294097900390625,0.02877822518348694,-0.02865314856171608,-0.14231280982494354,0.16992449760437012,-0.024160442873835564,-0.15451814234256744,0.17617125809192657,0.007683990996107381
24,0.0,0.0,0.0,0.0,21.57708740234375,0.022890672087669373,-0.02789982408285141,-0.15767310559749603,0.17248086631298065,-0.02558501437306404,-0.16921201348304749,0.18208183348178864,0.005214140372079932
25,0.0,0.0,0.0,0.0,20.050994873046875,0.025095656514167786,-0.02189229615032673,-0.17031386494636536,0.17466408014297485,-0.021808069199323654,-0.18324558436870575,0.18741855025291443,0.005073129538614238
26,0.0,0.0,0.0,0.0,18.828155517578125,0.02525267004966736,-0.025030985474586487,-0.18441598117351532,0.1840049922466278,-0.02350236289203167,-0.19541926681995392,0.19443856179714203,0.007822178492878471
27,0.0,0.0,0.0,0.0,22.158905029296875,0.02402043342590332,-0.01491303276270628,-0.22033746540546417,0.20999597012996674,-0.016103658825159073,-0.23636211454868317,0.22662563621997833,0.011126093275902086
28,0.0,0.0,0.0,0.0,20.806915283203125,0.023644626140594482,-0.01508499588817358,-0.23932458460330963,0.23058152198791504,-0.017095930874347687,-0.2528105080127716,0.24187734723091125,0.01920787718960947
29,0.0,0.0,0.0,0.0,20.094329833984375,0.021206393837928772,-0.02112603932619095,-0.24254320561885834,0.22338417172431946,-0.01997208409011364,-0.2574290335178375,0.23640809953212738,0.016604748377270835
30,0.0,0.0,0.0,0.0,21.274322509765625,0.022825121879577637,-0.022421741858124733,-0.2594338059425354,0.24254535138607025,-0.020326627418398857,-0.27259528636932373,0.25508081912994385,0.020861134503264545
31,0.0,0.0,0.0,0.0,21.569488525390625,0.022012174129486084,-0.011745023541152477,-0.23209671676158905,0.23159363865852356,-0.01336675975471735,-0.24546346068382263,0.2458345741033554,0.016255850705008616
32,0.0,0.0,0.0,0.0,21.303619384765625,0.01913014054298401,-0.006260499823838472,-0.21639153361320496,0.24505726993083954,-0.008512611500918865,-0.22912593185901642,0.25641244649887085,0.01940353931836974
33,0.0,0.0,0.0,0.0,19.705902099609375,0.02224837988615036,0.011990302242338657,-0.19069114327430725,0.23309925198554993,0.009227998554706573,-0.20088186860084534,0.24185313284397125,0.018754418002719438
34,0.0,0.0,0.0,0.0,22.05413818359375,0.023163050413131714,0.01950700208544731,-0.16504763066768646,0.21791929006576538,0.016755325719714165,-0.1815520077943802,0.22967851161956787,0.01763729943295073
