timestamp_ns,wx,wy,wz,ax,ay,az
248677944153625,-0.0029675604309886694,-0.0018311894964426756,0.0011140003334730864,0.04384381790161133,0.15906477279663084,9.705345342254638
248677954125625,-0.0015401060227304697,-0.0023552996572107077,0.0008546083699911833,0.037110125732421874,0.1605611488342285,9.693673609161376
248677964097625,-0.0021723404061049223,-0.000993625377304852,0.00040187101694755256,0.043245267486572266,0.16175824966430663,9.697264911651612
248677974069625,-0.003040797309949994,-0.0022530341520905495,0.0005102616851218045,0.0430956298828125,0.16654665298461913,9.699958388519287
248677984041625,-0.0022173479665070772,-0.002429868094623089,0.0006133259739726782,0.04189852905273437,0.15562310791015624,9.701454764556884
248677994013625,-0.003644269658252597,-8.468852320220321e-05,0.0016892430139705539,0.04414309310913086,0.15113397979736326,9.693374333953857
248678003984625,-0.002983539365231991,-0.0032836776226758957,0.0004207794554531574,0.046238019561767575,0.1414075355529785,9.680355862426758
248678013956625,-0.0020985708106309175,-0.0008141283178701997,0.0006327670416794717,0.044292730712890624,0.16250643768310546,9.683348614501952
248678023928625,-0.0030655646696686745,-0.001787779969163239,0.0010125337867066264,0.04414309310913086,0.16430208892822265,9.694122521972655
248678033900625,-0.0025156219489872456,-0.001418932224623859,0.001327053178101778,0.05596446380615234,0.15367781906127928,9.681403325653076
248678043872625,-0.0023670175578445196,-0.0024730113800615072,0.0011291803093627095,0.0474351203918457,0.14724340209960937,9.694571434783935
248678053844625,-0.0037238982040435076,-0.002103364560753107,0.002252501668408513,0.05910685348510742,0.14769231491088866,9.690231944274903
248678063816625,-0.0025238776579499245,-0.0024319987278431654,0.0006119944155216217,0.04997895965576172,0.16071078643798828,9.692775783538817
248678073788625,-0.002785400254651904,-0.0016114787431433797,0.0014295848086476326,0.047884033203124995,0.15906477279663084,9.693224696350097
248678083760625,-0.004668254870921373,-0.002317482838407159,0.0006261091912165284,0.05237316131591797,0.1475426773071289,9.706841718292235
248678093732625,-0.0027214842848479748,-0.0014029532903805375,0.0024612934794276953,0.05491700057983398,0.16011223602294922,9.71058265838623
248678103704625,-0.00333214714191854,-0.002091913018375635,0.0004271710349712521,0.049829322052001954,0.14933832855224607,9.689034843444823
248678113676625,-0.0034258903469890356,-0.0025241440162062645,-0.00015286543930415064,0.050427872467041016,0.15981296081542967,9.710881933593749
248678123648625,-0.0027771443128585815,-0.0029577065724879503,0.00046312372433021665,0.05401917495727539,0.15248071823120116,9.695020347595214
248678133620625,-0.0022269352339208126,-0.0013928331900388002,0.0004623247659765184,0.04474164352416992,0.15682020874023436,9.699060562896728
248678143592625,-0.0035459990613162518,-0.0013728595804423094,0.00021784658019896597,0.040402153015136714,0.15233108062744138,9.69741454925537
248678153564625,-0.0028964539524167776,-0.0008135957177728415,0.0009448895580135286,0.04115034103393554,0.14784195251464843,9.692775783538817
248678163536625,-0.001933721243403852,-0.0024615598376840353,0.0019342538435012102,0.05132569808959961,0.14320318679809568,9.71028338317871
248678173508625,-0.0021523667965084314,-0.002424009144306183,-0.0005022721597924829,0.05102642288208008,0.15113397979736326,9.699509475708007
248678183480625,-0.0025566346012055874,-0.0014559502014890313,-0.00016325176693499088,0.04908113403320312,0.14694412689208983,9.6917283203125
248678193452625,-0.0030945930629968643,-0.0018405106384307146,0.0010069411946460605,0.04713584518432617,0.1484405029296875,9.692326870727538
248678203424625,-0.003171025775372982,-0.001856755930930376,0.0006756439688615501,0.04548983154296875,0.14933832855224607,9.705345342254638
248678213396625,-0.0017712684348225594,-9.321063771494664e-06,0.0013057478936389089,0.041748891448974604,0.1444002876281738,9.707889181518555
248678223368625,-0.003454386256635189,-0.0010207896120846272,0.0013957626651972532,0.053420624542236325,0.15098434219360352,9.696516723632811
