,all_done,seed,configs,num_running,num_done,coarse_job_obj,coarse_output_folder,coarse_submitted
116,notdone,4e425f93,['coast'],0,0,,,
117,notdone,3972c51d,['plain'],0,0,,,
118,notdone,e2145a7,['canyon'],0,0,,,
119,notdone,4a1f556a,['desert'],0,0,,,
120,notdone,6cadc9a1,['coast'],0,0,,,
121,notdone,6bb37167,['coast'],0,0,,,
122,notdone,4eaff4fd,['river'],0,0,,,
123,notdone,1f5f4754,['river'],0,0,,,
124,notdone,7bb54f5e,['desert'],0,0,,,
125,notdone,2652b61,['forest'],0,0,,,
126,notdone,1d4a6d9e,['river'],0,0,,,
127,notdone,30025af,['river'],0,0,,,
128,notdone,6d457012,['forest'],0,0,,,
129,notdone,13133453,['plain'],0,0,,,
130,notdone,70af416f,['desert'],0,0,,,
131,notdone,6e681daf,['plain'],0,0,,,
132,notdone,1d48a71e,['forest'],0,0,,,
133,notdone,335fed9a,['coast'],0,0,,,
134,notdone,6e4f3d65,['forest'],0,0,,,
135,notdone,47286b0f,['mountain'],0,0,,,
136,notdone,2dc1ba3b,['desert'],0,0,,,
137,notdone,57ba54e3,['desert'],0,0,,,
138,notdone,5efeeddf,['river'],0,0,,,
139,notdone,681b7d4e,['coast'],0,0,,,
140,notdone,55c46cd5,['river'],0,0,,,
141,notdone,4c5bf613,['forest'],0,0,,,
142,notdone,b40b5b7,['plain'],0,0,,,
143,notdone,37ff9e42,['forest'],0,0,,,
144,notdone,714d0f4b,['plain'],0,0,,,
145,notdone,689963e,['river'],0,0,,,
146,notdone,f163a80,['river'],0,0,,,
147,notdone,349bacb1,['coast'],0,0,,,
148,notdone,66559f46,['desert'],0,0,,,
149,notdone,a4c0a79,['plain'],0,0,,,
150,notdone,49aba759,['canyon'],0,0,,,
151,notdone,172dddc0,['coast'],0,0,,,
152,notdone,294b9744,['canyon'],0,0,,,
153,notdone,5e7db7b2,['desert'],0,0,,,
154,notdone,17e11893,['desert'],0,0,,,
155,notdone,126ecbfb,['forest'],0,0,,,
156,notdone,751baa4,['desert'],0,0,,,
157,notdone,6560dc3d,['forest'],0,0,,,
158,notdone,7d2e52e,['coast'],0,0,,,
159,notdone,1b57920b,['forest'],0,0,,,
160,notdone,6ec1d2b5,['plain'],0,0,,,
161,notdone,1f4ef094,['desert'],0,0,,,
162,notdone,7a6517be,['desert'],0,0,,,
163,notdone,4e0a2b04,['plain'],0,0,,,
164,notdone,5b59d43c,['canyon'],0,0,,,
165,notdone,578aa480,['desert'],0,0,,,
166,notdone,698ccc19,['canyon'],0,0,,,
167,notdone,5d554c29,['coast'],0,0,,,
168,notdone,faab518,['river'],0,0,,,
169,notdone,34775f0d,['canyon'],0,0,,,
170,notdone,7502698a,['coast'],0,0,,,
171,notdone,50dbad61,['coast'],0,0,,,
172,notdone,6256a8c,['desert'],0,0,,,
173,notdone,723f6301,['forest'],0,0,,,
174,notdone,1be20125,['plain'],0,0,,,
175,notdone,17e6daf5,['canyon'],0,0,,,
176,notdone,6031b4d,['forest'],0,0,,,
177,notdone,1970159d,['forest'],0,0,,,
178,notdone,e70dc46,['forest'],0,0,,,
179,notdone,6bac8b9f,['coast'],0,0,,,
180,notdone,52ea743c,['coast'],0,0,,,
181,notdone,110931b9,['desert'],0,0,,,
182,notdone,674fc6da,['coast'],0,0,,,
183,notdone,35201f4f,['plain'],0,0,,,
184,notdone,13615a41,['coast'],0,0,,,
185,notdone,c8ede04,['plain'],0,0,,,
186,notdone,12127d13,['canyon'],0,0,,,
187,notdone,44582976,['plain'],0,0,,,
188,notdone,6c6f0c74,['desert'],0,0,,,
189,notdone,22990264,['canyon'],0,0,,,
190,notdone,f72da82,['river'],0,0,,,
191,notdone,657a77a5,['mountain'],0,0,,,
192,notdone,60fdd7ee,['coast'],0,0,,,
193,notdone,4d31b31d,['canyon'],0,0,,,
194,notdone,236e299b,['coast'],0,0,,,
195,notdone,30f5b398,['canyon'],0,0,,,
196,notdone,55a477a9,['forest'],0,0,,,
197,notdone,55bae030,['plain'],0,0,,,
198,notdone,621bdbb1,['river'],0,0,,,
199,notdone,4317fddc,['desert'],0,0,,,
200,notdone,499694b4,['desert'],0,0,,,
201,notdone,7cdf1917,['plain'],0,0,,,
202,notdone,529ccae0,['canyon'],0,0,,,
203,notdone,5b579a01,['river'],0,0,,,
204,notdone,582f69e3,['coast'],0,0,,,
205,notdone,394a4825,['coast'],0,0,,,
206,notdone,571aa58b,['canyon'],0,0,,,
207,notdone,b03177,['canyon'],0,0,,,
208,notdone,2a8c3518,['mountain'],0,0,,,
209,notdone,158d97be,['canyon'],0,0,,,
210,notdone,25c3b880,['coast'],0,0,,,
211,notdone,49ac2d66,['canyon'],0,0,,,
212,notdone,65ff6743,['coast'],0,0,,,
213,notdone,5432e8a5,['forest'],0,0,,,
214,notdone,549c34ad,['coast'],0,0,,,
215,notdone,7e85521d,['desert'],0,0,,,
216,notdone,78a93c6e,['forest'],0,0,,,
217,notdone,2966fe0a,['plain'],0,0,,,
218,notdone,fe9ac9a,['forest'],0,0,,,
219,notdone,64fee5e2,['coast'],0,0,,,
220,notdone,61016409,['forest'],0,0,,,
221,notdone,5c7ae730,['plain'],0,0,,,
222,notdone,768f212f,['coast'],0,0,,,
223,notdone,75d4c499,['mountain'],0,0,,,
224,notdone,3f712903,['mountain'],0,0,,,
225,notdone,6c5b38ed,['coast'],0,0,,,
226,notdone,1a4fea36,['coast'],0,0,,,
227,notdone,ec30659,['plain'],0,0,,,
228,notdone,559c61ac,['coast'],0,0,,,
229,notdone,5d12d936,['plain'],0,0,,,
230,notdone,69817d04,['plain'],0,0,,,
231,notdone,3074dc71,['coast'],0,0,,,
232,notdone,17147b36,['forest'],0,0,,,
233,notdone,6801e5bf,['forest'],0,0,,,
234,notdone,2d853712,['forest'],0,0,,,
235,notdone,5f86cf9c,['desert'],0,0,,,
236,notdone,14e3364d,['coast'],0,0,,,
237,notdone,6aafac00,['canyon'],0,0,,,
238,notdone,718be404,['canyon'],0,0,,,
239,notdone,e3ed7b6,['coast'],0,0,,,
240,notdone,1ff9dce7,['coast'],0,0,,,
241,notdone,3f7c5dd7,['desert'],0,0,,,
242,notdone,3f1506c9,['coast'],0,0,,,
243,notdone,4e5eb279,['coast'],0,0,,,
244,notdone,70f84433,['plain'],0,0,,,
245,notdone,74468743,['desert'],0,0,,,
246,notdone,17236f5f,['forest'],0,0,,,
247,notdone,1a90d8fe,['plain'],0,0,,,
248,notdone,1860d713,['plain'],0,0,,,
249,notdone,55f1a55f,['coast'],0,0,,,
250,notdone,3b95de1a,['river'],0,0,,,
251,notdone,2b63d9c,['plain'],0,0,,,
252,notdone,75dd37b4,['forest'],0,0,,,
253,notdone,102786e8,['desert'],0,0,,,
