point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
0,2,-1,2.50527,2.52507,5.46504,1
1,2,-1,2.66925,2.67735,5.90146,1
2,2,-1,2.44151,2.46165,5.26127,1
3,2,-1,2.30162,2.3193,4.91478,1
4,2,-1,0.191471,0.192678,5.90036,1
5,2,-1,2.06877,2.08177,5.63579,1
6,2,-1,2.20598,2.2256,5.50086,1
7,2,-1,2.20598,2.2256,5.50086,1
8,2,-1,2.47038,2.48416,5.74005,1
9,2,-1,2.33926,2.35459,5.58488,1
10,2,-1,2.92996,2.94688,5.65751,1
11,2,-1,1.6335,1.64232,5.70328,1
12,2,-1,1.82733,1.83902,5.60594,1
13,2,-1,2.86712,2.87065,5.05416,1
14,2,-1,2.64093,2.64286,3.72805,1
15,2,-1,2.14839,2.16123,5.7352,1
16,2,-1,2.46725,2.48057,5.52369,1
17,2,-1,0.276117,0.276175,3.35507,1
18,2,-1,2.27782,2.27989,4.85661,1
19,2,-1,2.5908,2.59923,6.10731,1
20,2,-1,1.37922,1.38642,5.8028,1
21,2,-1,2.50511,2.51571,6.48002,1
22,2,-1,2.49247,2.50345,6.51888,1
23,2,-1,2.91253,2.92444,5.77113,1
24,2,-1,2.53152,2.53501,5.11617,1
25,2,-1,0.0263494,0.0263694,3.28224,1
26,2,-1,0.390468,0.390628,5.14859,1
27,2,-1,2.46978,2.47743,5.58897,1
28,2,-1,1.19544,1.20216,5.83833,1
29,2,-1,2.17522,2.19377,5.4699,1
30,2,-1,2.26643,2.27819,5.54617,1
31,2,-1,2.65431,2.67047,3.83658,1
32,2,-1,0.607439,0.614146,4.6883,1
33,2,-1,2.94632,2.9635,5.62729,1
34,2,-1,2.72991,2.74119,6.1857,1
35,2,-1,2.37028,2.37678,6.17961,1
36,2,-1,2.65127,2.65456,4.97297,1
37,2,-1,1.98959,1.99047,5.14799,1
38,2,-1,2.59323,2.61529,5.94383,1
39,2,-1,1.99224,2.00266,5.49766,1
40,2,-1,2.40557,2.42336,5.68873,1
41,2,-1,2.32533,2.32696,5.44482,1
42,2,-1,2.37042,2.38182,3.0131,1
43,2,-1,2.19305,2.20018,3.92451,1
44,2,-1,2.35373,2.35571,4.07289,1
45,2,-1,2.35373,2.35571,4.07289,1
46,2,-1,2.79226,2.82196,2.91061,1
47,2,-1,2.02712,2.06058,6.26878,1
48,2,-1,2.27072,2.29671,6.95396,1
49,2,-1,2.42106,2.45736,7.85702,1
50,2,-1,2.00438,2.04713,4.92793,1
51,2,-1,1.15857,1.18233,4.29878,1
52,2,-1,0.732637,0.745156,8.26632,1
53,2,-1,2.05522,2.09997,4.35336,1
54,2,-1,2.80301,2.84142,7.08859,1
55,2,-1,2.4955,2.54281,9.03474,1
56,2,-1,2.4955,2.54281,9.03474,1
57,2,-1,2.26802,2.30351,6.33617,1
58,2,-1,2.89794,2.96311,4.41565,1
59,2,-1,2.1971,2.23227,4.27086,1
60,2,-1,2.17765,2.21761,8.87746,1
61,2,-1,2.76985,2.81676,7.47104,1
62,2,-1,2.72086,2.76732,7.38925,1
63,3,-1,2.32598,2.62256,13.5229,2
64,2,-1,2.12489,2.16417,8.8684,1
65,2,-1,2.07265,2.08553,2.26226,1
66,2,-1,2.76334,2.80016,7.02626,1
67,2,-1,2.71992,2.78158,4.1398,1
68,2,-1,0.139076,0.139484,7.29372,1
69,2,-1,2.10617,2.12842,4.27541,1
70,2,-1,2.37566,2.38666,4.93613,1
71,2,-1,2.25542,2.2724,6.80312,1
72,2,-1,2.21452,2.22746,4.78217,1
73,2,-1,2.19667,2.21913,4.47347,1
74,2,-1,2.19667,2.21913,4.47347,1
75,2,-1,0.895627,0.901417,4.44252,1
76,2,-1,1.56124,1.58085,3.16433,1
77,2,-1,2.62453,2.63495,5.49272,1
78,2,-1,2.36234,2.38328,5.39076,1
79,2,-1,2.38158,2.38987,6.38109,1
