mesher exited
13:08:53 rss_kb=3734672
13:08:59 rss_kb=3565536
13:09:05 rss_kb=3547248
13:09:11 rss_kb=3755632
13:09:17 rss_kb=3714592
13:09:23 rss_kb=3699008
13:09:29 rss_kb=3613872
13:09:35 rss_kb=3624640
13:09:41 rss_kb=3947296
13:09:47 rss_kb=3592480
13:09:53 rss_kb=3627808
13:10:00 rss_kb=3913760
13:10:06 rss_kb=3938848
13:10:12 rss_kb=3629920
13:10:18 rss_kb=3706480
13:10:24 rss_kb=3759056
13:10:30 rss_kb=3714608
13:10:36 rss_kb=3594384
13:10:42 rss_kb=3489024
13:10:48 rss_kb=3648960
13:10:54 rss_kb=3602448
13:11:01 rss_kb=3665792
13:11:07 rss_kb=3734512
13:11:13 rss_kb=3664256
13:11:19 rss_kb=4101664
13:11:25 rss_kb=3481552
13:11:31 rss_kb=3705152
13:11:37 rss_kb=3680256
13:11:43 rss_kb=3606448
13:11:49 rss_kb=3599200
13:11:55 rss_kb=3690640
13:12:01 rss_kb=3584448
13:12:07 rss_kb=3563024
13:12:14 rss_kb=3723328
13:12:20 rss_kb=3646960
13:12:26 rss_kb=3615696
13:12:32 rss_kb=4139984
13:12:38 rss_kb=3808880
13:12:44 rss_kb=3455840
13:12:50 rss_kb=3649584
13:12:56 rss_kb=3493552
13:13:02 rss_kb=3398432
13:13:08 rss_kb=3325248
13:13:14 rss_kb=3548704
13:13:20 rss_kb=3500384
13:13:26 rss_kb=3473296
13:13:32 rss_kb=3481648
13:13:38 rss_kb=3510656
13:13:45 rss_kb=4147872
13:13:51 rss_kb=3754048
13:13:57 rss_kb=3531872
13:14:03 rss_kb=3583856
13:14:09 rss_kb=3553360
13:14:15 rss_kb=3561248
13:14:21 rss_kb=3463952
13:14:27 rss_kb=3405024
13:14:33 rss_kb=3868880
13:14:39 rss_kb=3518864
13:14:45 rss_kb=3513376
13:14:51 rss_kb=4122352
13:14:57 rss_kb=3563888
13:15:03 rss_kb=3607792
13:15:09 rss_kb=3543232
13:15:15 rss_kb=3660176
13:15:22 rss_kb=3678400
13:15:28 rss_kb=3595456
13:15:34 rss_kb=3505536
13:15:40 rss_kb=3541952
13:15:46 rss_kb=4029440
13:15:52 rss_kb=3673040
13:15:58 rss_kb=3698784
13:16:04 rss_kb=4084112
13:16:10 rss_kb=3573712
13:16:16 rss_kb=3583600
13:16:22 rss_kb=3697776
13:16:28 rss_kb=3479584
13:16:34 rss_kb=3443712
13:16:40 rss_kb=3556000
13:16:46 rss_kb=3553280
13:16:52 rss_kb=3946304
13:16:58 rss_kb=3582880
13:17:05 rss_kb=3481088
13:17:11 rss_kb=3726016
13:17:17 rss_kb=4020960
13:17:23 rss_kb=3564544
13:17:29 rss_kb=3612576
13:17:35 rss_kb=3381024
13:17:41 rss_kb=3235344
13:17:47 rss_kb=3542240
13:17:53 rss_kb=3928016
13:17:59 rss_kb=3651504
13:18:05 rss_kb=3907440
13:18:11 rss_kb=3726800
13:18:17 rss_kb=3591264
13:18:23 rss_kb=3844944
13:18:29 rss_kb=3259248
13:18:35 rss_kb=3460320
13:18:41 rss_kb=3478512
13:18:47 rss_kb=3331376
13:18:53 rss_kb=3461392
13:19:00 rss_kb=3437920
13:19:06 rss_kb=3557584
13:19:12 rss_kb=3497664
13:19:18 rss_kb=3693088
13:19:24 rss_kb=3395008
13:19:30 rss_kb=3409760
13:19:36 rss_kb=3716464
13:19:42 rss_kb=3536304
13:19:48 rss_kb=3500848
13:19:54 rss_kb=3485344
13:20:00 rss_kb=3375024
13:20:06 rss_kb=3404848
13:20:12 rss_kb=3351712
13:20:18 rss_kb=3436000
13:20:24 rss_kb=3888096
13:20:30 rss_kb=3584960
13:20:36 rss_kb=3202320
13:20:42 rss_kb=3611072
13:20:48 rss_kb=3358032
13:20:54 rss_kb=3327440
13:21:00 rss_kb=3298944
13:21:06 rss_kb=3423792
13:21:12 rss_kb=3542224
13:21:18 rss_kb=3570080
13:21:25 rss_kb=3440768
13:21:31 rss_kb=3949984
13:21:37 rss_kb=3549936
13:21:43 rss_kb=3244352
13:21:49 rss_kb=3979168
13:21:55 rss_kb=3927488
13:22:01 rss_kb=3602176
13:22:07 rss_kb=3517824
13:22:13 rss_kb=3552848
13:22:19 rss_kb=3472880
13:22:25 rss_kb=3350928
13:22:31 rss_kb=3478080
13:22:37 rss_kb=3613440
13:22:43 rss_kb=3515776
13:22:49 rss_kb=3477776
13:22:55 rss_kb=3383680
13:23:01 rss_kb=3807840
13:23:07 rss_kb=3460512
13:23:13 rss_kb=3476752
13:23:19 rss_kb=3480768
13:23:25 rss_kb=3483264
13:23:31 rss_kb=3510752
13:23:37 rss_kb=3420896
13:23:44 rss_kb=3519568
13:23:50 rss_kb=3971120
13:23:56 rss_kb=3633728
13:24:02 rss_kb=3397104
13:24:08 rss_kb=3952800
13:24:14 rss_kb=3536288
13:24:20 rss_kb=3400176
13:24:26 rss_kb=3449152
13:24:32 rss_kb=3503792
13:24:38 rss_kb=3382160
13:24:44 rss_kb=3492528
13:24:50 rss_kb=3373824
13:24:56 rss_kb=3769456
13:25:02 rss_kb=3380592
13:25:08 rss_kb=3335152
13:25:14 rss_kb=3917600
13:25:20 rss_kb=3607024
13:25:26 rss_kb=3324368
13:25:32 rss_kb=3454272
13:25:38 rss_kb=3423104
13:25:44 rss_kb=3575600
13:25:50 rss_kb=3632576
13:25:56 rss_kb=3252784
13:26:02 rss_kb=3523872
13:26:08 rss_kb=3334896
13:26:14 rss_kb=3433328
13:26:20 rss_kb=3551440
13:26:26 rss_kb=3942800
13:26:33 rss_kb=3629264
13:26:39 rss_kb=3357744
13:26:45 rss_kb=3490768
13:26:51 rss_kb=3816672
13:26:57 rss_kb=3659264
13:27:03 rss_kb=3651920
13:27:09 rss_kb=3484672
13:27:15 rss_kb=3614416
13:27:21 rss_kb=3461792
13:27:27 rss_kb=3435344
13:27:33 rss_kb=3670608
13:27:39 rss_kb=3471088
13:27:45 rss_kb=3412208
13:27:51 rss_kb=3432464
13:27:57 rss_kb=3393808
13:28:03 rss_kb=3431104
13:28:09 rss_kb=3245616
13:28:15 rss_kb=3300736
13:28:21 rss_kb=3690352
13:28:27 rss_kb=3352912
13:28:33 rss_kb=3359632
13:28:39 rss_kb=4169792
13:28:45 rss_kb=3505568
13:28:51 rss_kb=3730688
13:28:57 rss_kb=3002288
13:29:03 rss_kb=3509552
13:29:09 rss_kb=3359968
13:29:15 rss_kb=3390704
13:29:22 rss_kb=3518720
13:29:28 rss_kb=3528960
13:29:34 rss_kb=3226816
13:29:40 rss_kb=3318352
13:29:46 rss_kb=3462688
13:29:52 rss_kb=3833856
13:29:58 rss_kb=3434016
13:30:04 rss_kb=3487648
13:30:10 rss_kb=3538816
13:30:16 rss_kb=3499088
13:30:22 rss_kb=3287920
13:30:28 rss_kb=3543264
13:30:34 rss_kb=3545312
13:30:40 rss_kb=3931232
13:30:46 rss_kb=3527168
13:30:52 rss_kb=3642800
13:30:58 rss_kb=3771056
13:31:04 rss_kb=3658112
13:31:10 rss_kb=3755712
13:31:16 rss_kb=3685728
13:31:22 rss_kb=3852512
13:31:28 rss_kb=3669984
13:31:35 rss_kb=3775904
13:31:41 rss_kb=3763536
13:31:47 rss_kb=4316800
13:31:53 rss_kb=4044208
13:31:59 rss_kb=3907248
13:32:05 rss_kb=4386304
13:32:11 rss_kb=4300080
13:32:17 rss_kb=3835136
13:32:23 rss_kb=3848768
13:32:29 rss_kb=3905232
13:32:35 rss_kb=3852864
13:32:41 rss_kb=3679280
13:32:47 rss_kb=3722400
13:32:53 rss_kb=3735760
