dataset,route,frames,windows,overlap,sela_threshold,sela_loop_pairs,loop_constraints,optimizer_status,rmse_m,p90_m,scale
TUM RGB-D freiburg1_desk,official sequential K35 + dense Sim3,420,24,18,0.85,0,0,not_run_no_loop_constraints,0.16851463704886435,0.29362047423463966,1.239822384590503
TUM RGB-D freiburg1_desk,official sequential K35 + SelaVPR++ + official optimizer,420,24,18,0.85,0,0,not_run_no_loop_constraints,0.1702544281688475,0.2950847808630057,1.2393313711515843
