route,status,frame_count,pose_rmse_m,pose_p90_m,pose_p95_m,pose_max_m,pose_sim3_scale,loop_constraints
dense_sim3_only,completed,420,0.1702544281688475,0.2950847808630057,0.31014135003127413,0.33107042156480665,1.2393313711515843,0
dense_sim3_plus_official_loop_optimizer,not_run_no_loop_constraints,420,nan,nan,nan,nan,nan,
