,all_done,seed,configs,num_running,num_done,coarse_job_obj,coarse_output_folder,coarse_submitted,coarse_crash_recorded,any_fatal_crash
103,notdone,220d3cc4,['coast'],0,0,,,,,
104,notdone,51d13ed,['desert'],0,0,,,,,
105,notdone,66e44fc7,['coast'],0,0,,,,,
106,notdone,6f97d3e3,['river'],0,0,,,,,
107,notdone,66b96735,['forest'],0,0,,,,,
108,notdone,4dd14dbe,['forest'],0,0,,,,,
109,notdone,775ba06c,['plain'],0,0,,,,,
110,notdone,2b3c51c3,['river'],0,0,,,,,
111,notdone,46fbd66,['desert'],0,0,,,,,
112,notdone,6fe9f9a3,['coast'],0,0,,,,,
113,notdone,5066e691,['plain'],0,0,,,,,
114,notdone,7f10aea8,['forest'],0,0,,,,,
115,notdone,5c97d8c0,['desert'],0,0,,,,,
116,notdone,111b1970,['river'],0,0,,,,,
117,notdone,17bb94e0,['forest'],0,0,,,,,
118,notdone,2a4150d,['river'],0,0,,,,,
119,notdone,251fcdb7,['river'],0,0,,,,,
120,notdone,4d24660c,['coast'],0,0,,,,,
121,notdone,59a774b3,['coast'],0,0,,,,,
122,notdone,11186532,['plain'],0,0,,,,,
123,notdone,3695df73,['river'],0,0,,,,,
124,notdone,5d3c6391,['mountain'],0,0,,,,,
125,notdone,44dcd858,['river'],0,0,,,,,
126,notdone,10781dc,['forest'],0,0,,,,,
127,notdone,17e5e626,['plain'],0,0,,,,,
128,notdone,48aaa56a,['plain'],0,0,,,,,
129,notdone,426b0ed6,['desert'],0,0,,,,,
130,notdone,3fc84d82,['river'],0,0,,,,,
131,notdone,6287fac0,['forest'],0,0,,,,,
132,notdone,26839442,['coast'],0,0,,,,,
133,notdone,40037b09,['coast'],0,0,,,,,
134,notdone,2bcb337b,['coast'],0,0,,,,,
135,notdone,445aae33,['forest'],0,0,,,,,
136,notdone,3bb2271,['river'],0,0,,,,,
137,notdone,67910f09,['river'],0,0,,,,,
138,notdone,6e71ec37,['river'],0,0,,,,,
139,notdone,78bb6810,['forest'],0,0,,,,,
140,notdone,7524aece,['mountain'],0,0,,,,,
141,notdone,b0e4694,['coast'],0,0,,,,,
142,notdone,3e4aa2c6,['mountain'],0,0,,,,,
143,notdone,1b4ca2ad,['coast'],0,0,,,,,
144,notdone,65ca5bda,['plain'],0,0,,,,,
145,notdone,39e44fae,['forest'],0,0,,,,,
146,notdone,2c324677,['plain'],0,0,,,,,
147,notdone,13a739de,['coast'],0,0,,,,,
148,notdone,344e4e35,['forest'],0,0,,,,,
149,notdone,40112ff4,['plain'],0,0,,,,,
150,notdone,7cc3aec6,['desert'],0,0,,,,,
151,notdone,421ec09f,['desert'],0,0,,,,,
152,notdone,89b824b,['forest'],0,0,,,,,
153,notdone,2ab8792,['river'],0,0,,,,,
154,notdone,41ff400c,['canyon'],0,0,,,,,
155,notdone,9954b08,['canyon'],0,0,,,,,
156,notdone,561626da,['plain'],0,0,,,,,
157,notdone,7bfc6431,['plain'],0,0,,,,,
158,notdone,7d241339,['forest'],0,0,,,,,
159,notdone,39e3b44a,['canyon'],0,0,,,,,
160,notdone,23a18af4,['forest'],0,0,,,,,
161,notdone,1da3d011,['plain'],0,0,,,,,
162,notdone,65e51e8c,['coast'],0,0,,,,,
163,notdone,6ca3df46,['desert'],0,0,,,,,
164,notdone,7b3374f5,['canyon'],0,0,,,,,
165,notdone,ab5dd20,['coast'],0,0,,,,,
166,notdone,32f88296,['coast'],0,0,,,,,
167,notdone,61644ba8,['plain'],0,0,,,,,
168,notdone,8a91cdf,['coast'],0,0,,,,,
169,notdone,3c1f8115,['plain'],0,0,,,,,
170,notdone,2e81ff7,['coast'],0,0,,,,,
171,notdone,3728f620,['canyon'],0,0,,,,,
172,notdone,671ddbf8,['river'],0,0,,,,,
173,notdone,5873d1fc,['coast'],0,0,,,,,
174,notdone,2a64b244,['coast'],0,0,,,,,
175,notdone,4f295863,['plain'],0,0,,,,,
176,notdone,34a2bc70,['canyon'],0,0,,,,,
177,notdone,21e904a6,['forest'],0,0,,,,,
178,notdone,fd80009,['canyon'],0,0,,,,,
179,notdone,399a1d0,['river'],0,0,,,,,
180,notdone,2111d528,['desert'],0,0,,,,,
181,notdone,f1f0ec0,['mountain'],0,0,,,,,
182,notdone,570917b1,['desert'],0,0,,,,,
183,notdone,6c83270c,['plain'],0,0,,,,,
184,notdone,5becc7a4,['desert'],0,0,,,,,
185,notdone,1f1acf1c,['coast'],0,0,,,,,
186,notdone,155ac31b,['forest'],0,0,,,,,
187,notdone,2bc35e66,['coast'],0,0,,,,,
188,notdone,6c72a7ba,['river'],0,0,,,,,
189,notdone,251f9874,['forest'],0,0,,,,,
190,notdone,64e4d82e,['desert'],0,0,,,,,
191,notdone,ffc31c4,['river'],0,0,,,,,
192,notdone,22ce10a5,['canyon'],0,0,,,,,
193,notdone,44957473,['plain'],0,0,,,,,
194,notdone,2a9c8113,['coast'],0,0,,,,,
195,notdone,2949b0b6,['coast'],0,0,,,,,
196,notdone,57287d73,['forest'],0,0,,,,,
197,notdone,6d70c63d,['forest'],0,0,,,,,
198,notdone,3836cbe6,['desert'],0,0,,,,,
