arm	ms	sha12	kernel	build
w128tex_ref	791.349	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	877339b8c310
w128tex_pscan	655.311	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128+pscan,V4)	877339b8c310
w128tex_pscan_fma	653.003	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+fma+w128+pscan,V4)	877339b8c310
w128texa_pscan	645.885	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+w128+pscan,V4)	877339b8c310
w256tex_pscan	703.452	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+pscan,V4)	877339b8c310
w128tex_pscan_again	656.139	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128+pscan,V4)	877339b8c310
w128tex_ref_again	613.502	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	877339b8c310
