arm	ms	sha12	chain
Mate10 A_ref	857.292	a59db73512ce	
Mate10 A_scansel	879.629	a59db73512ce	SCANSEL applied=1|
Mate10 A_noscanrow(probe)	752.078	d35605cb0960	NOSCANROW(probe) applied=1|
Mate10 A_noscancol(probe)	591.035	81f73de9f05a	NOSCANCOL(probe) applied=1|
Mate10 A_noscan(probe)	518.690	c9098361b176	NOSCAN(probe) applied=1|
Mate10 A_noload(probe)	518.129	e3b0c44298fc	NOLOAD(probe) applied=1|
Mate10 A_ref_again	853.051	a59db73512ce	
Mate10 A_scansel_again	892.299	a59db73512ce	SCANSEL applied=1|
