arm	ms	sha12	chain
Mate10 A_ref	885.152	a59db73512ce	
Mate10 A_scanu4	865.927	a59db73512ce	SCANU4 applied=1|
Mate10 A_scanu4_again	847.453	a59db73512ce	SCANU4 applied=1|
Mate10 A_ref_again	824.082	a59db73512ce	
Mate10 A_scanu4_noscancol(probe)	863.886	a59db73512ce	SCANU4 applied=1|锚点失配:DirectNoScanColWgsl 列扫描未命中|NOSCANCOL(probe) applied=0|
