arm	ms	sha12	chain
Mate10 aprime_env	606.163	a59db73512ce	W64 applied=1|KEYSCAN applied=1|
Mate10 aprime_file	600.801	a59db73512ce	W64 applied=1|KEYSCAN applied=1|WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime.wgsl le|
Mate10 aprime_nomerge	610.832	532c3e253dde	W64 applied=1|KEYSCAN applied=1|WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_|
Mate10 aprime_noload	591.360	e3b0c44298fc	W64 applied=1|KEYSCAN applied=1|WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_|
Mate10 aprime_noscan	1118.772	e3b0c44298fc	W64 applied=1|KEYSCAN applied=1|WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_|
Mate10 aprime_env_2	599.601	a59db73512ce	W64 applied=1|KEYSCAN applied=1|
