arm	ms	sha12	chain
Mate10 pipeb_ref	643.736	a59db73512ce	F16 applied=1|
Mate10 uh2	973.802	a59db73512ce	NOPB applied=1|F16 applied=1|UNROLLH2 applied=1|
Mate10 uh4	1039.918	a59db73512ce	NOPB applied=1|F16 applied=1|UNROLLH4 applied=1|
Mate10 uh2_tmap	924.058	a59db73512ce	TMAP applied=1|NOPB applied=1|F16 applied=1|UNROLLH2 applied=1|
Mate10 nopb_ref	833.266	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 pipeb_ref_again	617.749	a59db73512ce	F16 applied=1|
Mate10 uh2_again	944.267	a59db73512ce	NOPB applied=1|F16 applied=1|UNROLLH2 applied=1|
