arm	ms	sha12	kernel
direct44g	873.773	a59db73512ce	backend=blocked(fma4x4+directg,V4)
direct44gtex	782.761	a59db73512ce	backend=blocked(fma4x4+directg+tex,V4)
direct44gtex+chunk_off	795.659	a59db73512ce	backend=blocked(fma4x4+directg+tex,V4)
direct44g+chunk_off	885.824	a59db73512ce	backend=blocked(fma4x4+directg,V4)
44_lds	828.740	a59db73512ce	backend=blocked(fma4x4,V3)
direct44tex_again	766.756	a59db73512ce	backend=blocked(fma4x4+direct+tex,V4)
direct44g_again	866.081	a59db73512ce	backend=blocked(fma4x4+directg,V4)
direct44gtex_again	776.127	a59db73512ce	backend=blocked(fma4x4+directg+tex,V4)
base	6506.751	a59db73512ce	backend=blocked(fma8x4+pipeb,V3)
