arm	ms	sha12	chain
Mate10 pipeb_ref	693.724	a59db73512ce	F16 applied=1|
Mate10 nopb_pipea	628.872	a59db73512ce	NOPB applied=1|PIPEA applied=1|F16 applied=1|
Mate10 tmap_pipeb	616.326	a59db73512ce	TMAP applied=1|F16 applied=1|
Mate10 tmap_nopb	852.239	a59db73512ce	TMAP applied=1|NOPB applied=1|F16 applied=1|
Mate10 tmap_nopb_pipea	609.147	a59db73512ce	TMAP applied=1|NOPB applied=1|PIPEA applied=1|F16 applied=1|
Mate10 pipeb_pipea	685.324	a59db73512ce	PIPEA applied=1|F16 applied=1|
Mate10 nopb_ref	850.410	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 pipeb_ref_again	610.999	a59db73512ce	F16 applied=1|
Mate10 nopb_pipea_again	628.533	a59db73512ce	NOPB applied=1|PIPEA applied=1|F16 applied=1|
Mate10 tmap_nopb_pipea_again	611.654	a59db73512ce	TMAP applied=1|NOPB applied=1|PIPEA applied=1|F16 applied=1|
