arm	ms	sha12	kernel	build
best_ref	699.822	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	49fd219a3b03
w128	635.493	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+w128,V4)	49fd219a3b03
w128_plain	681.902	a59db73512ce	backend=blocked(fma4x4+direct+w128,V4)	49fd219a3b03
w128_tex	616.132	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	49fd219a3b03
w128_fma	642.483	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+fma+w128,V4)	49fd219a3b03
w128_pipea	649.617	a59db73512ce	backend=blocked(fma4x4+direct+texa+w128+pipea,V4)	49fd219a3b03
w128_noload(probe)	520.683	e3b0c44298fc	backend=blocked(fma4x4+direct+texa+nopb+w128,V4)	49fd219a3b03
best_again	672.332	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	49fd219a3b03
w128_again	635.166	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb+w128,V4)	49fd219a3b03
