arm	ms	sha12	chain
Mate10 tailb_ref	639.098	a59db73512ce	NOPB applied=1|F16 applied=1|TAILB applied=1|
Mate10 uhb2	966.157	a59db73512ce	NOPB applied=1|F16 applied=1|UNROLLHB2 applied=1|
Mate10 nopb_ref	829.402	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 uhb2_again	966.374	a59db73512ce	NOPB applied=1|F16 applied=1|UNROLLHB2 applied=1|
Mate10 uhb2_tmap	934.522	a59db73512ce	TMAP applied=1|NOPB applied=1|F16 applied=1|UNROLLHB2 applied=1|
Mate10 tailb_ref_again	616.930	a59db73512ce	NOPB applied=1|F16 applied=1|TAILB applied=1|
