arm	ms	sha12	kernel
Mate10 f16_w128_ref	618.171	a59db73512ce	backend=blocked(fma4x4+direct+w128+f16,V4)
Mate10 f16_w128_pipea	841.772	a59db73512ce	backend=blocked(fma4x4+direct+nopb+w128+f16+pipea,V4)
Mate10 f16_w128_sm	620.327	a59db73512ce	backend=blocked(fma4x4+direct+scanmem+w128+f16,V4)
Mate10 f16_w128_nopb_sm	825.154	a59db73512ce	backend=blocked(fma4x4+direct+nopb+scanmem+w128+f16,V4)
Mate10 f16_w128_nopb_unroll2	938.495	a59db73512ce	backend=blocked(fma4x4+direct+nopb+w128+f16+unroll2,V4)
Mate10 f16_w128_fma	618.466	a59db73512ce	backend=blocked(fma4x4+direct+fma+w128+f16,V4)
Mate10 f16_w128_ref_again	618.599	a59db73512ce	backend=blocked(fma4x4+direct+w128+f16,V4)
Mate10 f16_w128_pipea_again	853.611	a59db73512ce	backend=blocked(fma4x4+direct+nopb+w128+f16+pipea,V4)
