arm	ms	sha12	gpu_C	cl1_C	keyguard	chain
Mate10 ref_1	1160.815	a59db73512ce	45.0 55.0	55.0 	true	
Mate10 ks2_2	1199.541	a59db73512ce	45.0 55.0	55.0 	true	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2.wgsl le
Mate10 ref_3	1451.127	a59db73512ce	45.0 55.0	55.0 	true	
Mate10 ks2_ptr_4	1196.670	a59db73512ce	45.0 55.0	55.0 	true	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2_ptr.wgsl le
Mate10 ref_5	1330.355	a59db73512ce	45.0 55.0	55.0 	true	
Mate10 ks2_6	1206.380	a59db73512ce	45.0 55.0	55.0 	true	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2.wgsl le
Mate10 ref_7	1324.859	a59db73512ce	45.0 55.0	55.0 	true	
Mate10 ks2_ptr_8	1196.527	a59db73512ce	45.0 55.0	55.0 	true	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2_ptr.wgsl le
Mate10 ref_9	1353.197	a59db73512ce	45.0 55.0	55.0 	true	
