arm	ms	sha12	kernel	build
w128tex_ref	625.114	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	054a4f787d49
w128tex_unroll2	659.980	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128+unroll2,V4)	054a4f787d49
w128tex_unroll4	747.863	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128+unroll4,V4)	054a4f787d49
w128tex_fma_unroll2	657.144	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+fma+w128+unroll2,V4)	054a4f787d49
w128tex_fma	616.885	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+fma+w128,V4)	054a4f787d49
w128tex_noscan(probe)	568.610	c9098361b176	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	054a4f787d49
w128tex_noload(probe)	523.449	e3b0c44298fc	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	054a4f787d49
w128tex_again	629.640	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128,V4)	054a4f787d49
w128tex_unroll2_again	664.757	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb+w128+unroll2,V4)	054a4f787d49
