arm	ms	sha12	kernel	build
nopb44tex_ref	691.563	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb,V4)	1b10144f5d13
texa44	760.174	a59db73512ce	backend=blocked(fma4x4+direct+texa,V4)	1b10144f5d13
nopb44texa	671.286	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	1b10144f5d13
nopb44texa_tex	921.158	a59db73512ce	backend=blocked(fma4x4+direct+tex+texa+nopb,V4)	1b10144f5d13
texa44tex	957.285	a59db73512ce	backend=blocked(fma4x4+direct+tex+texa,V4)	1b10144f5d13
pipea44texa_tex	935.030	a59db73512ce	backend=blocked(fma4x4+direct+tex+texa+pipea,V4)	1b10144f5d13
nopb44_ref	747.127	a59db73512ce	backend=blocked(fma4x4+direct+nopb,V4)	1b10144f5d13
nopb44tex_again	679.034	a59db73512ce	backend=blocked(fma4x4+direct+tex+nopb,V4)	1b10144f5d13 STALE
nopb44texa_tex_again	915.769	a59db73512ce	backend=blocked(fma4x4+direct+tex+texa+nopb,V4)	1b10144f5d13 STALE
