arm	ms	sha12	keyguard	chain
Mate10 aprime_ks2_ptr_1	587.565	a59db73512ce	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2_ptr.wgsl le
Mate10 probe_fma_only_2	548.768	e3b0c44298fc	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/probe_fma_o
Mate10 probe_fma_u4_3	420.543	e3b0c44298fc	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/probe_fma_u4.wgsl le
Mate10 probe_dot4_4	595.130	e3b0c44298fc	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/probe_dot4.wgsl le
Mate10 aprime_ks2_ptr_5	586.239	a59db73512ce	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2_ptr.wgsl le
Mate10 probe_fma_u4_6	415.584	e3b0c44298fc	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/probe_fma_u4.wgsl le
Mate10 probe_fma_only_7	548.526	e3b0c44298fc	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/probe_fma_o
Mate10 aprime_ks2_ptr_8	581.514	a59db73512ce	false	WGSL_FILE /data/data/com.kyle.pwprobe/files/wgsl/aprime_ks2_ptr.wgsl le
