arm	ms	sha12	chain
Mate10 pipeb_ref	642.070	a59db73512ce	F16 applied=1|
Mate10 tailb	624.404	a59db73512ce	NOPB applied=1|F16 applied=1|TAILB applied=1|
Mate10 nopb_ref	824.280	a59db73512ce	NOPB applied=1|F16 applied=1|
Mate10 tailb_again	622.629	a59db73512ce	NOPB applied=1|F16 applied=1|TAILB applied=1|
Mate10 pipeb_ref_again	612.639	a59db73512ce	F16 applied=1|
Mate10 tailb_tmap	616.142	a59db73512ce	TMAP applied=1|NOPB applied=1|F16 applied=1|TAILB applied=1|
