arm	ms	sha12	chain
Mate10 A_ref	839.729	a59db73512ce	
Mate10 A_pscan	623.111	a59db73512ce	PSCAN applied=1|
Mate10 A_pscan_again	619.286	a59db73512ce	PSCAN applied=1|
Mate10 A_ref_again	817.652	a59db73512ce	
Mate10 A_pscan_noscancol(probe)	616.822	a59db73512ce	PSCAN applied=1|锚点失配:DirectNoScanColWgsl 列扫描未命中|NOSCANCOL(probe) applied=0|
