arm	ms	sha12	kernel	build
best44_noload(probe)	573.972	e3b0c44298fc	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
best44_noscan(probe)	611.901	004070c1dc89	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
d44_noload(probe)	593.694	e3b0c44298fc	backend=blocked(fma4x4+direct,V4)	d0a4e6200997
d44_noscan(probe)	769.661	004070c1dc89	backend=blocked(fma4x4+direct,V4)	d0a4e6200997
best44_ref	678.535	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
