arm	ms	sha12	keyguard	label	file
Mate10 default_1	573.468	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
Mate10 ks3_2	583.333	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	w64_ks3_ptr.wgsl len=8665
Mate10 ks1_3	599.555	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	
Mate10 default_4	574.323	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
Mate10 ks3_5	583.128	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	w64_ks3_ptr.wgsl len=8665
Mate10 ks1_6	596.860	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+ptr+keyscan,V6)	
Mate10 default_7	579.703	a59db73512ce	false	blocked(fma4x4+direct+w64+nopb+f16+keyscan2+ptr,V6)	
