arm	ms	sha12	kernel	build
sm84nopb	3419.228	a59db73512ce	backend=blocked(fma8x4+direct+nopb+scanmem,V4)	d0a4e6200997
sm84nopbtex	3161.703	a59db73512ce	backend=blocked(fma8x4+direct+tex+nopb+scanmem,V4)	d0a4e6200997
sm84nopbtexa	3034.559	a59db73512ce	backend=blocked(fma8x4+direct+texa+nopb+scanmem,V4)	d0a4e6200997
best44_ref	685.333	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
best44+chunk_off	684.445	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
best44+chunk64	670.499	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
sm84nopb_again	3546.202	a59db73512ce	backend=blocked(fma8x4+direct+nopb+scanmem,V4)	d0a4e6200997
best44_again	685.559	a59db73512ce	backend=blocked(fma4x4+direct+texa+nopb,V4)	d0a4e6200997
