backend,descriptor_s,descriptor_dim,raw_pairs,loop_results,loop_windows,loop_forward_s,loop_forward_min,loop_completed_frames,loop_failed_frames,loop_constraints,loop_a_rmse,loop_b_rmse,loop_scale_mean,loop_scale_std,optimizer_status,optimizer_post_scale_mean,optimizer_post_scale_std,optimizer_elapsed_s
selavprpp,25.909,2048,46,41,41,2183.546,36.39243333333333,405,0,41,0.12434583593597945,0.18767378691693906,1.0239356706790506,0.15095125544894755,completed,1.0161129262136377,0.19145529459333147,0.55
boq-dinov2,31.38,12288,99,79,79,4086.776,68.11293333333333,409,0,79,0.1279272778470483,0.1916901804948358,1.0114632592804744,0.1873639905055631,completed,1.0157791168793389,0.1901140006718832,0.594
