#t_ns(== cam0/data.csv),fx,fy,cx,cy
387731903166,1280.6334228515625,1280.6334228515625,957.7257080078125,718.9722900390625
387748571375,1280.669189453125,1280.669189453125,957.7189331054688,718.9913330078125
387765239666,1280.5411376953125,1280.5411376953125,957.7000122070312,718.9896850585938
387781907875,1280.6871337890625,1280.6871337890625,957.7138061523438,718.98974609375
387798576250,1324.2716064453125,1324.2716064453125,957.8751220703125,719.0014038085938
387815244541,1361.3345947265625,1361.3345947265625,957.9851684570312,719.0315551757812
387831912708,1361.7664794921875,1361.7664794921875,958.055908203125,719.0656127929688
387848580958,1361.7515869140625,1361.7515869140625,958.15380859375,719.098388671875
387865249291,1361.68603515625,1361.68603515625,958.2798461914062,719.1385498046875
387881917625,1361.668212890625,1361.668212890625,958.4297485351562,719.2045288085938
387898585916,1361.724853515625,1361.724853515625,958.5796508789062,719.232421875
387915254208,1361.787353515625,1361.787353515625,958.755859375,719.3048095703125
387931922333,1361.8201904296875,1361.8201904296875,958.9092407226562,719.3291625976562
387948590708,1361.6920166015625,1361.6920166015625,959.0889892578125,719.3690795898438
387965259000,1361.581787109375,1361.581787109375,959.3172607421875,719.4735107421875
387981927291,1361.608642578125,1361.608642578125,959.5322265625,719.518310546875
387998595625,1361.6414794921875,1361.6414794921875,959.7069091796875,719.5496215820312
388015263791,1363.8956298828125,1363.8956298828125,959.926513671875,719.6254272460938
388031932041,1364.4197998046875,1364.4197998046875,960.1226806640625,719.6837158203125
388048600375,1365.619873046875,1365.619873046875,960.3466186523438,719.7819213867188
388065268625,1366.0457763671875,1366.0457763671875,960.5924072265625,719.8546142578125
388081937000,1366.1767578125,1366.1767578125,960.8179321289062,719.9058837890625
388098605291,1366.2183837890625,1366.2183837890625,961.039306640625,719.9330444335938
388115273416,1366.0904541015625,1366.0904541015625,961.259033203125,720.0187377929688
388131941750,1365.9385986328125,1365.9385986328125,961.5083618164062,720.0812377929688
