#t_ns(== cam0/data.csv),fx,fy,cx,cy
78685126341712,1279.01953125,1279.01953125,957.751708984375,719.0894775390625
78685143241088,1278.855712890625,1278.855712890625,957.78125,719.0957641601562
78685159909421,1278.7037353515625,1278.7037353515625,957.78125,719.1195678710938
78685176577755,1279.87109375,1279.87109375,957.862548828125,719.11669921875
78685193246088,1317.696533203125,1317.696533203125,957.8914184570312,719.1446533203125
78685209914421,1328.6968994140625,1328.6968994140625,957.9635620117188,719.154052734375
78685226582755,1328.827880859375,1328.827880859375,958.0419921875,719.1461791992188
78685243251088,1328.8099365234375,1328.8099365234375,958.1106567382812,719.1799926757812
78685259919505,1328.8189697265625,1328.8189697265625,958.206298828125,719.1956787109375
78685276587713,1328.87548828125,1328.87548828125,958.2982788085938,719.2076416015625
78685293256088,1328.8426513671875,1328.8426513671875,958.4367065429688,719.2489624023438
78685309924463,1328.857666015625,1328.857666015625,958.5402221679688,719.2716674804688
78685326592796,1328.8515625,1328.8515625,958.658203125,719.2818603515625
78685343261171,1328.81298828125,1328.81298828125,958.8004150390625,719.3502197265625
78685359929505,1328.7921142578125,1328.7921142578125,958.9379272460938,719.343017578125
78685376597755,1328.801025390625,1328.801025390625,959.0902099609375,719.3834228515625
78685393266130,1328.801025390625,1328.801025390625,959.23583984375,719.4276733398438
78685409934505,1330.8974609375,1330.8974609375,959.3814697265625,719.4441528320312
78685426602880,1331.5645751953125,1331.5645751953125,959.53515625,719.495361328125
78685443271213,1333.625244140625,1333.625244140625,959.69482421875,719.519287109375
78685459939588,1334.411376953125,1334.411376953125,959.8678588867188,719.5507202148438
78685476607796,1336.6270751953125,1336.6270751953125,960.020751953125,719.5869140625
78685493276213,1337.1749267578125,1337.1749267578125,960.1790161132812,719.5963134765625
78685509944505,1339.235595703125,1339.235595703125,960.3318481445312,719.6448974609375
78685526612880,1339.9146728515625,1339.9146728515625,960.4963989257812,719.6390991210938
78685543281255,1341.9664306640625,1341.9664306640625,960.6400756835938,719.6900634765625
78685559949630,1342.6334228515625,1342.6334228515625,960.8048095703125,719.7077026367188
78685576617880,1344.6553955078125,1344.6553955078125,960.9556274414062,719.7353515625
78685593286213,1345.4774169921875,1345.4774169921875,961.108642578125,719.7318725585938
78685609954588,1347.7108154296875,1347.7108154296875,961.2521362304688,719.7716064453125
78685626622921,1348.2646484375,1348.2646484375,961.3804931640625,719.81005859375
78685643291338,1350.331298828125,1350.331298828125,961.506103515625,719.8416137695312
78685659959588,1350.98046875,1350.98046875,961.6434936523438,719.8870239257812
78685676627921,1352.99365234375,1352.99365234375,961.749755859375,719.885009765625
78685693296338,1353.833251953125,1353.833251953125,961.8350219726562,719.9007568359375
78685709964671,1355.8314208984375,1355.8314208984375,961.9403076171875,719.9344482421875
78685726633046,1356.626708984375,1356.626708984375,962.0588989257812,719.9176025390625
78685743301380,1358.8719482421875,1358.8719482421875,962.1393432617188,719.9954833984375
78685759969588,1359.372314453125,1359.372314453125,962.2355346679688,719.9508666992188
78685776638005,1361.5133056640625,1361.5133056640625,962.3051147460938,719.9752197265625
78685793306296,1362.239990234375,1362.239990234375,962.3915405273438,720.0250854492188
78685809974713,1364.2886962890625,1364.2886962890625,962.4476928710938,720.0238647460938
78685826643046,1365.05712890625,1365.05712890625,962.5140380859375,720.0382690429688
78685843311338,1367.034423828125,1367.034423828125,962.5963745117188,720.0901489257812
78685859979671,1367.8116455078125,1367.8116455078125,962.6417846679688,720.0943603515625
78685876648005,1370.0390625,1370.0390625,962.68017578125,720.0997314453125
78685893316421,1370.530517578125,1370.530517578125,962.685302734375,720.0831909179688
78685909984755,1372.677490234375,1372.677490234375,962.74755859375,720.0819091796875
78685926653130,1373.3624267578125,1373.3624267578125,962.7882080078125,720.0704956054688
78685943321338,1375.4530029296875,1375.4530029296875,962.768310546875,720.0701293945312
78685959989713,1376.1646728515625,1376.1646728515625,962.847900390625,720.0700073242188
78685976658046,1378.2432861328125,1378.2432861328125,962.8350219726562,720.12451171875
78685993326421,1378.889404296875,1378.889404296875,962.8279418945312,720.1436157226562
78686009994796,1380.994873046875,1380.994873046875,962.8494873046875,720.1170043945312
78686026663130,1381.7393798828125,1381.7393798828125,962.906005859375,720.1151733398438
78686043331380,1383.8118896484375,1383.8118896484375,962.9043579101562,720.1242065429688
78686059999755,1384.467041015625,1384.467041015625,962.8790283203125,720.1218872070312
78686076668130,1386.608154296875,1386.608154296875,962.8927001953125,720.1148071289062
78686093336463,1387.2989501953125,1387.2989501953125,962.8839111328125,720.1209716796875
78686110004838,1389.42236328125,1389.42236328125,962.8944702148438,720.0975952148438
78686126673046,1390.119140625,1390.119140625,962.865234375,720.111328125
78686143341421,1392.1082763671875,1392.1082763671875,962.8423461914062,720.1008911132812
78686160009796,1392.79638671875,1392.79638671875,962.876220703125,720.1094970703125
78686193346505,1395.6134033203125,1395.6134033203125,962.8155517578125,720.1058349609375
