point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
5857,9,1.06979,1.06979,3.66203,17.378,8
5858,2,1.68976,1.68976,3.05424,8.05842,1
5859,7,0.644589,0.644589,1.22386,18.1411,19
5860,2,1.69142,1.69142,3.05321,11.4673,3
5861,9,1.39192,1.39192,3.12131,22.8743,9
5862,2,0.94143,0.94143,1.50259,5.60645,12
5863,2,0.976665,0.976665,1.05521,3.23852,1
5864,7,1.08243,1.08243,2.22192,25.9383,15
5865,4,1.37446,1.37446,1.84236,10.7331,13
5866,2,1.2416,1.2416,2.01307,5.11056,1
5867,16,1.21664,1.21664,3.8603,27.2486,15
5868,3,1.48075,1.48075,3.26735,11.3749,15
5869,2,1.2416,1.2416,2.01307,5.11056,1
5870,8,0.884096,0.884096,2.0857,15.9832,19
5871,9,1.30025,1.30025,2.17799,27.2254,9
5872,6,1.16219,1.16219,2.71297,12.8484,5
5873,8,1.54296,1.54296,3.12162,31.862,12
5874,6,1.20001,1.20001,2.25815,34.3184,17
5875,10,1.23976,1.23976,3.11079,26.3698,19
5876,8,1.54296,1.54296,3.12162,31.862,12
5877,4,0.863812,0.863812,1.81844,18.317,13
5878,5,1.1307,1.1307,2.85266,8.3327,4
5879,2,0.425672,0.425672,0.457872,30.758,4
5880,3,0.473152,0.473152,0.839732,11.1215,2
5881,2,1.00775,1.00775,1.50973,8.72395,10
5882,3,0.473152,0.473152,0.839732,11.1215,2
5883,3,0.726046,0.726046,1.00823,6.60046,15
5884,3,1.07057,1.07057,2.84888,8.86795,10
5885,2,0.441525,0.441525,0.444273,8.59892,14
5886,8,0.962338,0.962338,3.58709,18.1157,19
5887,3,0.732147,0.732147,1.16239,9.48902,4
5888,2,0.617022,0.617022,0.692328,5.05359,12
5889,4,0.521493,0.521493,0.941477,14.6673,3
5890,7,1.37012,1.37012,3.31296,25.8408,10
5891,2,1.15593,1.15593,1.84459,14.3902,1
5892,7,1.2016,1.2016,2.25351,18.9756,19
5893,10,1.14496,1.14496,3.50547,37.0941,15
5894,4,0.956053,0.956053,1.62684,15.5881,3
5895,2,0.139961,0.139961,0.141173,4.31464,1
5896,3,1.3904,1.3904,2.19973,8.09069,13
5897,2,0.0284109,0.0284109,0.030112,24.0351,17
5898,3,0.704042,0.704042,1.45722,6.84888,3
5899,3,0.812809,0.812809,1.75448,16.714,2
5900,10,0.688096,0.688096,1.38707,23.1311,19
5901,4,0.740353,0.740353,1.8245,15.451,5
5902,7,1.5104,1.5104,3.19985,13.5995,18
5903,3,1.0059,1.0059,2.28507,8.20859,2
5904,2,0.0992946,0.0992946,0.108038,4.30022,14
5905,4,1.52697,1.52697,3.2522,16.9345,3
5906,3,0.950305,0.950305,1.64101,6.42489,2
5907,3,2.01871,2.01871,3.49247,13.4799,12
5908,6,1.73569,1.73569,2.88814,14.7591,18
5909,3,0.540487,0.540487,0.974579,12.8716,2
5910,2,0.76465,0.76465,0.991435,10.9714,2
5911,5,0.888721,0.888721,1.61051,26.9093,14
5912,12,0.929931,0.929931,1.85204,23.0025,19
5913,3,0.540487,0.540487,0.974579,12.8716,2
5914,4,1.14055,1.14055,3.74616,8.49332,13
5915,11,1.21615,1.21615,3.64488,31.4234,18
5916,8,1.88615,1.88615,3.18409,18.6903,7
5917,5,1.33879,1.33879,1.9146,20.7748,5
5918,5,1.21438,1.21438,2.26255,22.5121,5
5919,5,1.60879,1.60879,2.96611,14.3753,15
5920,6,2.05736,2.05736,3.45519,24.3261,18
5921,3,0.825046,0.825046,1.5881,9.20409,2
5922,4,1.78481,1.78481,3.76653,23.2358,11
5923,8,1.98819,1.98819,3.6373,31.7518,12
5924,5,0.978089,0.978089,1.87392,20.2593,11
5925,2,0.847343,0.847343,1.1106,13.2581,2
5926,5,1.48237,1.48237,3.06603,6.45952,15
5927,2,0.0339323,0.0339323,0.037969,24.0631,15
5928,2,0.16082,0.16082,0.162328,5.51973,1
5929,3,0.99446,0.99446,1.63451,8.72706,13
5930,2,0.687803,0.687803,0.804359,22.0152,15
5931,3,0.599278,0.599278,1.16036,5.08308,2
5932,4,1.4929,1.4929,3.24783,16.5292,14
5933,2,0.316772,0.316772,0.342697,21.6818,16
5934,4,1.28117,1.28117,3.08497,9.56707,4
5935,5,1.70198,1.70198,3.33621,18.2974,7
5936,3,1.3886,1.3886,2.33129,5.21762,13
5937,5,1.7231,1.7231,3.83473,12.9355,12
5938,3,0.710248,0.710248,1.37676,5.10927,14
5939,3,1.32126,1.32126,3.0956,25.3238,18
5940,4,1.19572,1.19572,2.46008,11.9436,3
5941,3,1.65343,1.65343,3.56149,7.9999,13
5942,3,1.66434,1.66434,3.00679,15.6178,3
5943,5,2.15691,2.15691,3.82535,33.0837,5
5944,3,1.356,1.356,2.75493,17.3412,2
5945,2,1.30894,1.30894,2.22178,24.1007,18
5946,5,1.31464,1.31464,3.15596,8.53669,4
5947,2,0.139474,0.139474,0.151651,9.69344,14
5948,3,0.472968,0.472968,0.853563,19.6555,17
5949,17,1.00782,1.00782,2.86202,32.7358,19
5950,2,0.969125,0.969125,1.18028,12.5784,15
5951,2,0.180792,0.180792,0.181791,4.69329,1
5952,4,0.704122,0.704122,2.19779,9.26755,3
5953,2,1.08291,1.08291,1.50841,11.5181,2
5954,6,1.81718,1.81718,3.18306,34.3721,15
5955,2,0.854629,0.854629,1.01516,2.04493,11
5956,3,0.823074,0.823074,1.0178,24.5711,16
5957,4,0.941594,0.941594,1.65778,12.4638,12
5958,2,0.355603,0.355603,0.369279,15.4926,17
5959,9,1.34343,1.34343,2.54345,28.2304,19
5960,3,0.615195,0.615195,0.989078,21.3846,14
