point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
14349,2,0.447935,0.447935,0.452899,5.46776,1
14350,2,0.421007,0.421007,0.448376,5.18503,1
14351,2,0.592341,0.592341,0.592388,3.76235,1
14352,2,0.889939,0.889939,0.965026,5.69897,1
14353,2,0.398695,0.398695,0.405197,4.29292,1
14354,2,0.519609,0.519609,0.573599,4.03347,1
14355,2,0.879286,0.879286,0.971335,5.69749,1
14356,2,0.354422,0.354422,0.381216,4.30288,1
14357,2,0.21308,0.21308,0.216052,4.89944,1
14358,2,1.67741,1.67741,3.02918,5.99139,1
14359,2,0.467243,0.467243,0.502974,4.59239,1
14360,2,1.65051,1.65051,2.98468,4.87486,1
14361,2,0.498959,0.498959,0.541729,4.91396,1
14362,2,0.32446,0.32446,0.332757,4.81277,1
14363,2,1.40581,1.40581,2.41925,4.73712,1
14364,2,1.71898,1.71898,3.14222,4.61935,1
14365,2,1.48121,1.48121,2.62276,4.91703,1
14366,2,1.79167,1.79167,3.33466,11.4742,2
14367,2,0.71812,0.71812,0.835919,10.3418,2
14368,2,1.00888,1.00888,1.30011,9.38437,2
14369,2,1.83752,1.83752,3.38021,11.2072,2
14370,2,0.452877,0.452877,0.487223,8.25587,2
14371,4,0.988271,0.988271,3.10701,22.9491,4
14372,2,0.780787,0.780787,0.936023,10.1757,2
14373,2,0.872893,0.872893,1.10825,8.46012,2
14374,2,1.06387,1.06387,1.47683,5.65176,1
14375,3,0.770541,0.770541,1.75316,10.876,2
14376,2,0.457046,0.457046,0.496206,10.2515,2
14377,2,1.20729,1.20729,1.87626,5.64185,1
14378,2,1.27931,1.27931,2.19622,11.395,2
14379,2,1.47823,1.47823,2.64209,11.5425,2
14380,2,0.519609,0.519609,0.573599,4.03347,1
14381,2,0.656003,0.656003,0.685559,10.9973,2
14382,2,0.254164,0.254164,0.263397,42.3593,6
14383,2,1.04912,1.04912,1.63205,25.4555,3
14384,2,1.21938,1.21938,1.99637,6.38555,1
14385,2,1.88061,1.88061,3.51485,17.7107,3
14386,2,0.0818272,0.0818272,0.0846247,14.2409,3
14387,2,0.0836645,0.0836645,0.0859559,8.1447,1
14388,2,0.721778,0.721778,0.782635,8.52607,1
14389,2,0.462383,0.462383,0.485093,8.40143,1
14390,2,0.275752,0.275752,0.285506,8.58868,1
14391,2,0.181651,0.181651,0.188762,8.51488,1
14392,4,1.31834,1.31834,2.2668,39.2398,5
14393,2,0.526271,0.526271,0.565694,8.33995,1
14394,2,0.259327,0.259327,0.281804,6.99474,1
14395,2,0.739859,0.739859,0.958539,6.96965,1
14396,2,0.91854,0.91854,1.32182,6.43314,1
14397,2,0.931456,0.931456,1.35534,6.08612,1
14398,2,0.123321,0.123321,0.130746,8.20054,1
14399,2,0.352653,0.352653,0.372433,8.36068,1
14400,2,0.352653,0.352653,0.372433,8.36068,1
14401,2,0.508983,0.508983,0.548908,8.21695,1
14402,3,0.211294,0.211294,0.278856,38.1804,5
14403,2,0.511859,0.511859,0.537215,8.56423,1
14404,2,0.17688,0.17688,0.181771,8.59141,1
14405,2,0.987338,0.987338,1.46997,6.20353,1
14406,2,0.327173,0.327173,0.360989,7.46914,1
14407,2,0.518068,0.518068,0.584261,7.69821,1
14408,2,0.00370163,0.00370163,0.00381439,8.31544,1
14409,3,0.765087,0.765087,1.89895,10.748,2
14410,3,1.45551,1.45551,2.56875,27.9648,4
14411,2,0.28481,0.28481,0.297899,8.35339,1
14412,2,0.115778,0.115778,0.124928,6.26324,1
14413,3,1.38143,1.38143,3.53793,13.4027,3
14414,3,1.02496,1.02496,1.87979,13.8988,3
14415,2,1.56087,1.56087,2.75964,9.46349,2
14416,2,0.804494,0.804494,1.03993,10.3059,2
14417,2,0.121569,0.121569,0.131818,9.94184,2
14418,2,0.248292,0.248292,0.26829,9.61852,2
14419,3,0.331874,0.331874,0.54121,31.1691,5
14420,2,0.617688,0.617688,0.65551,9.75119,2
14421,2,0.337657,0.337657,0.351358,4.90101,1
14422,2,0.84876,0.84876,0.991675,4.27386,1
14423,2,0.194185,0.194185,0.202379,3.18302,1
14424,2,0.0494297,0.0494297,0.0516518,3.49623,1
14425,2,1.04293,1.04293,1.36426,4.40808,1
14426,2,0.838062,0.838062,0.975932,4.82721,1
14427,2,0.350207,0.350207,0.366133,4.89249,1
14428,2,0.291194,0.291194,0.304118,2.13326,1
14429,2,0.39946,0.39946,0.419391,2.18813,1
14430,2,0.950302,0.950302,1.30859,3.94531,1
14431,2,1.38163,1.38163,2.39947,3.88109,1
14432,2,0.741805,0.741805,0.864364,3.75338,1
14433,2,0.538334,0.538334,0.586068,3.74866,1
14434,2,2.06586,2.06586,3.83457,3.56687,1
14435,2,0.45076,0.45076,0.482754,3.705,1
14436,2,0.945459,0.945459,1.27302,3.69774,1
14437,2,0.200832,0.200832,0.210907,3.63087,1
14438,2,0.0775751,0.0775751,0.0811891,3.58976,1
14439,2,0.39831,0.39831,0.423834,3.55274,1
14440,2,0.0267154,0.0267154,0.0280226,3.33038,1
14441,2,0.517176,0.517176,0.52148,4.26499,1
14442,2,0.501842,0.501842,0.53796,3.55035,1
14443,2,0.381709,0.381709,0.405689,3.34775,1
14444,2,0.466427,0.466427,0.496141,3.61857,1
14445,2,0.295396,0.295396,0.312011,3.33127,1
14446,2,0.615929,0.615929,0.679691,3.37229,1
14447,2,0.458171,0.458171,0.492145,3.25901,1
14448,2,0.119383,0.119383,0.125227,3.27115,1
14449,2,0.312795,0.312795,0.330137,3.98628,1
14450,2,1.37714,1.37714,2.33842,2.58832,1
14451,2,1.22228,1.22228,2.03926,12.7615,3
14452,2,0.780738,0.780738,0.798867,3.43391,1
14453,2,1.74633,1.74633,3.17363,4.42116,1
14454,2,1.79949,1.79949,3.29252,4.44797,1
14455,3,1.18582,1.18582,3.22553,11.8382,2
14456,3,1.35275,1.35275,3.72461,11.898,2
14457,3,0.880122,0.880122,2.20544,11.7458,2
14458,2,1.30221,1.30221,2.12258,4.51476,1
14459,3,1.56927,1.56927,2.63532,11.2577,2
14460,2,0.324727,0.324727,0.32914,4.39566,1
14461,3,1.14131,1.14131,3.07221,10.7843,2
14462,2,1.79015,1.79015,3.29849,4.21971,1
14463,3,0.749251,0.749251,1.29387,10.687,2
14464,2,0.338774,0.338774,0.353376,2.63879,1
14465,2,1.16566,1.16566,1.84602,4.32989,1
14466,3,0.719851,0.719851,1.35918,11.2667,2
14467,2,1.09726,1.09726,1.58377,4.25283,1
14468,2,2.02154,2.02154,3.77571,4.33216,1
14469,3,1.70738,1.70738,3.67161,11.4436,2
14470,2,1.37167,1.37167,2.30934,4.27936,1
14471,2,0.0118281,0.0118281,0.0121849,8.22578,1
14472,2,0.438497,0.438497,0.464306,11.1759,2
14473,2,0.290514,0.290514,0.302899,11.8672,2
14474,3,1.33948,1.33948,3.73828,11.8285,2
14475,2,1.90017,1.90017,3.51424,4.48719,1
14476,2,0.242825,0.242825,0.252919,2.15239,1
14477,3,1.02595,1.02595,1.87908,11.6562,2
14478,2,1.74318,1.74318,3.16618,4.42238,1
14479,2,0.919197,0.919197,1.04617,3.6178,1
14480,2,0.317886,0.317886,0.33417,4.12137,1
14481,2,1.01274,1.01274,1.44628,4.15929,1
14482,2,1.01274,1.01274,1.44628,4.15929,1
14483,2,0.414665,0.414665,0.44063,4.06524,1
14484,2,0.414665,0.414665,0.44063,4.06524,1
14485,2,1.54685,1.54685,2.77783,3.81378,1
14486,2,0.13312,0.13312,0.139874,3.85308,1
14487,2,1.28799,1.28799,2.18014,3.81192,1
14488,2,0.775454,0.775454,0.920447,3.8637,1
14489,2,0.775454,0.775454,0.920447,3.8637,1
14490,2,1.63734,1.63734,2.96455,4.15227,1
14491,2,1.63734,1.63734,2.96455,4.15227,1
14492,2,0.599776,0.599776,0.617918,4.15987,1
14493,2,1.19913,1.19913,1.94371,3.94099,1
14494,2,1.20148,1.20148,1.95142,3.94048,1
14495,2,0.302282,0.302282,0.319104,3.61781,1
14496,2,0.241341,0.241341,0.254764,3.52964,1
14497,2,1.13062,1.13062,1.76934,3.94585,1
14498,2,0.161297,0.161297,0.169731,3.50299,1
14499,2,0.363052,0.363052,0.422369,10.0899,2
14500,2,1.42119,1.42119,2.36985,3.91135,1
14501,2,0.232322,0.232322,0.244213,3.58431,1
14502,2,1.15645,1.15645,1.83373,3.89932,1
14503,2,0.0233171,0.0233171,0.0243979,3.47311,1
14504,2,1.1096,1.1096,1.71412,3.83408,1
14505,2,1.1096,1.1096,1.71412,3.83408,1
14506,3,1.10014,1.10014,2.25894,8.90629,2
14507,3,0.900409,0.900409,1.93024,8.3536,2
14508,2,0.52009,0.52009,0.549758,3.44152,1
14509,3,0.327574,0.327574,0.529881,8.45228,2
14510,2,0.335318,0.335318,0.346833,3.51862,1
14511,2,0.268542,0.268542,0.278648,2.50737,1
14512,2,0.28681,0.28681,0.298268,2.4733,1
14513,2,0.369506,0.369506,0.382269,2.60589,1
14514,2,0.411619,0.411619,0.426754,2.6616,1
14515,2,0.0210769,0.0210769,0.0218191,2.30203,1
14516,3,1.09485,1.09485,2.23474,5.79576,2
14517,2,0.289421,0.289421,0.289629,3.09409,1
14518,2,0.408502,0.408502,0.443338,11.1452,2
14519,2,0.114497,0.114497,0.115614,4.14829,1
14520,2,0.561784,0.561784,0.57114,3.46645,1
14521,3,0.348294,0.348294,0.558376,11.3056,2
14522,2,0.237875,0.237875,0.241289,4.44607,1
14523,2,0.286095,0.286095,0.290872,4.41748,1
14524,3,1.76464,1.76464,2.80295,9.41156,2
14525,3,1.34003,1.34003,3.46652,11.2198,2
14526,3,0.451152,0.451152,0.794223,11.4106,2
14527,2,0.648093,0.648093,0.763327,6.18531,2
14528,3,1.76464,1.76464,2.80295,9.41156,2
14529,3,0.656499,0.656499,1.05415,11.0204,2
14530,2,0.422946,0.422946,0.434337,4.31939,1
14531,3,2.0039,2.0039,3.06692,10.9178,2
14532,2,0.658211,0.658211,0.672205,4.49463,1
14533,2,0.658211,0.658211,0.672205,4.49463,1
14534,2,0.365264,0.365264,0.365596,3.27133,1
14535,3,1.12184,1.12184,1.66551,11.4398,2
14536,2,0.758465,0.758465,0.909712,2.18607,1
14537,2,0.203938,0.203938,0.215794,2.35714,1
14538,2,1.3736,1.3736,2.17917,1.94759,1
14539,2,1.18404,1.18404,1.94599,1.9321,1
14540,2,0.828507,0.828507,1.04824,2.14923,1
14541,2,0.658586,0.658586,0.746123,2.6057,1
14542,2,0.619116,0.619116,0.690175,3.16263,1
14543,2,0.88866,0.88866,1.17563,2.94991,1
14544,2,0.88866,0.88866,1.17563,2.94991,1
14545,2,1.54022,1.54022,2.76672,2.91674,1
14546,3,1.09671,1.09671,1.75639,11.367,2
14547,2,0.691248,0.691248,0.796372,2.96164,1
14548,2,1.74521,1.74521,3.11638,2.56114,1
14549,2,1.44961,1.44961,2.562,3.26618,1
14550,2,0.192006,0.192006,0.193323,4.45906,1
14551,2,0.192006,0.192006,0.193323,4.45906,1
14552,2,1.70403,1.70403,3.03682,3.21242,1
14553,3,1.55509,1.55509,3.64088,10.7526,2
14554,3,1.26064,1.26064,2.73419,10.6145,2
14555,3,0.694403,0.694403,1.61912,10.5702,2
14556,2,0.153875,0.153875,0.155605,4.1746,1
14557,2,0.854365,0.854365,0.89413,4.14935,1
14558,2,0.489895,0.489895,0.534226,10.8379,2
14559,3,1.29945,1.29945,2.82338,9.80671,2
14560,3,1.91317,1.91317,2.88162,10.2152,2
14561,2,0.898929,0.898929,0.924062,4.31565,1
14562,2,0.0184152,0.0184152,0.0186853,3.95216,1
14563,3,1.33714,1.33714,3.74522,9.90715,2
14564,2,0.411754,0.411754,0.423685,3.86661,1
14565,2,0.411754,0.411754,0.423685,3.86661,1
14566,2,0.411754,0.411754,0.423685,3.86661,1
14567,2,0.933596,0.933596,1.03336,3.98492,1
14568,2,0.451221,0.451221,0.487592,10.5423,2
14569,2,0.216868,0.216868,0.220877,3.89405,1
14570,2,0.0831219,0.0831219,0.0882357,10.3726,2
14571,2,0.143969,0.143969,0.146609,3.8473,1
14572,2,0.177358,0.177358,0.17779,2.93825,1
14573,2,0.0660596,0.0660596,0.066316,4.45661,1
14574,2,0.906364,0.906364,1.1399,3.3001,1
14575,2,0.653499,0.653499,0.698098,3.28392,1
14576,2,0.80868,0.80868,0.90552,2.99864,1
14577,2,0.720688,0.720688,0.764227,3.15782,1
14578,3,1.59646,1.59646,2.84042,13.5188,3
14579,2,1.04799,1.04799,1.54774,3.42607,1
14580,3,0.589955,0.589955,0.983914,9.52731,2
14581,3,0.722401,0.722401,1.44286,13.8599,3
14582,3,1.06203,1.06203,1.91613,9.61089,2
14583,3,1.141,1.141,2.89299,9.68314,2
14584,2,0.596542,0.596542,0.625868,4.47197,1
14585,3,1.37042,1.37042,2.86889,12.3837,3
14586,2,0.625593,0.625593,0.664118,4.40955,1
14587,2,0.625593,0.625593,0.664118,4.40955,1
14588,2,0.194041,0.194041,0.200163,3.75561,1
14589,2,0.0955526,0.0955526,0.0973289,3.43825,1
14590,2,1.78248,1.78248,3.23206,3.72997,1
14591,2,0.585156,0.585156,0.607946,4.4917,1
14592,2,1.39758,1.39758,2.46883,13.4036,2
14593,2,0.943235,0.943235,1.3304,12.7016,3
14594,2,1.55824,1.55824,2.72085,3.81803,1
14595,2,0.291421,0.291421,0.313839,3.11259,1
14596,2,0.648779,0.648779,0.738975,3.2986,1
14597,2,1.23098,1.23098,2.04979,3.37355,1
14598,3,1.14026,1.14026,1.92064,9.76164,2
14599,2,1.14151,1.14151,1.72461,4.34676,1
