track_root,n_obs,n_images,n_dup_images,X,Y,Z,spread_m,in_chair_roi
8867,5,4,1,0.6186,-0.3937,-1.0659,0.3062,1
17737,14,12,2,0.3487,-1.3429,-1.6450,0.0614,1
26035,9,7,2,0.3875,-1.3189,-1.0260,0.0263,1
12223,14,9,5,0.3458,-1.2411,-0.8034,0.0435,1
9201,8,7,1,0.4029,-1.1557,-0.7835,0.2052,1
9230,12,10,2,0.4359,-0.8378,-0.7803,0.0140,1
9231,18,12,6,0.4378,-0.8392,-0.7818,0.0117,1
9298,9,7,2,0.7152,-0.2121,-1.0890,0.0406,1
26670,7,6,1,0.3759,-1.2944,-0.7616,0.0570,1
12172,8,7,1,0.5847,-0.1608,-1.1710,0.0080,1
10773,6,5,1,0.3935,-1.3368,-0.6279,0.0173,1
35878,9,7,2,0.7408,-0.4534,-1.0834,0.0840,1
11159,9,8,1,0.3383,-1.3441,-0.7055,0.0110,1
11342,7,6,1,0.5840,-0.0710,-1.5525,0.0310,1
14378,9,6,3,0.4928,-0.8641,-0.9829,0.0703,1
12752,12,11,1,0.4663,-0.8101,-0.7763,0.0078,1
17553,8,7,1,0.7303,-0.2550,-1.0930,0.0315,1
17544,7,6,1,0.4964,-0.2326,-1.4210,0.0506,1
17914,8,6,2,0.4269,-1.2800,-1.0856,0.0757,1
30956,9,8,1,0.5551,-1.3519,-1.8002,0.0144,0
19943,8,7,1,0.4326,-0.3247,-1.1978,0.0149,1
21491,9,7,2,0.0521,-1.3686,-1.1369,0.0922,0
21616,8,6,2,0.4301,-1.3536,-1.2974,0.0720,1
23269,4,3,1,0.4744,-0.8439,-0.9803,0.0293,1
27355,5,4,1,0.5182,-0.8488,-1.0043,0.0135,1
27637,5,4,1,0.5182,-0.8488,-1.0043,0.0135,1
40261,8,7,1,0.5234,-0.7998,-0.7814,0.0086,1
176884,10,9,1,-0.1897,-0.7377,-3.5687,0.2067,0
90804,9,8,1,-0.3321,-0.4862,-3.2799,0.1757,0
91518,15,13,2,-0.2733,-0.6155,-3.5243,0.0653,0
91707,12,11,1,-0.3868,-0.4751,-3.2502,0.1463,0
92794,9,8,1,-0.2147,-0.8002,-3.6135,0.1777,0
100928,14,11,3,-0.5139,-0.3755,-3.0449,0.0413,0
93124,13,12,1,-0.3902,-0.4314,-3.2238,0.0372,0
146219,11,10,1,-0.3658,-0.3731,-3.2937,0.0244,0
144681,9,7,2,-0.5379,-0.0827,-3.6577,0.1659,0
182066,10,7,3,-0.3539,-0.3849,-3.3545,0.1072,0
94878,9,8,1,-0.3625,-0.2226,-3.3466,0.0518,0
94894,14,13,1,-0.4043,-0.6811,-3.2490,0.0733,0
200638,8,7,1,-0.4338,-0.4958,-3.1357,0.0225,0
95973,15,14,1,-0.2584,-0.8673,-3.6469,0.1057,0
95990,13,10,3,-0.4684,-0.7460,-3.1890,0.1077,0
130564,22,14,8,-0.2879,-0.6663,-3.5147,0.0959,0
97589,11,10,1,-0.3401,-0.6925,-3.5073,0.1753,0
184289,10,9,1,-0.4532,-0.7541,-3.2050,0.0746,0
97979,11,10,1,-0.2337,-0.9532,-3.6635,0.0271,0
165341,12,11,1,-0.2959,-0.5209,-3.5250,0.0521,0
106184,9,7,2,-0.5299,-0.4018,-3.0621,0.1590,0
108613,5,4,1,0.6986,0.6634,-1.5015,0.0127,1
110334,8,6,2,0.6047,0.6833,-1.5293,0.0151,1
116499,11,10,1,0.7724,0.2205,-3.9306,0.2790,0
121225,5,4,1,0.6858,-0.2555,-1.1355,0.0058,1
123311,6,5,1,0.4989,-0.0647,-1.2730,0.0431,1
127903,7,5,2,0.4593,-0.3097,-1.3102,0.0459,1
123861,6,5,1,0.4589,-0.3082,-1.3083,0.0615,1
143965,10,9,1,0.0805,-1.3050,-3.9975,0.3095,0
157043,13,11,2,-0.2544,-1.2563,-3.7992,0.1015,0
137104,10,9,1,-0.1828,-1.3268,-4.1639,0.3675,0
133928,7,6,1,-0.2690,-0.5583,-3.5356,0.0474,0
137084,12,11,1,-0.2855,-0.8230,-3.6050,0.1036,0
137512,4,3,1,-0.2693,-0.5583,-3.5378,0.0368,0
139125,10,9,1,-0.3541,-0.7210,-3.3408,0.1019,0
176902,9,8,1,-0.3453,-0.6504,-3.5144,1.2614,0
160340,10,9,1,-0.2432,-1.3448,-3.7165,0.3653,0
146217,11,8,3,-0.3578,-0.2606,-3.2462,0.0724,0
149468,9,8,1,-0.5655,-0.4016,-3.0331,0.0629,0
168729,4,3,1,-0.4151,-0.0268,-4.2170,0.2743,0
174680,9,8,1,-0.4194,-0.5301,-3.1765,0.0306,0
209691,9,8,1,-0.6830,-1.1344,-2.6702,0.0931,0
211896,7,6,1,-0.8353,-0.3236,-3.3992,0.0268,0
212004,6,5,1,-1.2510,-0.2771,-3.3039,0.0136,0
234600,10,9,1,-0.7239,-1.1655,-2.8684,0.0135,0
234727,9,8,1,-0.8980,-1.1097,-2.6361,0.0253,0
237190,5,4,1,-0.7545,-1.1905,-2.5401,0.1116,0
237457,11,10,1,-0.6943,-1.1652,-2.8462,0.0127,0
238874,9,7,2,-0.7330,-1.0969,-2.6972,0.0413,0
259305,7,6,1,-1.4646,-0.5853,-2.8634,0.0178,0
245637,6,5,1,-1.4453,-0.5768,-2.9977,0.0172,0
246972,10,8,2,-0.7414,-1.1164,-2.6919,0.0379,0
248347,5,4,1,-0.5577,-0.7657,-2.9867,0.0127,0
249701,6,4,2,-1.1702,-0.2256,-3.3904,0.0233,0
276269,11,9,2,-0.4948,-0.6955,-3.1175,0.0044,0
293387,12,9,3,-0.4977,-0.6904,-3.0961,0.0133,0
258771,9,8,1,-0.5093,-0.6216,-3.0737,0.0101,0
254703,6,5,1,-0.4690,-1.1282,-3.0942,0.0169,0
261162,8,5,3,-1.4837,-0.5729,-2.9475,0.0600,0
261163,7,5,2,-1.4893,-0.5744,-2.9490,0.1061,0
262677,5,4,1,-1.3789,-1.1700,-2.6180,0.0118,0
266598,6,5,1,-0.7633,-1.1218,-2.6754,0.1559,0
267497,7,6,1,-0.4212,-0.3241,-3.1025,0.0138,0
268211,11,7,4,-0.4218,-0.3022,-3.1323,0.0127,0
270855,6,5,1,-0.4345,-0.4085,-3.0938,0.0207,0
272874,6,5,1,-0.4194,-0.4229,-3.1409,0.0152,0
272875,7,5,2,-0.4180,-0.4221,-3.1397,0.0152,0
277094,7,6,1,-0.4024,-0.4363,-3.1682,0.0121,0
290353,5,4,1,-0.3847,-0.5050,-3.2447,0.0076,0
296509,6,4,2,-0.3282,-0.6204,-3.3333,0.0183,0
294592,5,4,1,-0.3552,-0.2633,-3.2684,0.0208,0
298960,5,4,1,-0.3849,-0.5414,-3.2817,0.0106,0
321712,7,6,1,-0.1881,-0.3689,-3.5552,0.0029,0
337565,5,4,1,-0.2095,-0.4777,-3.7019,0.0081,0
343550,5,4,1,-0.4464,0.0681,-3.7790,0.0080,0
346827,5,4,1,-0.3388,-0.1956,-3.9510,0.0127,0
463336,25,21,4,-0.8665,-0.2117,-3.7033,2.4304,0
425239,17,16,1,-0.8580,-0.2244,-3.6438,2.0541,0
447768,21,18,3,-0.7541,-0.1543,-3.7016,1.9189,0
381936,9,8,1,-0.4880,0.0264,-3.6832,0.0070,0
379085,6,5,1,-0.3525,-0.0427,-3.5820,0.0060,0
379109,6,5,1,-0.4845,-0.0578,-3.5864,0.0069,0
424416,25,19,6,-0.8221,-0.2079,-3.6508,1.7888,0
443225,12,11,1,-0.8357,-0.1748,-3.7655,0.9741,0
463581,21,17,4,-0.8783,-0.2578,-3.6845,5.2636,0
391250,16,15,1,-0.8723,-0.1685,-3.7839,0.9457,0
441461,11,10,1,-0.8281,-0.1877,-3.7560,0.9919,0
443218,17,15,2,-0.7825,-0.2487,-3.6479,0.8651,0
464437,17,14,3,-0.8285,-0.1495,-3.7922,1.3457,0
463686,18,16,2,-0.8561,-0.2011,-3.7740,1.1562,0
411692,8,7,1,-0.6774,0.7412,-3.9712,0.0194,0
463964,11,9,2,-0.8403,-0.2005,-3.8048,1.4727,0
416009,17,14,3,-0.8230,-0.1957,-3.7725,1.2543,0
416694,11,10,1,-0.7811,-0.2148,-3.4441,0.0053,0
436682,12,11,1,-0.8579,-0.1968,-3.6506,1.1311,0
417243,11,10,1,-0.6696,-0.1399,-3.3646,1.5362,0
425189,19,15,4,-0.7976,-0.2196,-3.6064,1.1939,0
445934,12,11,1,-0.7045,-0.1922,-3.4594,3.3320,0
443101,11,9,2,-0.8079,-0.0433,-3.7036,0.0607,0
463984,14,13,1,-0.8265,-0.2148,-3.7546,1.3279,0
424433,14,13,1,-0.8274,-0.1889,-3.5874,1.3230,0
463574,17,14,3,-0.8495,-0.2438,-3.7351,1.3878,0
439684,15,11,4,-0.7672,-0.1979,-3.4107,2.4022,0
463568,12,10,2,-0.8482,-0.2572,-3.7929,1.8635,0
427692,10,8,2,-0.7973,-0.0539,-3.6876,0.0191,0
428315,10,9,1,-0.8638,-0.3246,-3.3977,0.0057,0
439173,15,13,2,-0.8052,-0.1471,-3.6729,0.9945,0
464418,11,9,2,-0.7051,-0.0993,-3.3788,1.7425,0
473343,12,10,2,-0.8324,-0.1156,-3.8363,1.4793,0
464850,12,10,2,-0.8995,-0.3334,-3.4859,0.5245,0
437054,16,13,3,-0.8071,-0.2390,-3.5371,2.0393,0
465280,14,13,1,-0.8519,-0.2344,-3.7419,2.4240,0
439751,6,5,1,-1.0377,-0.2148,-3.4895,0.0249,0
464802,14,12,2,-0.7278,-0.2728,-3.5838,1.5227,0
465203,10,8,2,-0.8162,-0.2270,-3.5916,3.8829,0
465680,10,9,1,-0.8817,-0.3253,-3.6868,10.2649,0
463943,13,11,2,-0.8813,-0.2212,-3.7114,3.1696,0
463941,12,10,2,-0.8695,-0.2150,-3.6958,3.4961,0
464401,9,8,1,-0.7693,-0.2044,-3.5640,1.3581,0
443212,5,4,1,-0.8082,-0.1217,-3.5489,0.0207,0
443213,5,4,1,-0.8082,-0.1217,-3.5489,0.0207,0
463977,11,9,2,-0.8496,-0.2589,-3.5514,7.6529,0
445833,5,4,1,-0.9262,-0.1551,-3.5768,0.0656,0
445834,5,4,1,-0.9262,-0.1551,-3.5768,0.0656,0
445774,4,3,1,-1.0031,-0.1643,-3.5303,0.0098,0
448032,5,4,1,-0.8152,0.7657,-4.1152,0.4518,0
464468,10,9,1,-0.8880,-0.2319,-3.5866,1.3724,0
463914,6,5,1,-0.9092,-0.2385,-3.4546,0.0495,0
464493,11,10,1,-0.8809,-0.3596,-3.3805,0.0055,0
558431,7,6,1,-0.9658,-1.0451,-2.6928,0.0140,0
522139,13,12,1,-1.2614,-0.9421,-3.7487,0.0461,0
523549,8,7,1,-1.2994,-0.9577,-2.9347,0.0217,0
555566,17,11,6,-1.0094,-0.9943,-2.9295,0.0169,0
531391,6,5,1,-1.4590,-0.9839,-2.9104,0.0210,0
557773,8,7,1,-0.9470,-1.0986,-2.5948,0.0052,0
578190,5,4,1,-0.8797,-1.0100,-2.9894,0.0047,0
706277,11,9,2,1.0014,-1.3383,-3.4966,0.0382,0
675760,10,9,1,0.9477,0.1213,-3.3506,0.0283,0
675765,12,10,2,0.9422,0.1102,-3.3285,0.0230,0
675766,12,10,2,0.9422,0.1102,-3.3285,0.0230,0
681488,10,9,1,1.1968,0.0316,-3.3266,0.3011,0
693549,7,6,1,1.0008,-0.3733,-3.2647,0.1040,0
718481,9,8,1,1.1070,-0.6391,-3.7241,0.2062,0
704452,8,6,2,1.0385,-1.3713,-3.4937,0.0680,0
694277,9,8,1,0.9516,-0.5037,-3.3548,0.0146,0
702000,8,7,1,1.0661,-0.4360,-3.7678,0.0736,0
694665,13,9,4,1.1283,-0.4787,-3.7179,0.0132,0
695330,10,9,1,1.1181,-0.0179,-3.7146,0.0108,0
710159,11,9,2,1.1258,-0.1556,-3.7023,0.0253,0
695422,7,6,1,0.9414,0.1314,-3.2664,0.0382,0
695577,9,8,1,1.1271,-0.3631,-3.7285,0.0245,0
696221,10,9,1,1.1210,-0.4831,-3.6907,0.0107,0
697109,6,5,1,1.0514,-1.3944,-3.6657,0.0627,0
697517,11,10,1,1.1267,-0.3445,-3.7066,0.0155,0
697875,7,6,1,1.1152,0.1199,-3.7169,0.0142,0
698713,8,7,1,0.8037,-0.1556,-3.6187,0.3991,0
699738,5,4,1,0.9376,-1.2430,-3.1989,0.0421,0
700085,7,6,1,1.0403,-1.0134,-3.6262,0.0117,0
709157,7,6,1,1.1265,-0.3010,-3.7070,0.0247,0
710160,10,9,1,1.1141,-0.2037,-3.6555,0.0296,0
702520,4,3,1,0.9460,0.1589,-3.3365,0.0015,0
731093,10,8,2,1.0811,-0.6641,-3.6506,0.0327,0
703832,10,8,2,1.1125,0.0917,-3.7049,0.0123,0
722752,10,9,1,1.1162,-0.0334,-3.6711,0.0129,0
705776,7,6,1,1.1080,-0.8877,-3.7262,0.0293,0
705777,6,5,1,1.0357,-1.1759,-3.6210,0.0081,0
715951,5,4,1,1.1349,-0.3608,-3.7146,0.0377,0
716557,7,6,1,1.1170,-0.8642,-3.7124,0.0460,0
821596,7,6,1,0.8578,0.1490,-2.9504,0.0197,0
821595,7,6,1,0.8578,0.1490,-2.9504,0.0197,0
811030,6,5,1,0.7589,0.6578,-2.6410,0.0258,0
852928,6,5,1,0.6835,-0.5733,-2.1645,0.0214,0
1045957,4,3,1,0.3436,-0.2887,-7.4800,0.1714,0
1059852,4,3,1,-0.5280,-0.8136,-3.1092,0.0564,0
1060732,4,3,1,-0.4777,-0.4126,-3.1416,0.0646,0
1060733,4,3,1,-0.4777,-0.4126,-3.1416,0.0646,0
1086440,5,4,1,0.6030,0.7125,-1.4856,0.0110,1
1088230,7,6,1,0.6245,0.7230,-1.4850,0.0049,1
1096081,6,5,1,0.7047,0.7014,-1.4632,0.0048,1
