run,frame,depth_median,depth_p10,depth_p90,depth_std,conf_mean,conf_median,conf_p10,conf_p90
K40,17,0.81494140625,0.6787109375,0.91015625,0.09273094683885574,0.0005666235229000449,0.0,0.0,0.001953125
K40,18,0.775390625,0.65771484375,0.8955078125,0.09655284881591797,0.00011391845328034833,0.0,0.0,0.0
K40,19,0.78564453125,0.6328125,0.94091796875,0.11209435015916824,0.0018960966262966394,0.0009765625,0.0,0.0048828125
K40,20,0.77685546875,0.640625,0.9267578125,0.10584216564893723,0.0027030615601688623,0.0009765625,0.0,0.0068359375
K40,21,0.794921875,0.6279296875,0.94091796875,0.11188880354166031,0.0019683423452079296,0.0009765625,0.0,0.0048828125
K40,22,0.751953125,0.5498046875,0.837890625,0.10544326156377792,0.03167159855365753,0.015625,0.0029296875,0.0771484375
K40,23,0.7568359375,0.541015625,0.83740234375,0.10923317819833755,0.027310429140925407,0.0146484375,0.00390625,0.064453125
K40,24,0.7548828125,0.53759765625,0.83154296875,0.10795863717794418,0.04809155687689781,0.017578125,0.005859375,0.1396484375
K40,25,0.73876953125,0.537109375,0.83203125,0.10343147069215775,0.01271864678710699,0.0048828125,0.0009765625,0.0283203125
K40,26,0.74462890625,0.53515625,0.845703125,0.10872610658407211,0.015773262828588486,0.0068359375,0.0009765625,0.0400390625
K40,27,0.72216796875,0.509765625,0.82568359375,0.11164068430662155,0.017815982922911644,0.005859375,0.0009765625,0.044921875
K40,28,0.7119140625,0.4990234375,0.80908203125,0.10994778573513031,0.01753748394548893,0.005859375,0.0009765625,0.0478515625
K40,29,0.70849609375,0.509765625,0.83984375,0.1178647056221962,0.012019171379506588,0.0048828125,0.0,0.0302734375
K40,30,0.69775390625,0.509765625,0.814453125,0.11193811148405075,0.01500499527901411,0.005859375,0.0,0.0390625
K40,31,0.6845703125,0.49560546875,0.80712890625,0.11401709914207458,0.010753425769507885,0.0048828125,0.0,0.0263671875
K40,32,0.7001953125,0.50146484375,0.8076171875,0.10983092337846756,0.024365918710827827,0.013671875,0.0009765625,0.0556640625
K40,33,0.69580078125,0.49072265625,0.79296875,0.11007387936115265,0.03769459202885628,0.0224609375,0.0029296875,0.091796875
K40,34,0.70361328125,0.50146484375,0.80859375,0.11394398659467697,0.04504568874835968,0.0234375,0.0029296875,0.1181640625
K40,35,0.69140625,0.49267578125,0.79638671875,0.11135822534561157,0.0646434873342514,0.03515625,0.0068359375,0.1884765625
K40,36,0.66650390625,0.48046875,0.7705078125,0.1062079519033432,0.02185976132750511,0.0107421875,0.001953125,0.056640625
K40,37,0.67041015625,0.48679208755493164,0.7880859375,0.10981771349906921,0.024574296548962593,0.01171875,0.001953125,0.064453125
K40,38,0.66259765625,0.48046875,0.77490234375,0.11114709824323654,0.03059719316661358,0.013671875,0.001953125,0.0908203125
K40,39,0.6865234375,0.47607421875,0.79052734375,0.11846180260181427,0.017927097156643867,0.0087890625,0.0009765625,0.0419921875
K50,0,0.79248046875,0.67138671875,0.8642578125,0.07590430974960327,0.004413776099681854,0.0009765625,0.0,0.01171875
K50,1,0.81005859375,0.68994140625,0.8955078125,0.07822807133197784,0.00341070257127285,0.0009765625,0.0,0.009765625
K50,2,0.8134765625,0.69921875,0.8896484375,0.07540493458509445,0.0018039763672277331,0.0,0.0,0.0048828125
K50,3,0.841796875,0.74267578125,0.9208984375,0.07252629101276398,0.0007752779638394713,0.0,0.0,0.001953125
K50,4,0.8359375,0.70556640625,0.9091796875,0.07963870465755463,0.006343912333250046,0.0009765625,0.0,0.01953125
K50,5,0.8203125,0.6884765625,0.89013671875,0.07908305525779724,0.0209779292345047,0.0068359375,0.0,0.0634765625
K50,6,0.8115234375,0.6708984375,0.8857421875,0.08203788846731186,0.07655870914459229,0.033203125,0.00390625,0.248046875
K50,7,0.7841796875,0.658203125,0.87158203125,0.08148332685232162,0.021403299644589424,0.0087890625,0.0,0.052734375
K50,8,0.77978515625,0.64794921875,0.8720703125,0.08272843062877655,0.02092033252120018,0.0078125,0.0,0.0517578125
K50,9,0.7919921875,0.6494140625,0.888671875,0.08543511480093002,0.004370539449155331,0.0009765625,0.0,0.013671875
K50,10,0.81103515625,0.6630859375,0.92578125,0.09278350323438644,0.0007461790228262544,0.0,0.0,0.001953125
K50,11,0.80908203125,0.662109375,0.9267578125,0.09327537566423416,0.0009743134723976254,0.0,0.0,0.0029296875
K50,12,0.82958984375,0.734375,0.95166015625,0.08934345841407776,0.0008302787900902331,0.0,0.0,0.001953125
K50,13,0.8388671875,0.73974609375,0.96044921875,0.09160584211349487,0.0006990255205892026,0.0,0.0,0.001953125
K50,14,0.8427734375,0.73779296875,0.95361328125,0.08510345220565796,0.00030370871536433697,0.0,0.0,0.0009765625
K50,15,0.83154296875,0.73046875,0.9580078125,0.08981411159038544,0.00019091824651695788,0.0,0.0,0.0009765625
K50,16,0.775390625,0.658203125,0.9130859375,0.09810307621955872,0.0001911050931084901,0.0,0.0,0.0009765625
K50,17,0.8017578125,0.69287109375,0.927734375,0.09458941966295242,0.0005940478295087814,0.0,0.0,0.0009765625
K50,18,0.765625,0.64990234375,0.9169921875,0.10116399824619293,7.106235716491938e-05,0.0,0.0,0.0
K50,19,0.7734375,0.6298828125,0.931640625,0.11330761760473251,0.003060781629756093,0.001953125,0.0,0.0068359375
K50,20,0.77490234375,0.64013671875,0.92578125,0.1093147024512291,0.00330779398791492,0.001953125,0.0,0.0078125
K50,21,0.78369140625,0.6240234375,0.92333984375,0.11024884879589081,0.003597579663619399,0.001953125,0.0,0.0078125
K50,22,0.73681640625,0.53564453125,0.82177734375,0.10518227517604828,0.046733029186725616,0.0263671875,0.005859375,0.1103515625
K50,23,0.74365234375,0.52587890625,0.8203125,0.10821305215358734,0.06496118754148483,0.0380859375,0.009765625,0.173828125
K50,24,0.7431640625,0.5244140625,0.8193359375,0.10728219896554947,0.10262395441532135,0.048828125,0.0146484375,0.28125
K50,25,0.72900390625,0.52197265625,0.8095703125,0.10228773951530457,0.03284676745533943,0.013671875,0.0029296875,0.0869140625
K50,26,0.7314453125,0.513671875,0.822265625,0.10905084758996964,0.033749986439943314,0.0126953125,0.001953125,0.0908203125
K50,27,0.7177734375,0.49951171875,0.80859375,0.11099255830049515,0.045780934393405914,0.0185546875,0.001953125,0.1259765625
K50,28,0.70166015625,0.47509765625,0.78515625,0.11094175279140472,0.04221787303686142,0.0166015625,0.001953125,0.123046875
K50,29,0.69482421875,0.477294921875,0.8056640625,0.11624135076999664,0.023318924009799957,0.0107421875,0.0009765625,0.060546875
K50,30,0.69189453125,0.47607421875,0.7861328125,0.11120856553316116,0.027182741090655327,0.0126953125,0.0009765625,0.0693359375
K50,31,0.66796875,0.47021484375,0.77880859375,0.11246944218873978,0.021955078467726707,0.009765625,0.0009765625,0.052734375
K50,32,0.6875,0.478515625,0.7783203125,0.11098170280456543,0.052132923156023026,0.0302734375,0.00390625,0.1259765625
K50,33,0.6806640625,0.471923828125,0.77685546875,0.11200547218322754,0.05570131167769432,0.033203125,0.0048828125,0.1435546875
K50,34,0.68505859375,0.484375,0.7939453125,0.11659263074398041,0.07009973376989365,0.0439453125,0.0068359375,0.1875
K50,35,0.67724609375,0.476806640625,0.7763671875,0.11152099817991257,0.1089450791478157,0.0732421875,0.0146484375,0.265625
K50,36,0.6513671875,0.46533203125,0.7578125,0.10771249234676361,0.04473091661930084,0.0224609375,0.00390625,0.1220703125
K50,37,0.64892578125,0.470703125,0.765625,0.1087610274553299,0.03761313483119011,0.01953125,0.00390625,0.09375
K50,38,0.64306640625,0.462890625,0.75341796875,0.11008378863334656,0.04052114486694336,0.01953125,0.00390625,0.11328125
K50,39,0.6689453125,0.452880859375,0.76806640625,0.11866208165884018,0.025759639218449593,0.013671875,0.001953125,0.064453125
K50,40,0.677734375,0.46240234375,0.75927734375,0.1115710586309433,0.09526128321886063,0.0478515625,0.01171875,0.2783203125
K50,41,0.80029296875,0.5751953125,0.86181640625,0.09895258396863937,0.001464317785575986,0.0,0.0,0.00390625
K50,42,0.6455078125,0.4501953125,0.70458984375,0.09275079518556595,0.04102807492017746,0.015625,0.001953125,0.1220703125
K50,43,0.6591796875,0.4560546875,0.72265625,0.0957665741443634,0.08588644117116928,0.0458984375,0.00390625,0.2421875
K50,44,0.6826171875,0.4462890625,0.7490234375,0.10634487867355347,0.0374176912009716,0.015625,0.001953125,0.1025390625
K50,45,0.64453125,0.4345703125,0.73779296875,0.10629227012395859,0.03737042099237442,0.0146484375,0.0,0.119140625
K50,46,0.66357421875,0.43918466567993164,0.765625,0.11324874311685562,0.02112148515880108,0.0068359375,0.0,0.064453125
K50,47,0.66796875,0.45751953125,0.77685546875,0.10824333876371384,0.007981239818036556,0.0029296875,0.0,0.0224609375
K50,48,0.66845703125,0.44677734375,0.8037109375,0.11917324364185333,0.005035615060478449,0.0009765625,0.0,0.0126953125
K50,49,0.65771484375,0.437255859375,0.771484375,0.11232481896877289,0.008264423348009586,0.0029296875,0.0,0.0234375
