run,edge,nn_p50,nn_p90,nn_mean,count_a,count_b
K35,0,0.03459684557172708,0.05143669999936132,0.03346238630725957,2500,2500
K35,1,0.026321258345274795,0.04263419232994564,0.02556093796082111,2500,2500
K35,2,0.01425395899011632,0.04622095686152513,0.02014432742009408,2500,2500
K35,3,0.029255396667021216,0.07523667719873015,0.0370075990044457,2500,2500
K35,4,0.02252821973752145,0.04251693849672188,0.02398025694215377,2500,2500
K35,5,0.01345127928461853,0.03384717698514785,0.016875473173530407,2500,2500
K35,6,0.013460652398879093,0.026516376614975537,0.015098404927817955,2500,2500
K35,7,0.020967545244295047,0.03972737360745175,0.0223096760185057,2500,2500
K35,8,0.019357290234911177,0.057918562138329306,0.027248007726232714,2500,2500
K35,9,0.030300329375752597,0.05405680493068538,0.031111920487453024,2500,2500
K35,10,0.013008009359622933,0.029113278630396807,0.01633738665424378,2500,2500
K35,11,0.012296545162326884,0.02876648538978718,0.015833606133715296,2500,2500
K35,12,0.03187794974634363,0.0480169037584809,0.03105720520773565,2500,2500
K35,13,0.022126445934216407,0.03257649246364435,0.022966448804606035,2500,2500
K35,14,0.012024341061131153,0.02415024509037233,0.01435227917761425,2500,2500
K35,15,0.016982632665470614,0.035358495380394865,0.019972615920758906,2500,2500
K35,16,0.01712251043199041,0.03371364475639556,0.01879047072499834,2500,2500
K35,17,0.017376022774190418,0.03997682864017608,0.02112156420967766,2500,2500
K35,18,0.038656263624120814,0.09643800022789724,0.048244766812851975,2500,2500
K35,19,0.01441480862271512,0.038473656707653216,0.020178562582796964,2500,2500
K35,20,0.027789709123339702,0.04760610390298772,0.029869559664092337,2500,2500
K35,21,0.054580176078332224,0.130960014027069,0.06354830422525287,2500,2500
K35,22,0.028036026946954416,0.058608515736371526,0.03232501705222285,2500,2500
K35,23,0.012928394068339854,0.02795526362385287,0.017070930391570593,2500,2500
K35,24,0.01339861027514791,0.033314375953535,0.017381085345887476,2500,2500
K35,25,0.010202278872747087,0.0203801950109409,0.011950096737862603,2500,2500
K35,26,0.01580560751215111,0.031655260115642514,0.0176807894742644,2500,2500
K35,27,0.01065490131605766,0.028613215947946677,0.013646029934147378,2500,2500
K35,28,0.010860354641557924,0.0269009127083419,0.013230372993761912,2500,2500
K35,29,0.011617393625711552,0.02144402589674816,0.013403575689885889,2500,2500
