sequence,camera_names,actual_slots,window_count,selected_frame_count,dropped_frame_count,local_rmse,stitched_rmse,stitched_p90,bridge_scale_std,official_streaming_rmse,official_streaming_p90,official_streaming_bridge_scale_std,official_streaming_loop_rmse,official_streaming_loop_p90,official_streaming_loop_constraints,official_streaming_loop_status,depth_mapping,depth_abs_rel,depth_rmse_m,depth_p90_abs_m,colmap_verified_pairs,frames_with_verified_edges
House_omni_P0000_lcam_front-lcam_left-lcam_right-lcam_back,"lcam_front,lcam_left,lcam_right,lcam_back",385,11,325,375,0.1429148606154129,0.6573757992691457,1.0533054307485217,0.19749074372562908,0.37298887814285386,0.584590151974887,0.16152217622189666,2.7597862220927323,4.026711307388582,0,not_run_no_loop_constraints,,,,,2823,668
House_omni_P0000_lcam_front-lcam_left-lcam_right-lcam_back,"lcam_front,lcam_left,lcam_right,lcam_back",700,20,586,114,0.18818046383418122,1.2962265314998915,2.018567231010536,0.43293873157728946,0.4673681889627648,0.7099160246446903,0.2559762063379454,2.881368799635748,4.453762220362935,12,optimized,,,,,2823,668
