arm,native_n,native_p50,native_p90,native_p99,native_gt2,native_gt5,dnorm_n,dnorm_p50,dnorm_p90,dnorm_p99,dnorm_gt2,dnorm_gt5
blendmvg,2923725,0.0,0.0,0.0,0.0,0.0,2329310,0.0,0.0,0.0,0.0,0.0
blend,3075515,4.46154040143598,11.02208204163665,34.04116742964271,2.950107542964349,0.5060615864334916,2329310,4.849795005717809,11.9768229071437,36.81923999190805,3.5014231682343695,0.5733886859198647
dtu,2329310,5.044467478169988,13.575852288518,54.53353471683286,4.861053273286939,1.1249683382632625,2329310,5.451067201593181,14.58371815996107,57.68994712302637,5.501629237842966,1.2113458491999776
C,3830007,4.5126346343311985,11.814065955341661,40.092945591133386,3.711925330684774,0.6869961334274324,2329310,4.908642495532913,12.850278671921291,43.314465836408566,4.379837806045567,0.7815189906023673
新权重,3482510,4.551793460338289,12.01933673902545,43.41283600345241,4.038236788982659,0.8012898742573604,2329310,4.944469228688794,13.108023852534401,46.85185077635031,4.712554361592059,0.9026278168212905
