arm,native_n,native_rms,native_p95,native_gt2cm,native_slope,native_span,dnorm_n,dnorm_rms,dnorm_p95,dnorm_gt2cm,dnorm_slope,dnorm_span
blendmvg,2375313,32.11432168299505,23.206830592369336,5.738654232094886,1.8633188317143103,5.7013130944674195,946062,32.24248250941294,23.244706511896034,5.745923628683955,1.8583667860687698,5.705800551962126
blend,2506265,31.204104864077774,22.425827478778874,5.508356059714356,1.6738718359325142,6.7063944522716135,948473,31.133024777443225,22.25340542484061,5.478595595235711,1.6652116980433647,6.677953307669959
dtu,2084373,26.474458244830508,21.392269327268195,5.457180648569138,0.8492726489414605,7.314986674982871,1041259,26.660437903825596,21.530987667796175,5.507179289686811,0.8369682621598437,7.348006427802201
C,3013695,33.39489141987199,23.872601589078947,5.680203205699316,1.8969069073826323,5.906846966023505,916942,33.31470606455332,23.53636163394143,5.625110421378888,1.8546401688927805,5.921064232414119
新权重,2735354,33.680978200680215,23.93638425043966,5.694034483288086,1.7732902942746305,4.716904452099824,914957,33.78356867839068,24.00888289071197,5.708574282725855,1.8029584051236802,4.677293057857579
