# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
1323.73779 545.306458 1337.46741 598.716858 1 1337.46741 598.716858 1 1323.74329 545.328491 1 1323.74329 545.328491 1
1394.19165 1171.40247 1406.40295 1234.27283 1 1406.40295 1234.27283 1 1394.17114 1171.5116 1 1394.17114 1171.5116 1
949.761963 491.955017 956.985718 546.297729 1 956.985718 546.297729 1 949.750732 491.820618 1 949.750732 491.820618 1
1387.28186 239.152985 1399.30164 301.500671 1 1399.30164 301.500671 1 1387.42505 238.795624 1 1387.42505 238.795624 1
1242.90845 774.317383 1252.81812 834.877991 1 1252.81812 834.877991 1 1242.90735 774.19519 1 1242.90735 774.19519 1
1169.87122 56.5631866 1177.56689 128.692627 1 1177.56689 128.692627 1 1168.9834 55.35495 1 1168.9834 55.35495 1
896.213379 879.591675 905.176086 937.521362 1 905.176086 937.521362 1 896.243774 879.49585 1 896.243774 879.49585 1
313.626068 859.4198 317.521515 910.013977 1 317.521515 910.013977 1 315.177521 858.749939 1 315.177521 858.749939 1
1403.41809 186.446609 1408.31299 274.418518 1 1408.31299 274.418518 1 1403.21509 187.100311 1 1403.21509 187.100311 1
832.638855 29.5389137 853.581726 92.2861862 1 853.581726 92.2861862 1 832.727905 28.7827377 1 832.727905 28.7827377 1
261.1297 165.260483 296.506378 212.424789 1 296.506378 212.424789 1 259.899231 173.432846 1 259.899231 173.432846 1
602.58197 156.205048 623.536194 215.425522 1 623.536194 215.425522 1 602.758179 156.958511 1 602.758179 156.958511 1
521.14801 475.045166 535.062195 524.671692 1 535.062195 524.671692 1 521.111633 474.975189 1 521.111633 474.975189 1
665.403992 257.760254 686.50061 316.391815 1 686.50061 316.391815 1 665.463013 257.900452 1 665.463013 257.900452 1
1629.78442 81.1548386 1644.48083 152.07872 1 1644.48083 152.07872 1 1629.45166 80.0081863 1 1629.45166 80.0081863 1
1472.32874 91.8123779 1488.39734 165.18634 1 1488.39734 165.18634 1 1472.495 92.6570053 1 1472.495 92.6570053 1
1203.66602 495.800873 1220.89819 553.290039 1 1220.89819 553.290039 1 1203.79321 495.025055 1 1203.79321 495.025055 1
849.70282 632.470276 832.363586 696.24292 1 832.363586 696.24292 1 848.306946 632.966736 1 848.306946 632.966736 1
1125.51343 722.143982 1142.1272 778.408508 1 1142.1272 778.408508 1 1125.51685 722.168518 1 1125.51685 722.168518 1
1050.97852 859.85199 1068.71423 918.691162 1 1068.71423 918.691162 1 1051.04358 859.875 1 1051.04358 859.875 1
1074.40076 856.131836 1089.33618 915.499756 1 1089.33618 915.499756 1 1074.49341 856.166199 1 1074.49341 856.166199 1
1126.25403 258.762756 1141.18311 322.143005 1 1141.18311 322.143005 1 1125.96863 258.362091 1 1125.96863 258.362091 1
79.6844025 1354.19092 66.6849213 1401.02405 1 66.6849213 1401.02405 1 79.6902542 1354.01111 1 79.6902542 1354.01111 1
198.097702 1343.06946 189.918121 1393.90662 1 189.918121 1393.90662 1 199.086823 1341.70728 1 199.086823 1341.70728 1
1182.31445 846.711365 1196.25427 909.462463 1 1196.25427 909.462463 1 1182.45142 846.305237 1 1182.45142 846.305237 1
1374.45105 1102.24329 1390.36829 1173.33618 1 1390.36829 1173.33618 1 1374.37512 1102.46216 1 1374.37512 1102.46216 1
1485.6051 49.8105354 1502.89124 120.38784 1 1502.89124 120.38784 1 1548.24854 166.493317 1 1548.24854 166.493317 1
442.869263 1291.27271 437.057739 1347.08533 1 437.057739 1347.08533 1 442.561493 1291.9209 1 442.561493 1291.9209 1
626.228149 211.579239 645.342651 270.209747 1 645.342651 270.209747 1 626.718201 213.061172 1 626.718201 213.061172 1
618.727783 49.7390862 627.747131 70.7905731 1 627.747131 70.7905731 1 684.535156 -11.7251854 0 684.535156 -11.7251854 1
1269.0022 560.503418 1285.95276 624.821289 1 1285.95276 624.821289 1 1269.05957 559.924988 1 1269.05957 559.924988 1
818.332397 115.737236 835.744141 179.03389 1 835.744141 179.03389 1 818.577759 115.92907 1 818.577759 115.92907 1
727.379822 801.928589 727.110718 857.031128 1 727.110718 857.031128 1 727.38208 801.988159 1 727.38208 801.988159 1
1421.98218 121.870377 1438.42407 176.096176 1 1438.42407 176.096176 1 1422.70215 119.589424 1 1422.70215 119.589424 1
1224.52783 714.18512 1240.5022 773.277893 1 1240.5022 773.277893 1 1224.58472 714.143311 1 1224.58472 714.143311 1
