timestamp_ns,wx,wy,wz,ax,ay,az
387776027292,-0.20302581787109375,-0.08942415565252304,-0.09965815395116806,1.1228805786132812,9.222464794921875,3.2466870887756345
387785996292,-0.1681317538022995,-0.100494384765625,-0.11589331179857254,1.1719617126464843,9.14270795211792,3.371634487915039
387795966292,-0.13520123064517975,-0.1508965641260147,-0.1469327211380005,1.250072541809082,9.067140962219238,3.4063504119873045
387805936292,-0.11178858578205109,-0.1930815726518631,-0.175343319773674,1.2568062339782715,9.005041356658936,3.3852515098571776
387815905292,-0.09777822345495224,-0.20720751583576202,-0.1863485723733902,1.1869254730224608,8.987533757019042,3.2978631492614743
387825875292,-0.09146333485841751,-0.1891009509563446,-0.1799311488866806,1.0844237144470215,8.99441708679199,3.235613906097412
387835844292,-0.0855356752872467,-0.15366758406162262,-0.16843988001346588,1.0224737464904785,9.031676850128173,3.2148142791748047
387845814292,-0.0771469846367836,-0.1437142938375473,-0.15667882561683655,1.0357914932250976,9.099163409423827,3.270629105377197
387855783292,-0.06712763756513596,-0.17933672666549683,-0.14454732835292816,1.0637737251281738,9.130736943817139,3.3328783485412594
387865753292,-0.07461671531200409,-0.2386019229888916,-0.1337607204914093,1.0634744499206543,9.125349990081787,3.273023307037353
387875723292,-0.09404128044843674,-0.2855888605117798,-0.12566284835338593,1.0577882209777831,9.087342038726806,3.182791831970215
387885692292,-0.12580479681491852,-0.3184592127799988,-0.11659159511327744,1.0266635993957518,9.075371030426025,3.1693244476318356
387895662292,-0.16001497209072113,-0.3311938941478729,-0.108377605676651,0.9928455009460448,9.080159433746337,3.1411925781249996
387905631292,-0.174728661775589,-0.318520724773407,-0.09730365127325058,0.9914987625122069,9.057414517974854,3.160944741821289
387915601292,-0.17269161343574524,-0.3176727592945099,-0.08451488614082336,0.9976339042663573,9.079411245727538,3.3282395828247067
387925570292,-0.1473708152770996,-0.39518699049949646,-0.0716070756316185,0.9561842880249023,9.143755415344238,3.5220202796936033
387935540292,-0.11816099286079407,-0.5836288332939148,-0.07134555280208588,0.9388263259887695,9.197624952697753,3.656095572662353
387945510292,-0.09353181719779968,-0.8282300233840942,-0.09513956308364868,0.9750386260986328,9.222913707733154,3.7454292221069334
387955479292,-0.07565641403198242,-1.0369457006454468,-0.12480425089597702,0.9494505958557128,9.162759391021728,3.798101658630371
387965449292,-0.049915894865989685,-1.1548033952713013,-0.15277516841888428,0.924461116027832,9.056067779541015,3.8865374824523924
387975418292,-0.0008335694437846541,-1.1651157140731812,-0.17100290954113007,0.9427169036865234,8.992621435546875,3.995922570800781
387985388292,0.07639943063259125,-1.1089965105056763,-0.17474251985549927,1.0384849700927734,9.02105258026123,4.13089568939209
387995357292,0.17444691061973572,-1.0226030349731445,-0.1607649177312851,1.080233861541748,9.175029674530029,4.189104717254638
388005327292,0.26956623792648315,-0.9366047382354736,-0.12976013123989105,1.0721534309387206,9.373149861907958,4.210203619384766
388015297292,0.349676251411438,-0.8733461499214172,-0.08709974586963654,0.9401730644226074,9.511265370178222,4.157830458068847
388025266292,0.41244375705718994,-0.8640913963317871,-0.057020675390958786,0.7805097412109374,9.540145427703857,4.082263468170166
388035236292,0.4459098279476166,-0.9255936145782471,-0.04746658354997635,0.6872855140686035,9.521889640045165,4.002356987762451
388045205292,0.44958606362342834,-1.0214471817016602,-0.052209142595529556,0.6765116065979003,9.426720124053954,3.7517140014648436
388055175292,0.43092527985572815,-1.0903719663619995,-0.07365664094686508,0.7436988906860351,9.324218365478515,3.43478155670166
388065145292,0.4102833867073059,-1.098436713218689,-0.0962596908211708,0.8381202186584472,9.208698135375975,3.2363620941162106
388075114292,0.4009183943271637,-1.0516655445098877,-0.10861329734325409,0.9834183319091796,9.151237295532226,3.1467291694641113
388085084292,0.42567354440689087,-0.9843552112579346,-0.12507322430610657,1.0950479843139649,9.140164112854004,3.145083155822754
388095053292,0.4914408326148987,-0.9517019391059875,-0.1497199833393097,1.203984159851074,9.220669143676757,3.266888165283203
388105023292,0.5903988480567932,-0.9652203917503357,-0.17157867550849915,1.2035352470397949,9.329306044006348,3.403507297515869
388114992292,0.7030540108680725,-0.9804142713546753,-0.17834949493408203,1.0883142921447753,9.344718717193603,3.4516906059265136
388124962292,0.8083553910255432,-1.0019246339797974,-0.1651439517736435,0.9177274238586425,9.34082813949585,3.480121750640869
388134932292,0.8736265301704407,-1.0025802850723267,-0.1297294944524765,0.7387608497619629,9.293841931915283,3.3092356071472167
388144901292,0.8926260471343994,-0.9129417538642883,-0.08114971220493317,0.543932689666748,9.281422010803222,2.890848867034912
388154871292,0.8792746067047119,-0.7492303252220154,-0.046479351818561554,0.5196913978576659,9.281122735595703,2.512116091918945
388164840292,0.8645156025886536,-0.5650436878204346,-0.04477253183722496,0.7287351303100585,9.366116894531249,2.2786814300537106
388174810292,0.8746004700660706,-0.39933380484580994,-0.07601966708898544,1.1125555839538575,9.49959363708496,2.155380044555664
388184779292,0.9082564115524292,-0.32410165667533875,-0.12040683627128601,1.4787188003540037,9.600150106811522,2.2686557106018066
388194749292,0.9300296306610107,-0.3341929018497467,-0.16531838476657867,1.5964835945129394,9.577105915832519,2.3322516921997067
388204719292,0.9091347455978394,-0.3434162139892578,-0.18607878684997559,1.4257470886230468,9.445275186920165,2.0994155807495116
388214688292,0.8458055853843689,-0.2983957529067993,-0.1745893806219101,1.0908581314086914,9.233837252807616,1.717989328765869
388224658292,0.7496758699417114,-0.23607085645198822,-0.14756496250629425,0.8075941474914551,9.102605074310302,1.3769652297973631
388234627292,0.6303619742393494,-0.14421789348125458,-0.06492919474840164,0.704194563293457,9.202712631225586,0.9988310050964355
388244597292,0.5356354713439941,0.0007784419576637447,0.07098495960235596,0.38890813217163084,9.402029919433593,0.6226420692443847
388254566292,0.47385650873184204,0.11068709939718246,0.1651114523410797,-0.36481647796630856,9.290250629425048,0.5044283622741699
388264536292,0.4174576997756958,0.13779142498970032,0.16546645760536194,0.28790274963378903,9.216479290771483,0.6795043586730957
388274506292,0.3801422715187073,0.18415945768356323,0.09882032126188278,0.8376713058471679,9.733626849365233,0.4391863670349121
388284475292,0.33768483996391296,0.23416882753372192,-0.030831681564450264,1.4749778602600097,9.922619142913819,0.5458779785156249
388294445292,0.29137858748435974,0.2644132673740387,-0.18677707016468048,2.2994810569763184,9.753379013061522,0.6992565223693847
388304414292,0.24843351542949677,0.28264766931533813,-0.2973214387893677,2.6493337745666503,9.725546418762207,0.7413046890258789
388314384292,0.22144024074077606,0.2997627556324005,-0.33151480555534363,2.2737433891296384,9.641898998260498,0.9020154754638672
388324353292,0.21562603116035461,0.28778091073036194,-0.31160715222358704,1.6329951698303222,9.477447271728515,1.1067197174072265
