ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
351.872,268463.418516212,1,1,1,2,268462131783166,268462.13505667,411062b88a4c4bb3,0.0016299089487594341,-0.023681765101569642,-0.0042078845479412586,-0.045524634464005953,0.83879172706394045,0,0.54254589915598261,-0.00065219577600654944,0.0094760647189866421,0.0016837500701462533,0.38363787419098683,-0.38363787419098683,-0.56092452554545824,0.62530607931358206
306.084,268463.418516212,1,6,1,7,268462298466208,268462.30173971201,411062b934fb414c,-0.011842376410160692,-0.046157268456059455,0.016638880902213271,-0.040829964016904141,0.83638552569643698,0.017084592851422276,0.54635184299447015,-0.014531979689288647,-0.013246341137270202,0.023638727270875608,0.3984097139540253,-0.37424845167876186,-0.56254271750712403,0.62028500483473015
262.336,268463.418516212,1,11,1,12,268462465149375,268462.468422879,411062b9dfaa3f48,-0.02452325233611578,-0.079412558923491944,0.053829399000725024,-0.039420087084471367,0.83940481700025615,0.023585882025485505,0.5415619718117024,-0.027280327422833737,-0.046600309970553894,0.061253401127827033,0.39961986918891734,-0.36626439583540765,-0.56567461231866589,0.62142303262019793
218.705,268463.418516212,1,16,1,17,268462631832458,268462.63510596205,411062ba8a5937a2,-0.035495824723735352,-0.10710678937286414,0.085070654901350837,-0.046126106985691862,0.83796553321604905,0.025139587299998323,0.54318891903200028,-0.038711632626728582,-0.074300550799322906,0.092334967818175212,0.40186893007675684,-0.36631618571056163,-0.55991501300111746,0.62514717734417269
173.879,268463.418516212,1,21,1,22,268462798515500,268462.80178900401,411062bb35082d3a,-0.043265825880575308,-0.12813916028078112,0.097767956448826271,-0.05511011595443549,0.84056569147903315,0.025598444623083971,0.53829078226663207,-0.046916583370825188,-0.095318131330466432,0.10475458513200316,0.39872988556305494,-0.36252821896462317,-0.55540094899709469,0.63333842033018817
127.661,268463.418516212,1,26,1,27,268462965198583,268462.968472087,411062bbdfb72593,-0.051608804415163072,-0.15381545975947716,0.10695415155969037,-0.056789575380409907,0.83822106279017117,0.028118992854345548,0.54163619660835605,-0.055499887166988789,-0.12103612277746158,0.11400649117179854,0.4028777473662406,-0.36311148736938365,-0.55255548907870866,0.6328680746462777
79.575,268463.418516212,1,31,1,32,268463215223250,268463.21849675401,411062bcdfbd9cf3,-0.04964749615038682,-0.2067406503948187,0.11538607256525032,-0.092153226568633673,0.83984701175605991,0.046627977959435546,0.53290774488770687,-0.056022415521588313,-0.17431222145410671,0.12225035340263399,0.40979362866199442,-0.3438517116001934,-0.52869933169036576,0.65902367105272752
32.135,268463.418516212,1,36,1,37,268463381906208,268463.38517971203,411062bd8a6c8ce9,-0.043266775027126766,-0.2413531064007321,0.10974271053410646,-0.11349247151969694,0.84115577260075169,0.058414666508769836,0.52551327773704515,-0.051122907415671395,-0.20924208752016984,0.11656360507312667,0.41289939811483561,-0.33028858669459499,-0.5145356409251437,0.67503822910517097
387.332,268463.518526045,2,1,1,2,268462131783166,268462.13505667,411062b88a4c4bb3,0.0016299089487594341,-0.023681765101569642,-0.0042078845479412586,-0.045524634464005953,0.83879172706394045,0,0.54254589915598261,-0.00065219577600654944,0.0094760647189866421,0.0016837500701462533,0.38363787419098683,-0.38363787419098683,-0.56092452554545824,0.62530607931358206
341.543,268463.518526045,2,6,1,7,268462298466208,268462.30173971201,411062b934fb414c,-0.011943501007866651,-0.046685595014630807,0.017001809571313822,-0.04082810310228413,0.83640198183953796,0.017141754484952088,0.54632499873026141,-0.014634569993598537,-0.01377549063761848,0.024004960974417008,0.39843115157088965,-0.37418905054039175,-0.56255566962250525,0.62029532521948738
