ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
15.963,268563.056358088,1,693,1,694,268563020517333,268563.02302183805,4110644c17930966,0.61653550439758464,0.93772879842123691,-0.022429419706938229,0.50898783513397716,0.78830955269298708,-0.151842418048445,0.31055332249436884,0.64709701504104089,0.94872391016834945,-0.013239069505503074,0.11222555379606293,-0.32696315503033901,-0.91732775574139869,0.19751027536364379,0.25613171940200874,0.022362041166155422,0.12541594541674028,-0.0026537296287430078,-0.0026812085133255258,0.0015973514242241561,0.11695488953804413,-0.0076968330896749464,-0.12043268489327637
190.609,268563.156366963,2,681,1,682,268562620482166,268562.62298667105,4110644a7df037c8,0.55234603482038536,0.89141769340350197,-0.11544311445182906,0.48020428375815488,0.81833907039889087,-0.14284390047199069,0.28163928175846703,0.582575118312882,0.90433303800264464,-0.10777778099165496,0.098143152693819638,-0.30015492866880766,-0.91820878695908847,0.23909739422724821,0.049437432783531847,0.13893810933518932,0.36212785689044186,-0.0026090545785743217,-0.0027276852649776384,0.0016024374793230105,0.12031236485149237,-0.014646688496819375,-0.1141649697676712
15.515,268563.156366963,1,696,1,697,268563120526166,268563.12303067103,4110644c7dfbc092,0.64253684252530308,0.93473393894326495,-0.013209391313717169,0.53050163800239269,0.77888998227643669,-0.15812369508248195,0.29478018565048258,0.67379612764688801,0.94396519726107708,-0.0044343177799007275,0.096630728602808372,-0.3202513967712971,-0.9258796692938247,0.17563707793083308,0.2629313872504016,-0.013554504741655465,0.13420939872262566,-0.0026097789535694006,-0.0027284124528958883,0.0016019764036780801,0.12048108957628748,-0.01805528266997479,-0.11278458774212019
189.136,268563.256375755,2,684,1,685,268562720490916,268562.72299542103,4110644ae458e962,0.55827315552173895,0.90494430169251094,-0.085705173358663914,0.48479895166402975,0.81626790314887654,-0.12915103150664309,0.28635074825752427,0.5883178877451225,0.91768412293885404,-0.07708125474802055,0.11115698275768328,-0.29380411824929936,-0.91999317133770053,0.23438393711165467,0.09975418597013197,0.14629118586752171,0.29104363689373658,-0.002580763927998414,-0.0027725869577897625,0.0016195582807811693,0.12010754596448943,-0.023559316565839681,-0.10654727144950567
16.702,268563.256375755,1,699,1,700,268563220535000,268563.22303950501,4110644ce46477cf,0.66760925192498566,0.92878647759320132,7.3891221644152225e-05,0.54761527982472258,0.76449251035509092,-0.16789521957501469,0.29577010560534989,0.69922828216415478,0.9366222137796556,0.0089169176898505845,0.090421196649738911,-0.32786088691295612,-0.9278002913985649,0.15335535631277222,0.27530082226851954,-0.030302115619638845,0.23040385938396477,-0.0025815902911711978,-0.0027728618562320498,0.0016192731732790331,0.11935568230166944,-0.026522252402218512,-0.10549655114791603
188.922,268563.356384505,2,687,1,688,268562820499666,268562.82300417102,4110644b4ac19afc,0.57089207723998392,0.91581878448542275,-0.065107726148484008,0.48370253474856706,0.81749730858404135,-0.1306922760410969,0.28398871549999655,0.60097183208930205,0.92860794590016271,-0.056681181751208912,0.10839694898910579,-0.2932237333462876,-0.92008720841929981,0.23602854182386188,0.16229730985637805,0.080176398155064776,0.18137561456186346,-0.0025767566104025605,-0.0027955282336516001,0.0016427515092084463,0.11740402124939235,-0.03061288152467766,-0.10286375298420873
14.853,268563.356384505,1,702,1,703,268563320543750,268563.32304825506,4110644d4acd296a,0.69425812600509262,0.92047114615717052,0.021620949762211177,0.56930918152375953,0.74571568193885696,-0.16979306432548505,0.30160495032849577,0.72601503210692531,0.92665546822496214,0.031244567967844913,0.093205075953880431,-0.33332872393108137,-0.92986297364317272,0.12473822937008766,0.30426548333526493,-0.069070564005667287,0.28246003093344008,-0.0025774742196753484,-0.0027953854637415058,0.0016426280961688404,0.11627989437133859,-0.032511935509407584,-0.1024074775491815
187.707,268563.456393421,2,690,1,691,268562920508625,268562.92301313003,4110644bb12a5a9d,0.58906063650145501,0.92284556392688288,-0.05051919160807658,0.4931789165984457,0.80139302870611773,-0.144093148522632,0.30623681608411146,0.61924608168053985,0.93501124886546116,-0.041563971829516412,0.11465288380869727,-0.31843136327266508,-0.91540057690334986,0.21794028293015424,0.21844338674501232,0.051769219585293569,0.16701673340572856,-0.002608146343851224,-0.0027824233239259802,0.0016282192572385625,0.11458003875420744,-0.035313095477524488,-0.099997926079986976
16.244,268563.456393421,1,705,1,706,268563420552583,268563.42305708805,4110644db135e096,0.7209780912687811,0.9116788252695186,0.046700115300513545,0.58597051915901399,0.7222434127797871,-0.17459937429972486,0.32329261525643682,0.75251831587481344,0.91667756915456033,0.057635733405558685,0.10514199619966315,-0.35206279274655655,-0.92504691790462279,0.096359484607398072,0.27843741700958285,-0.092354812528772312,0.29281578551261345,-0.0026086362901147101,-0.0027820023173209963,0.0016280707610045212,0.11371675867474952,-0.036332124338133799,-0.099933355846490005
198.037,268563.556402171,2,693,1,694,268563020517333,268563.02302183805,4110644c17930966,0.61163660291227984,0.92574559622585595,-0.038428626077165233,0.50903447155948889,0.78845545029780351,-0.15060685450116307,0.31070812388733154,0.6421751844294239,0.9367506920422084,-0.029174229448521709,0.11320869024747639,-0.32619894080250295,-0.91746389785623073,0.19758046361477119,0.25659365162164788,-0.016244139412036018,0.11282387055891691,-0.0026327839747241314,-0.0027681098345370444,0.001629403019900543,0.11482954703283701,-0.039103593049337595,-0.095471487992316154
