local_index,frame_id,is_suspect,depth_min,depth_p10,depth_median,depth_p90,depth_max,depth_std,conf_min,conf_median,conf_mean,conf_signal_mean,conf_signal_p90,adjacent_center_step
0,cap-1,False,0.6510128974914551,0.748673391342163,1.039496898651123,1.4105997562408448,1.5877307653427124,0.24352745711803436,1.0000001192092896,1.0001952648162842,1.0018634796142578,0.001863348763436079,0.0030020713806152358,0.0
1,cap-3,False,0.6627553105354309,0.755344831943512,1.0458606481552124,1.4184969663619995,1.5963107347488403,0.24640363454818726,1.0000001192092896,1.0001906156539917,1.0016506910324097,0.0016507593682035804,0.0031254887580871617,0.011169099759517255
2,cap-5,False,0.6757026314735413,0.7699522078037262,1.0584547519683838,1.4251463651657106,1.6144773960113525,0.24444679915905,1.0,1.0001659393310547,1.0015329122543335,0.0015329947927966714,0.002514362335205078,0.019234250481331105
3,cap-7,False,0.6381582617759705,0.7651179730892181,1.078047752380371,1.4462123036384582,1.6846250295639038,0.25454747676849365,1.0,1.0000993013381958,1.0009379386901855,0.0009379338007420301,0.001766037940979008,0.03316492280153324
4,cap-21,False,0.6947473287582397,0.8338253378868103,1.1040490865707397,1.4550608396530151,1.6094287633895874,0.22660689055919647,1.0,1.0001426935195923,1.0012567043304443,0.001256686169654131,0.0020837664604187074,0.11813455313870996
5,cap-23,False,0.6848209500312805,0.8282082676887512,1.082457184791565,1.4387744545936585,1.6013216972351074,0.22401949763298035,1.0,1.0001717805862427,1.0015158653259277,0.0015158257447183132,0.0025489330291748047,0.04249022179919737
6,cap-29,False,0.6595550179481506,0.8132475137710571,1.05764901638031,1.39178227186203,1.5488791465759277,0.21400365233421326,1.0,1.0001516342163086,1.0015050172805786,0.0015049913199618459,0.0027011036872863804,0.025420921724358288
7,cap-31,False,0.6640507578849792,0.8055537819862366,1.038602590560913,1.3790073990821838,1.5317597389221191,0.21314756572246552,1.0,1.0001856088638306,1.0015901327133179,0.001590222935192287,0.0032882928848266615,0.031863857110624644
8,cap-33,False,0.666298508644104,0.786106264591217,1.0312892198562622,1.3691776156425477,1.5550481081008911,0.21838948130607605,1.0,1.0001447200775146,1.0010998249053955,0.0010998329380527139,0.0022768139839172384,0.031046006526492666
9,cap-35,False,0.6855450868606567,0.763084614276886,0.9973187446594238,1.3431132197380067,1.5540794134140015,0.21637439727783203,1.0,1.0002301931381226,1.0020958185195923,0.002095916075631976,0.004341411590576175,0.05710210334988799
10,cap-37,False,0.7024591565132141,0.7802437663078308,1.005706548690796,1.3718621134757996,1.6076642274856567,0.22054988145828247,1.0,1.0004342794418335,1.0034399032592773,0.003439889755100012,0.007404375076293955,0.06672301250666025
11,cap-39,False,0.7171840071678162,0.7874437749385834,1.0190294981002808,1.4038785099983215,1.6968032121658325,0.22600072622299194,1.0,1.0004777908325195,1.0039100646972656,0.003910164814442396,0.007844841480255136,0.0282638174221229
12,cap-42,False,0.7158547043800354,0.8067525327205658,1.021939754486084,1.4135927438735962,1.8324551582336426,0.2296176701784134,1.0,1.000711441040039,1.0038280487060547,0.003828047076240182,0.008768713474273684,0.04764412003646233
13,cap-44,False,0.6929760575294495,0.7913948953151703,1.0131810903549194,1.4108112931251526,1.8680301904678345,0.23539909720420837,1.0,1.0008544921875,1.0043387413024902,0.0043387203477323055,0.011554491519927986,0.024680632611955338
14,cap-48,False,0.6884208917617798,0.803637707233429,1.0315608978271484,1.4133255243301392,1.8872987031936646,0.2348422110080719,1.0,1.0012562274932861,1.0055339336395264,0.005533920601010323,0.015392446517944344,0.03367775561901883
15,cap-50,False,0.6770808696746826,0.7846242189407349,1.0159022808074951,1.4063857793807983,1.8324992656707764,0.2375747263431549,1.0,1.0010292530059814,1.0047732591629028,0.00477330619469285,0.011928510665893573,0.015203723016364499
16,cap-52,False,0.672099232673645,0.7676362335681916,0.9866026639938354,1.382307231426239,1.9104751348495483,0.23826244473457336,1.0,1.0011935234069824,1.0053143501281738,0.005314178299158812,0.014543652534484877,0.035485171903744256
17,cap-54,False,0.6445233225822449,0.7570568561553955,0.9714752435684204,1.357064461708069,1.8587651252746582,0.23340186476707458,1.0,1.0016363859176636,1.0064271688461304,0.006427057087421417,0.01765518188476564,0.023837961405839273
18,cap-56,False,0.6162466406822205,0.7166197061538696,0.9371181130409241,1.3288890719413757,1.8594746589660645,0.23866428434848785,1.0,1.003568410873413,1.010861873626709,0.010861766524612904,0.030293881893157962,0.017528611166580523
19,cap-74,True,0.5758495926856995,0.6454077899456024,0.7708097100257874,1.263484501838684,1.6976944208145142,0.24625711143016815,1.0000001192092896,1.3398388624191284,1.3451322317123413,0.3451322317123413,0.6387856364250183,0.557663796086092
20,cap-78,True,0.5616587996482849,0.6274523138999939,0.7531689405441284,1.2552803635597232,1.8755394220352173,0.2749183475971222,1.0000001192092896,1.289872169494629,1.3005752563476562,0.30057504773139954,0.5978245735168457,0.013656585179617368
21,cap-80,True,0.5443795323371887,0.6215335607528687,0.7510813474655151,1.269291949272156,1.8445295095443726,0.2824702262878418,1.0000001192092896,1.3221359252929688,1.331186056137085,0.331185907125473,0.6301492810249331,0.004160722428089409
22,cap-96,False,0.44938457012176514,0.5511221468448639,0.7088351845741272,1.3609425425529484,1.7153146266937256,0.309787780046463,1.0,1.043195366859436,1.1073204278945923,0.10732050240039825,0.3702932357788086,0.14025431809910976
23,cap-103,False,0.4310118854045868,0.5396212220191956,0.7113595008850098,1.4973102927207946,1.7551532983779907,0.3548072278499603,1.0000001192092896,1.019850254058838,1.0655609369277954,0.0655609741806984,0.3009441733360291,0.08381147433689465
