# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 132, mean observations per image: 0
1 0.99995975087902877 0.0020523427869262993 0.0067851206180619553 -0.005499695376483503 -1.3875625 -0.17905784999999999 1.3899783000000001 1 00000000.jpg

2 0.9851378040268528 -0.092101915899229045 0.068976219344282511 -0.1275265671529312 -2.5776148000000001 -0.14778377000000001 0.86064434000000001 2 00000001.jpg

3 0.98713035417009132 -0.08010366042481451 -0.014780003780991448 -0.1376176549386384 -1.7000774000000001 -0.42592271999999998 0.71738809999999997 3 00000002.jpg

4 0.98330215733951831 -0.10369861032929724 -0.070495289075269141 -0.13188585900473174 -1.1382829999999999 -0.82641469999999995 1.2050027999999999 4 00000003.jpg

5 0.99192874022037081 -0.053449280021627875 -0.058166224158782247 -0.099182857173544914 -1.3414296999999999 -1.2556400000000001 0.9980753 5 00000004.jpg

6 0.97419266384110459 -0.10053153832030726 -0.097811380811453075 -0.17684738421837673 -0.69308170000000002 -1.1436769 1.5714872 6 00000005.jpg

7 0.989708685514606 -0.058812959849672622 0.055678739873064709 -0.11797301173073094 -1.64378 -1.0972748999999999 1.2531897999999999 7 00000006.jpg

8 0.97976230187264035 -0.12843278345544157 -0.08315350179760872 -0.12905947118250549 -1.8405638 -1.8434123 0.54413617000000003 8 00000007.jpg

9 0.96026237808883486 -0.14383090639224272 -0.079875497725593644 -0.22545230195464885 -0.74671699999999996 -1.4046371 1.7815382 9 00000008.jpg

10 0.95482506624945407 -0.16395367939639446 -0.10876801385494397 -0.22270564212915839 -0.80613769999999996 -1.9269254 1.6844672999999999 10 00000009.jpg

11 0.98683060955836355 -0.068119973665463296 0.033850153454630709 -0.14275568057903451 -1.3620231 -1.6044579999999999 1.2810136999999999 11 00000010.jpg

12 0.98904376423608575 -0.071965678996139412 0.028748527566705637 -0.1256459137221945 -0.99287619999999999 -1.5360372 1.3419384999999999 12 00000011.jpg

13 0.97088880574493264 -0.16006701667957171 0.032893524990256155 -0.17513278694806236 -1.8807303 -2.2759497 1.1407449999999999 13 00000012.jpg

