local_index,frame_id,is_suspect,center_x,center_y,center_z,forward_x,forward_y,forward_z,right_x,right_y,right_z,down_x,down_y,down_z
0,cap-1,False,-0.11144423732267805,-0.3043821592986068,-0.07713134284919976,0.28437340161162106,0.06821496761085455,0.9562836852365965,0.9556145865791517,0.05996777241353956,-0.2884521246046126,-0.07702295290148162,0.9958667506867358,-0.04813397555759465
1,cap-3,False,-0.10358250602456276,-0.30902531720227944,-0.07069837657260192,0.2495162129049304,0.08623035044887037,0.9645237094851772,0.9639062843191861,0.07341453403883019,-0.25591987269815875,-0.09287812459487343,0.9935666214332091,-0.0647998668635777
2,cap-5,False,-0.1128617723759402,-0.3184989684233634,-0.08463040945011246,0.2740490735390248,0.08179552855534224,0.9582309725743342,0.9584298917899744,0.059064877446777374,-0.27914777945678704,-0.07943083131904205,0.99489739837228,-0.06220859866638049
3,cap-7,False,-0.10899391390562418,-0.2954417600120022,-0.10815309882782431,0.2807455675662238,0.03536150253054484,0.9591305909159091,0.9577605275162964,0.05450616860529622,-0.2823541207697822,-0.06226300160378491,0.9978870885267301,-0.018565483643926378
4,cap-21,False,-0.2252397215927151,-0.29394424241068906,-0.08716638204095362,0.3285395565503611,0.05481807619241164,0.9428980529751109,0.9417210824432012,0.05737747628839336,-0.33146527434526296,-0.07227139861588901,0.9968464293980396,-0.03277256685831759
5,cap-23,False,-0.25399716733066136,-0.3111499338399295,-0.06104373964750831,0.38367275689157815,0.08123421196142604,0.9198892424777138,0.9208559519802503,0.04123015013091685,-0.38771689468312986,-0.06942304787951205,0.9958418944290246,-0.05898611466379406
6,cap-29,False,-0.2570040491299277,-0.30375172470560996,-0.03690977137111284,0.42631363911212733,0.09837678084643946,0.8992100366973594,0.9005503101775687,0.04751578741292489,-0.4321474155720644,-0.08523995521392116,0.9940142142902622,-0.06833660676417645
7,cap-31,False,-0.2495857717478871,-0.33433904786103785,-0.031940846654956,0.4074481562990072,0.13781530122701627,0.9027695955648077,0.910587363553186,0.013816140488278887,-0.41308566617502723,-0.06940232268268356,0.9903615785833726,-0.11986351101189649
8,cap-33,False,-0.2319152544081411,-0.3576092429694897,-0.0424339566707399,0.38543979953630325,0.16338505764454825,0.9081527866344419,0.9220523607316617,-0.030403322723337508,-0.3858692551066359,-0.03543441095559212,0.9860937867973693,-0.16236824246094
9,cap-35,False,-0.2141651336692092,-0.40994913719664305,-0.028077115338990488,0.37421186964254943,0.20596132735399808,0.9041821764739709,0.9257305083007974,-0.14044524453946097,-0.3511383762669613,0.05466715726780139,0.9684291672961022,-0.24322098973245637
10,cap-37,False,-0.1876740446805909,-0.4708079334910429,-0.03488810027200806,0.27430727999795496,0.3006431153798272,0.9134381387454957,0.9597059201658589,-0.14583131235393584,-0.24020361182907074,0.06099232080247777,0.942521597852058,-0.3285315424514534
11,cap-39,False,-0.18784683921860967,-0.4962534898348765,-0.04719001799533551,0.23677616695809073,0.320779911283366,0.9170808553653654,0.967246868056141,-0.16671627380532486,-0.19141363661989735,0.09149066415422698,0.9323657808781809,-0.3497477791495443
12,cap-42,False,-0.14115403198146714,-0.504911708431973,-0.05103438752606149,0.10725581041371092,0.352911387535362,0.9294889691009591,0.9897107017110568,-0.1269494013926003,-0.06600436655758571,0.09470436982666355,0.9270045416358662,-0.36289621398164534
13,cap-44,False,-0.12085382265108069,-0.5140108972457785,-0.04034608128982742,0.1148117404330267,0.35659742236509756,0.9271766512489988,0.9910660545688968,-0.10488586296668528,-0.08238344027153764,0.06787000695936668,0.9283518927180155,-0.36545372544579946
14,cap-48,False,-0.11644515198120553,-0.5460661112010303,-0.0496851446658822,0.11057392446535129,0.3604356924593377,0.9262070604512193,0.9920036859338321,-0.09707794403623363,-0.0806508516718133,0.060844831691110206,0.9277187069445015,-0.3682878049049446
15,cap-50,False,-0.11272859210071484,-0.5358527568511249,-0.039053692783080574,0.12654466949272639,0.36174750391586397,0.9236477629668242,0.9884126766169654,-0.1246690450049522,-0.08659104988646157,0.08382617652240171,0.9239028063157912,-0.3733319924831526
16,cap-52,False,-0.11463992032329884,-0.5550446999243847,-0.00926756227680986,0.1333713062510756,0.39227377722823525,0.9101282208392258,0.9901323997158803,-0.09259419220473852,-0.105186247213332,0.04301077831550494,0.9151762636759714,-0.40075239157462716
17,cap-54,False,-0.09914617293113337,-0.5399487167994981,0.0007476006887732756,0.10003060198293226,0.4045600035800919,0.9090242472949818,0.9936279777089883,-0.08830495287644095,-0.0700405397711633,0.05193573200936355,0.910238140555006,-0.41081529574690473
18,cap-56,False,-0.0911417681046165,-0.5501095225592021,0.012577213493762729,0.17525185761499293,0.40860054169393195,0.8957300841938489,0.9783468453724053,-0.1740314699325313,-0.1120290034901021,0.11011010676442018,0.8959679821681735,-0.4302524134944736
19,cap-74,True,-0.00030496555870717767,-4.029087729821371e-05,-0.0001281052848343292,0.0003404718794431419,-0.0006421210544923003,0.9999997358796905,0.9999998999205583,-0.00029001874472679175,-0.00034065818832935415,0.00029023745162131483,0.9999997517848094,0.0006420222280980519
20,cap-78,True,0.004982004411347364,0.00248178678188883,0.012208401173029494,0.02529593010331011,0.0027033544739484194,0.9996763515232301,0.9996468349365947,-0.008214775410892555,-0.025272967103154378,0.00814379545935051,0.9999626039652352,-0.0029102004368268992
21,cap-80,True,0.0037546697689723497,0.0004841517746868428,0.015645655190007806,0.03778608963797042,0.021420568655256322,0.9990562399927028,0.9990713318264088,-0.02152456283262859,-0.037325153951055484,0.02070472163940312,0.9995388199127777,-0.02221400434875847
22,cap-96,False,-0.03774282667034867,-0.06911798383087536,0.13012174113750924,0.16944158155848998,0.15300835740025825,0.9735902593004063,0.9754395086734453,-0.16710858385968883,-0.14350082271303188,0.14073844146365427,0.973993413150773,-0.17756554348546713
23,cap-103,False,-0.028653147858411554,-0.14231280538195606,0.1699244931494647,0.17935983963795765,0.3081057093526842,0.9342916674086981,0.9744236917414513,-0.1863296897739938,-0.12561733830044505,0.13538287572751323,0.9329266543152509,-0.33364552241548406
24,cap-105,False,-0.027899822185419643,-0.1576730917373867,0.17248086439258425,0.2062182576268604,0.34741240753373226,0.9147560600034076,0.9702240048572853,-0.19396979746809606,-0.1450554999607943,0.12704096978680313,0.9174313721545658,-0.377067990397248
25,cap-107,False,-0.021892296315731086,-0.1703138705591306,0.17466408349290097,0.23914811020274873,0.3896855116728995,0.8893556000715824,0.9647611918933355,-0.19888575258117666,-0.17227971452486754,0.1097452664178806,0.8992161348489197,-0.42351661044903277
26,cap-109,False,-0.025030983745940594,-0.18441597274364718,0.184004996851046,0.23803213042616767,0.391526785247592,0.8888461516586916,0.9620720883986247,-0.22060758196132482,-0.1604667925319327,0.13325913091364333,0.8933303249526734,-0.42918869340663157
27,cap-114,False,-0.014913033499512007,-0.22033745952932215,0.2099959691527009,0.23396737400158174,0.42828540875004023,0.8728292367666284,0.9649067570798202,-0.21237558235845522,-0.15443950971047468,0.11922342679579617,0.8783326406365992,-0.4629444317576422
28,cap-116,False,-0.015084995133576973,-0.23932457600459295,0.23058152936059606,0.23881584809895406,0.44563717403877867,0.8627714064637912,0.9633752593783342,-0.2203195516967269,-0.15286400739834302,0.12196352259206478,0.8676789946630259,-0.4819315940851934
29,cap-118,False,-0.02112603757093401,-0.24254321852642524,0.2233841767267487,0.2320852152072506,0.4592351359792246,0.857461102770468,0.9619087048670374,-0.23927723040083826,-0.13220457825931314,0.14445793341488397,0.8554820248275078,-0.4972749849635796
30,cap-122,False,-0.02242174165063493,-0.25943379235767383,0.24254534535814043,0.2325735834790677,0.4774051601666084,0.8473451724734143,0.9625664537785735,-0.23767815985660226,-0.13028781365623068,0.13919538144291507,0.8459275294856731,-0.5148118691747764
31,cap-124,False,-0.011745021982532133,-0.23209670025757156,0.23159363183856685,0.22036462507636864,0.4475735023408566,0.8666702902588104,0.9646892924304299,-0.23141958783379635,-0.12577576649304284,0.14427060066167668,0.8637840854003918,-0.48276603815277613
32,cap-126,False,-0.006260499833619315,-0.21639153295504565,0.2450572715514534,0.20588115625523823,0.42490561401079824,0.8815147013414539,0.9676436769038145,-0.2226765152836292,-0.11866290106518544,0.14587208747803015,0.8774225783490515,-0.4570021368638274
33,cap-128,False,0.011990300862363856,-0.1906911386156468,0.23309924931320103,0.13241495191218217,0.3829529583213304,0.9142282604596272,0.9754398068133598,-0.21414153714796866,-0.051580862263251225,0.1760211911778748,0.8986047047119388,-0.4019031287834065
34,cap-131,False,0.019507002552062946,-0.16504762593178368,0.21791929090499096,0.12521675137016325,0.347857830351266,0.9291478327153395,0.9782898317594251,-0.19917021470981866,-0.05727329786698715,0.16513558840735917,0.9161474493100028,-0.36524524441001427
