local_index,frame_id,is_suspect,fx,fy,cx,cy,fx_over_width,fy_over_height,cx_over_width,cy_over_height,fx_fy_ratio,fov_x_deg,fov_y_deg,image_width,image_height
0,cap-1,False,363.81854248046875,357.18304443359375,252.0,140.0,0.7218621874612475,1.2756537301199777,0.5,0.5,1.0185773041309878,69.41705057442375,42.8059779560319,504,280
1,cap-3,False,362.7398376464844,356.9991455078125,252.0,140.0,0.7197219000922309,1.2749969482421875,0.5,0.5,1.0160804086253654,69.57640466924805,42.826032173711795,504,280
2,cap-5,False,360.5348815917969,355.3835144042969,252.0,140.0,0.7153469872853112,1.2692268371582032,0.5,0.5,1.014495233961921,69.90413306502641,43.00298971108028,504,280
3,cap-7,False,361.09332275390625,355.2729187011719,252.0,140.0,0.7164550054640997,1.2688318525041853,0.5,0.5,1.0163829094376597,69.82087589210657,43.015154042659745,504,280
4,cap-21,False,363.57476806640625,356.34783935546875,252.0,140.0,0.7213785080682664,1.2726708548409598,0.5,0.5,1.0202805458958555,69.4530068444026,42.89720148665458,504,280
5,cap-23,False,362.9091796875,357.3863830566406,252.0,140.0,0.7200578962053571,1.2763799394880022,0.5,0.5,1.0154532933897038,69.55134593383616,42.78382466343963,504,280
6,cap-29,False,361.18231201171875,355.66815185546875,252.0,140.0,0.7166315714518229,1.270243399483817,0.5,0.5,1.015503665783634,69.8076246062144,42.97171278885914,504,280
7,cap-31,False,361.5994873046875,356.9482421875,252.0,140.0,0.7174593002077133,1.2748151506696428,0.5,0.5,1.0130305869800145,69.74556203696683,42.831586356588666,504,280
8,cap-33,False,360.7643127441406,355.2958068847656,252.0,140.0,0.7158022078256758,1.2689135960170201,0.5,0.5,1.015391416823415,69.86990654547004,43.01263605199734,504,280
9,cap-35,False,362.15985107421875,357.17388916015625,252.0,140.0,0.7185711330837674,1.2756210327148438,0.5,0.5,1.0139594804250285,69.66234906451105,42.80697591719213,504,280
10,cap-37,False,361.7509460449219,357.7247009277344,252.0,140.0,0.7177598135811942,1.2775882175990514,0.5,0.5,1.0112551498589437,69.72305357896676,42.747014073434606,504,280
11,cap-39,False,360.7410583496094,356.9544677734375,252.0,140.0,0.7157560681539868,1.274837384905134,0.5,0.5,1.0106080492556695,69.87337430164095,42.83090699434781,504,280
12,cap-42,False,361.1723327636719,358.021484375,252.0,140.0,0.7166117713564918,1.2786481584821427,0.5,0.5,1.008800724331313,69.80911038568993,42.71477230519061,504,280
13,cap-44,False,361.3533935546875,359.15484619140625,252.0,140.0,0.7169710189577133,1.2826958792550223,0.5,0.5,1.0061214470209587,69.7821613886846,42.59207235477609,504,280
14,cap-48,False,361.8478088378906,358.8016357421875,252.0,140.0,0.7179520016624814,1.2814344133649553,0.5,0.5,1.008489852866479,69.70866533918175,42.63023944883131,504,280
15,cap-50,False,361.5632629394531,358.20361328125,252.0,140.0,0.7173874264671689,1.2792986188616071,0.5,0.5,1.0093791618332035,69.75094726256616,42.69500924908086,504,280
16,cap-52,False,358.42095947265625,356.91021728515625,252.0,140.0,0.7111526973663814,1.2746793474469866,0.5,0.5,1.0042328353584034,70.22086941152715,42.83573624044876,504,280
17,cap-54,False,360.0189514160156,358.3223571777344,252.0,140.0,0.7143233163016183,1.2797227042061943,0.5,0.5,1.0047348266283025,69.98120647297918,42.682133572722634,504,280
18,cap-56,False,360.58544921875,357.05975341796875,252.0,140.0,0.7154473198784722,1.2752134050641741,0.5,0.5,1.0098742458847052,69.89658687664291,42.81942088990624,504,280
19,cap-74,True,352.997802734375,352.6578369140625,252.0,140.0,0.7003924657428076,1.2594922746930803,0.5,0.5,1.0009640103940052,71.04497952307669,43.30470650695226,504,280
20,cap-78,True,350.6602478027344,352.93304443359375,252.0,140.0,0.6957544599260602,1.2604751586914062,0.5,0.5,0.9935602611693476,71.40539842509185,43.274059811011675,504,280
21,cap-80,True,349.99688720703125,350.9065856933594,252.0,140.0,0.6944382682679191,1.253237806047712,0.5,0.5,0.9974075764792768,71.50825777200713,43.50069524785673,504,280
