local_index,frame_id,A_shape,B_shape,A_depth_mean,A_depth_median,A_depth_p99,B_depth_mean,B_depth_median,B_depth_p99,A_conf_mean,A_conf_median,A_conf_p99,B_conf_mean,B_conf_median,B_conf_p99,A_conf_signal_mean,B_conf_signal_mean
0,cap-1,"[280, 504]","[476, 742]",1.0645040273666382,1.039496898651123,1.5435000777244567,1.169137954711914,1.1264432668685913,1.6227063882350923,1.0018634796142578,1.0001952648162842,1.0319795501232147,1.001891016960144,1.0003678798675537,1.0228299105167389,0.001863348763436079,0.0018912226660177112
1,cap-3,"[280, 504]","[476, 742]",1.071759581565857,1.0458606481552124,1.5536921787261961,1.184575080871582,1.143403172492981,1.6496905410289764,1.0016506910324097,1.0001906156539917,1.0267824900150297,1.0024727582931519,1.0004514455795288,1.0343966245651246,0.0016507593682035804,0.00247271079570055
2,cap-5,"[280, 504]","[476, 742]",1.0832594633102417,1.0584547519683838,1.5665885853767394,1.194291353225708,1.1556097269058228,1.6623771905899054,1.0015329122543335,1.0001659393310547,1.0279876244068145,1.0016160011291504,1.0003527402877808,1.0179614877700807,0.0015329947927966714,0.001615853514522314
3,cap-7,"[280, 504]","[476, 742]",1.0972161293029785,1.078047752380371,1.614633915424347,1.2110743522644043,1.1752352714538574,1.6938862681388855,1.0009379386901855,1.0000993013381958,1.01493723154068,1.001061201095581,1.000213384628296,1.0106876194477081,0.0009379338007420301,0.0010611931793391705
4,cap-21,"[280, 504]","[476, 742]",1.1271958351135254,1.1040490865707397,1.5826907682418823,1.2487926483154297,1.2278865575790405,1.6927700233459473,1.0012567043304443,1.0001426935195923,1.0178499627113342,1.0013322830200195,1.0002930164337158,1.0158206188678742,0.001256686169654131,0.001332367886789143
5,cap-23,"[280, 504]","[476, 742]",1.1096335649490356,1.082457184791565,1.56563392162323,1.2254376411437988,1.1975362300872803,1.6459271335601808,1.0015158653259277,1.0001717805862427,1.022448261976242,1.0018471479415894,1.0004322528839111,1.0269760084152222,0.0015158257447183132,0.0018471842631697655
6,cap-29,"[280, 504]","[476, 742]",1.0795459747314453,1.05764901638031,1.5141766250133515,1.1849907636642456,1.1525752544403076,1.5834195935726165,1.0015050172805786,1.0001516342163086,1.019975620508194,1.0026957988739014,1.0006835460662842,1.0314610576629641,0.0015049913199618459,0.002695741131901741
7,cap-31,"[280, 504]","[476, 742]",1.065152645111084,1.038602590560913,1.5011693882942199,1.1710935831069946,1.135869026184082,1.5772866964340213,1.0015901327133179,1.0001856088638306,1.0208875799179078,1.0025218725204468,1.000692367553711,1.0292600357532502,0.001590222935192287,0.0025218420196324587
8,cap-33,"[280, 504]","[476, 742]",1.0602222681045532,1.0312892198562622,1.5123164403438567,1.1515121459960938,1.1162724494934082,1.555620609521866,1.0010998249053955,1.0001447200775146,1.015462942123413,1.0021404027938843,1.0004758834838867,1.030970517396927,0.0010998329380527139,0.0021404256112873554
9,cap-35,"[280, 504]","[476, 742]",1.0285073518753052,0.9973187446594238,1.4962945199012756,1.1413087844848633,1.1039435863494873,1.5595469689369201,1.0020958185195923,1.0002301931381226,1.0330982518196103,1.0026893615722656,1.0006297826766968,1.0363850700855255,0.002095916075631976,0.0026894595939666033
10,cap-37,"[280, 504]","[476, 742]",1.0436983108520508,1.005706548690796,1.5325533890724181,1.1501065492630005,1.1130586862564087,1.5826228058338165,1.0034399032592773,1.0004342794418335,1.0498449301719666,1.0032615661621094,1.0007506608963013,1.046632308959961,0.003439889755100012,0.0032614595256745815
11,cap-39,"[280, 504]","[476, 742]",1.0566452741622925,1.0190294981002808,1.5500445234775542,1.1580597162246704,1.1190718412399292,1.6029819750785832,1.0039100646972656,1.0004777908325195,1.066564923524856,1.0028802156448364,1.000627040863037,1.045310536623001,0.003910164814442396,0.0028801970183849335
12,cap-42,"[280, 504]","[476, 742]",1.0682628154754639,1.021939754486084,1.644138394594192,1.1771266460418701,1.133836269378662,1.6827829360961917,1.0038280487060547,1.000711441040039,1.0558927130699158,1.0034452676773071,1.0007827281951904,1.0432986664772035,0.003828047076240182,0.003445310052484274
13,cap-44,"[280, 504]","[476, 742]",1.0608848333358765,1.0131810903549194,1.6520340919494627,1.1672903299331665,1.1246135234832764,1.6937018692493448,1.0043387413024902,1.0008544921875,1.0497881531715392,1.0025382041931152,1.000606656074524,1.0367274928092958,0.0043387203477323055,0.0025381806772202253
14,cap-48,"[280, 504]","[476, 742]",1.0689067840576172,1.0315608978271484,1.6934841799736022,1.175915241241455,1.1378889083862305,1.7159417510032688,1.0055339336395264,1.0012562274932861,1.0601210856437682,1.001979947090149,1.0005244016647339,1.023480956554413,0.005533920601010323,0.001980004832148552
15,cap-50,"[280, 504]","[476, 742]",1.0565935373306274,1.0159022808074951,1.6678377389907835,1.1551285982131958,1.118282675743103,1.7001579225063337,1.0047732591629028,1.0010292530059814,1.0647726488113403,1.00333571434021,1.0008037090301514,1.0384056890010833,0.00477330619469285,0.0033357322681695223
16,cap-52,"[280, 504]","[476, 742]",1.0343701839447021,0.9866026639938354,1.707909846305847,1.130287528038025,1.0948634147644043,1.6781669986248022,1.0053143501281738,1.0011935234069824,1.0592548906803132,1.0032700300216675,1.0008476972579956,1.0395283341407777,0.005314178299158812,0.0032700253650546074
17,cap-54,"[280, 504]","[476, 742]",1.0195434093475342,0.9714752435684204,1.7069008886814117,1.1176090240478516,1.0784072875976562,1.7443989288806918,1.0064271688461304,1.0016363859176636,1.064559063911438,1.0038831233978271,1.000957727432251,1.034867891073227,0.006427057087421417,0.003883051685988903
18,cap-56,"[280, 504]","[476, 742]",0.9861281514167786,0.9371181130409241,1.6846433091163635,1.073106288909912,1.0298302173614502,1.697458378076554,1.010861873626709,1.003568410873413,1.1007132065296172,1.0076472759246826,1.0019539594650269,1.0753062260150916,0.010861766524612904,0.007647169753909111
19,cap-74,"[280, 504]","[476, 742]",0.8680440187454224,0.7708097100257874,1.6017336070537567,0.9323285818099976,0.8639707565307617,1.4949659395217896,1.3451322317123413,1.3398388624191284,2.0623048329353333,1.270151972770691,1.2057865858078003,1.9299526357650758,0.3451322317123413,0.27015194296836853
20,cap-78,"[280, 504]","[476, 742]",0.8618847727775574,0.7531689405441284,1.7577395820617674,0.9265865087509155,0.8550902605056763,1.562255575656891,1.3005752563476562,1.289872169494629,1.8829736697673798,1.2532331943511963,1.1456618309020996,1.9112569499015812,0.30057504773139954,0.25323325395584106
21,cap-80,"[280, 504]","[476, 742]",0.8641250133514404,0.7510813474655151,1.7382500886917114,0.9305897355079651,0.8542819023132324,1.5945006787776947,1.331186056137085,1.3221359252929688,2.022126152515411,1.2681151628494263,1.1532070636749268,1.95365902900696,0.331185907125473,0.26811495423316956
22,cap-96,"[280, 504]","[476, 742]",0.8326255679130554,0.7088351845741272,1.6671425426006317,0.8658853769302368,0.7793624997138977,1.442326948642731,1.1073204278945923,1.043195366859436,1.6498447108268737,1.1261314153671265,1.0218074321746826,1.6190329718589789,0.10732050240039825,0.1261315643787384
23,cap-103,"[280, 504]","[476, 742]",0.8631823062896729,0.7113595008850098,1.7044515717029571,0.9014190435409546,0.7800476551055908,1.6067271542549133,1.0655609369277954,1.019850254058838,1.4472628307342528,1.0949962139129639,1.017432689666748,1.5242598998546601,0.0655609741806984,0.09499619901180267
