local_index,frame_id,A_shape,B_shape,A_depth_mean,A_depth_median,A_depth_p99,B_depth_mean,B_depth_median,B_depth_p99,A_conf_mean,A_conf_median,A_conf_p99,B_conf_mean,B_conf_median,B_conf_p99,A_conf_signal_mean,B_conf_signal_mean
24,cap-105,"[280, 504]","[476, 742]",0.8895112872123718,0.7438545823097229,1.7393004465103148,0.9174214005470276,0.794621467590332,1.683656724691391,1.066261649131775,1.0213234424591064,1.4504855132102965,1.0776196718215942,1.0147029161453247,1.4633056521415715,0.06626158207654953,0.07761986553668976
25,cap-107,"[280, 504]","[476, 742]",0.8926817178726196,0.746688187122345,1.755410908460617,0.925105094909668,0.8065555691719055,1.7062955832481388,1.061059594154358,1.0166356563568115,1.4552923119068144,1.0678826570510864,1.0096375942230225,1.407071701288224,0.06105969473719597,0.06788273900747299
26,cap-109,"[280, 504]","[476, 742]",0.8921077847480774,0.7413776516914368,1.7567758071422577,0.9247286319732666,0.806808352470398,1.6989304900169373,1.0583018064498901,1.0159261226654053,1.4340551376342774,1.0721702575683594,1.011979579925537,1.3998766970634462,0.05830185487866402,0.07217041403055191
27,cap-114,"[280, 504]","[476, 742]",0.8846284747123718,0.734887957572937,1.74655904173851,0.927456259727478,0.8040246963500977,1.7453054082393649,1.0443778038024902,1.008185863494873,1.3258777117729186,1.0561786890029907,1.010371208190918,1.33062695145607,0.044377733021974564,0.056178804486989975
28,cap-116,"[280, 504]","[476, 742]",0.8721997737884521,0.7192914485931396,1.7446702587604521,0.9167525172233582,0.7965348958969116,1.7245370244979858,1.0432288646697998,1.0094246864318848,1.296198388338089,1.0597100257873535,1.0111567974090576,1.3484118950366981,0.04322880506515503,0.05970991402864456
29,cap-118,"[280, 504]","[476, 742]",0.8808006048202515,0.7244352102279663,1.708927900791168,0.9249969124794006,0.7969196438789368,1.719054012298584,1.0440932512283325,1.0080554485321045,1.297255630493164,1.0407283306121826,1.0057440996170044,1.2903691744804382,0.044093210250139236,0.04072822257876396
30,cap-122,"[280, 504]","[476, 742]",0.8708722591400146,0.7145973443984985,1.6823018622398376,0.9235434532165527,0.7963564991950989,1.7088118338584901,1.0276734828948975,1.0039782524108887,1.231054002046585,1.0279995203018188,1.0042943954467773,1.2288927328586583,0.027673451229929924,0.02799941971898079
31,cap-124,"[280, 504]","[476, 742]",0.8649758100509644,0.7097047567367554,1.687945200204849,0.9100778698921204,0.7893913984298706,1.7030644094944003,1.0415070056915283,1.0073304176330566,1.2901624178886413,1.042650818824768,1.0056893825531006,1.2755086743831634,0.041506942361593246,0.0426507368683815
32,cap-126,"[280, 504]","[476, 742]",0.8458831906318665,0.7000820636749268,1.6804731857776642,0.8882721662521362,0.7663781642913818,1.69038613319397,1.0523707866668701,1.0118296146392822,1.3238889050483704,1.0737284421920776,1.0149166584014893,1.3866877615451814,0.05237075313925743,0.07372866570949554
33,cap-128,"[280, 504]","[476, 742]",0.8394232988357544,0.681351900100708,1.7047758555412291,0.8754945993423462,0.7465232610702515,1.6776819658279418,1.074139952659607,1.0174942016601562,1.4037488687038422,1.0777617692947388,1.0111194849014282,1.4043377256393434,0.07414010912179947,0.07776157557964325
34,cap-131,"[280, 504]","[476, 742]",0.824590802192688,0.6619306802749634,1.6829787480831147,0.8647375106811523,0.743525505065918,1.648810591697693,1.0589724779129028,1.0131689310073853,1.3687333726882935,1.0710753202438354,1.0105161666870117,1.3874213147163394,0.05897245183587074,0.07107548415660858
